ticker,contribution,active,months_held,avg_weight_when_held,first_held,last_held,name,share_of_outperformance,cum_share_of_outperformance,rank
META,0.1594922539060468,0.06443864364788594,90,0.07606002065130445,2019-03-31,2026-08-31,Facebook Inc,0.2027078222725692,0.2027078222725692,1
GOOG,0.14169330208170897,0.050570462723795354,96,0.07833710617243676,2018-09-30,2026-08-31,Alphabet Inc,0.15908200095072925,0.36178982322329845,2
TDG,0.08812670142618523,0.04792214671929252,42,0.08466044745102161,2020-06-30,2023-11-30,Transdigm Group Inc,0.15075106256388485,0.5125408857871833,3
ORLY,0.06702702843961458,0.042461296095781115,29,0.09940553489756372,2018-01-31,2020-05-31,O Reilly Automotive Inc New,0.13357259518805709,0.6461134809752404,4
LAD,0.22087185623953226,0.0375514426816376,96,0.14779502664392088,2018-09-30,2026-08-31,Lithia Mtrs Inc,0.11812742693316594,0.7642409079084063,5
ET,0.0824249603734869,0.033901176836337144,72,0.05182022685425306,2020-06-30,2026-05-31,Energy Transfer Lp,0.10664460547186924,0.8708855133802755,6
OI,0.030556303253891914,0.02078500441658389,36,0.024691454957535115,2020-03-31,2023-02-28,O-I Glass Inc,0.0653844144242735,0.936269927804549,7
CWH,0.042120307498699494,0.014890508014223341,75,0.03400148490709105,2018-12-31,2025-02-28,Camping World Hldgs Inc,0.04684180611542836,0.9831117339199773,8
ABG,0.1206447437047856,0.003927812862349701,104,0.08611410252579077,2018-01-31,2026-08-31,Asbury Automotive Group Inc,0.012355914813660353,0.9954676487336377,9
UHAL,0.0478274530930957,0.0014407858802184814,104,0.046398602684940796,2018-01-31,2026-08-31,Amerco,0.004532351266362149,0.9999999999999999,10
MTW,0.0,0.0,0,,,,Manitowoc Inc,,,11
AIZ,0.0,0.0,0,,,,Assurant Inc,,,12
VEON,0.0,0.0,0,,,,Veon Ltd,,,13
AIG,0.0,0.0,0,,,,American Intl Group Inc,,,14
WEN,0.0,0.0,0,,,,Wendys Co,,,15
RYAM,0.0,0.0,0,,,,Rayonier Advanced Matls Inc,,,16
RYN,0.0,0.0,0,,,,Rayonier Inc,,,17
JSM,0.0,0.0,0,,,,Navient Corp,,,18
SLM,0.0,0.0,0,,,,Slm Corp,,,19
MSFT,0.0,0.0,0,,,,Microsoft Corp,,,20
SNY,0.0,0.0,0,,,,Sanofi,,,21
USCB,-0.0005031192325000403,-0.0009752948427401099,27,0.002463148195971069,2022-03-31,2024-05-31,Uscb Financial Holdings Inc,,,22
KMI,0.028639539875453198,-0.001086959200984127,57,0.05590695970075229,2018-06-30,2023-02-28,Kinder Morgan Inc Del,,,23
GPI,-0.0015573836862667954,-0.002349419094415538,11,0.010443879061094527,2018-01-31,2018-11-30,Group 1 Automotive Inc,,,24
CRCL,-0.0027875919363747753,-0.003317692666168987,6,0.006646170044223893,2025-09-30,2026-02-28,Circle Internet Group Inc,,,25
TMDX,0.00627586476817512,-0.003774283245992999,21,0.022716115773530103,2019-09-30,2021-05-31,Transmedics Group Inc,,,26
CCO,-0.0031154236890474493,-0.0047863237475579135,41,0.004654577095760977,2018-01-31,2021-05-31,Clear Channel Outdoor Hldgs,,,27
WU,0.0076116229625845895,-0.007750236545699882,17,0.1663587851782184,2018-01-31,2019-05-31,Western Un Co,,,28
BMY,0.0035313855099481746,-0.007810629766042336,15,0.02138687999147131,2020-03-31,2021-05-31,Bristol Myers Squibb Co,,,29
WTW,0.07201120044162038,-0.009848256513029256,104,0.0625852233398619,2018-01-31,2026-08-31,Willis Towers Watson Pub Ltd,,,30
WFC,-0.007985607400856876,-0.010530775222889255,5,0.08501753443422025,2018-01-31,2018-05-31,Wells Fargo & Co New,,,31
NUVB,-0.00974513888228448,-0.011026285631522869,63,0.0035090302181173274,2021-06-30,2026-08-31,Nuvation Bio Inc,,,32
SPH,-0.004741018233462121,-0.01112546656434933,32,0.022122681688734176,2018-01-31,2020-08-31,Suburban Propane Partners L,,,33
SGI,0.022663232202172368,-0.013023107788931182,57,0.04990905421379915,2021-12-31,2026-08-31,Tempur Sealy Intl Inc,,,34
AKBA,-0.011988758045379907,-0.017299036962042366,27,0.010950075944217803,2018-12-31,2021-02-28,Akebia Therapeutics Inc,,,35
UHAL-B,0.01244352520847267,-0.023620995844749422,42,0.048419802615532366,2023-03-31,2026-08-31,U Haul Holding Company,,,36
CPNG,-0.010018268747446286,-0.05207903195470714,57,0.05918782115767407,2021-12-31,2026-08-31,Coupang Inc,,,37
PCG,-0.042709135904187276,-0.09297473133590722,39,0.09277850439333893,2018-03-31,2021-11-30,Pg&E Corp,,,38
BEN,-0.04332858256899184,-0.09305467193435066,38,0.1085120552040775,2018-01-31,2021-02-28,Franklin Res Inc,,,39
TEVA,-0.042365132032872774,-0.1050102733075721,77,0.08256181963407964,2018-01-31,2024-05-31,Teva Pharmaceutical Inds Ltd,,,40
LOAR,0.026419104293695483,-0.11291058278895258,24,0.43006089479724535,2024-09-30,2026-08-31,Loar Holdings Inc,,,41
