period,rebalance,n,priced_share
2013-06-30,2013-08-31,7,0.6471363203138736
2013-09-30,2013-11-30,5,0.7029524857313216
2013-12-31,2014-02-28,6,0.7659637301782306
2014-03-31,2014-05-31,6,0.8155763520913655
2014-06-30,2014-08-31,7,0.7559616454762961
2014-09-30,2014-11-30,6,0.6420028675259781
2014-12-31,2015-02-28,6,0.5847448627821915
2015-03-31,2015-05-31,4,0.6223026237505949
2015-06-30,2015-08-31,5,0.6088935084543932
2015-09-30,2015-11-30,5,0.6144532522143689
2015-12-31,2016-02-29,6,0.6220803241967116
2016-03-31,2016-05-31,5,0.5441338475550533
2016-06-30,2016-08-31,5,0.5675311825440442
2016-09-30,2016-11-30,5,0.5764982818074076
2016-12-31,2017-02-28,7,0.5422510341303393
2017-03-31,2017-05-31,8,0.6297789535170737
2017-06-30,2017-08-31,9,0.5629889976400516
2017-09-30,2017-11-30,11,0.7652033125799428
2017-12-31,2018-02-28,12,0.7162987574162311
2018-03-31,2018-05-31,12,0.6466241461486826
2018-06-30,2018-08-31,14,0.7062770957148956
2018-09-30,2018-11-30,14,0.6694306626453477
2018-12-31,2019-02-28,15,0.9353179247123075
2019-03-31,2019-05-31,15,0.7764595626655044
2019-06-30,2019-08-31,16,0.7911983769972113
2019-09-30,2019-11-30,16,0.7230320683383951
2019-12-31,2020-02-29,18,0.9029418782091747
2020-03-31,2020-05-31,19,0.9014879815061951
2020-06-30,2020-08-31,18,0.9913313245827825
2020-09-30,2020-11-30,18,0.9940957394185567
2020-12-31,2021-02-28,16,0.9977624300900415
2021-03-31,2021-05-31,14,0.9332834398410794
2021-06-30,2021-08-31,14,0.9230868220944636
2021-09-30,2021-11-30,15,0.9152626394076773
2021-12-31,2022-02-28,16,0.916296671834419
2022-03-31,2022-05-31,16,0.9087280904960688
2022-06-30,2022-08-31,16,0.8901148463840914
2022-09-30,2022-11-30,16,0.8708181010921086
2022-12-31,2023-02-28,15,0.9952066757188385
2023-03-31,2023-05-31,15,0.987055947696849
2023-06-30,2023-08-31,15,0.9572144543946566
2023-09-30,2023-11-30,14,0.9851728512540064
2023-12-31,2024-02-29,14,0.9834657510466306
2024-03-31,2024-05-31,12,0.9855826320102283
2024-06-30,2024-08-31,13,0.9907352728108827
2024-09-30,2024-11-30,13,0.991467798137395
2024-12-31,2025-02-28,12,0.9890162982594586
2025-03-31,2025-05-31,12,0.9899739983395509
2025-06-30,2025-08-31,13,0.9999999999999999
2025-09-30,2025-11-30,13,0.9999999999999998
2025-12-31,2026-02-28,12,0.9999999999999999
2026-03-31,2026-05-31,11,0.9999999999999999
2026-06-30,2026-08-31,11,1.0
