ticker,contribution,active,months_held,avg_weight_when_held,first_held,last_held,name,share_of_outperformance,cum_share_of_outperformance,rank
AAPL,0.26994813358451153,0.11806014248337168,155,0.08436491569279236,2013-10-31,2026-08-31,Apple Inc,0.16610576223459556,0.16610576223459556,1
NVDA,0.17198832397938205,0.1130791554165547,87,0.04854254825604248,2018-06-30,2026-08-31,Nvidia Corp,0.15909771840192924,0.3252034806365248,2
MSFT,0.22626371688226937,0.08110239635391178,155,0.07426538534276513,2013-10-31,2026-08-31,Microsoft Corp,0.11410773426193535,0.43931121489846015,3
GOOG,0.14120288028741687,0.050116469127771096,126,0.057018554440305916,2016-03-31,2026-08-31,Alphabet Inc,0.07051180974262747,0.5098230246410876,4
AMZN,0.1307641834514714,0.03883024269926924,149,0.04811441519379945,2013-10-31,2026-08-31,Amazon Com Inc,0.05463255359212279,0.5644555782332105,5
AVGO,0.05311563379481561,0.03562264691577892,72,0.017805707815471694,2016-03-31,2026-08-31,Broadcom Corp,0.050119598319074754,0.6145751765522852,6
LLY,0.04020248016759882,0.023292045511987255,78,0.017943492606368877,2014-09-30,2026-08-31,Lilly Eli & Co,0.032770949554939414,0.6473461261072246,7
META,0.07181827957496936,0.018263694412787367,150,0.02955175969552118,2014-03-31,2026-08-31,Facebook Inc,0.02569626647776624,0.6730423925849909,8
PBYI,0.03553472760079329,0.01773711880400805,56,0.03397275849790007,2013-10-31,2018-05-31,Puma Biotechnology Inc,0.024955396265088376,0.6979977888500792,9
MU,0.015288345188805156,0.014533823216980109,9,0.00904551877664906,2025-12-31,2026-08-31,Micron Technology Inc,0.02044849119150747,0.7184462800415867,10
BURL,0.024652492956440494,0.014422910112615185,66,0.016507427656932933,2014-12-31,2023-02-28,Burlington Stores Inc,0.020292441017800998,0.7387387210593878,11
JPM,0.05358418768445329,0.013308291494058455,155,0.022354529958972486,2013-10-31,2026-08-31,Jpmorgan Chase & Co,0.018724218488658156,0.7574629395480459,12
COP,0.022321426978697406,0.012391571302966156,63,0.015327634183366613,2021-06-30,2026-08-31,Conocophillips,0.017434430903329114,0.774897370451375,13
INSM,0.0117539111826226,0.010074659757356708,9,0.008747205248045481,2025-06-30,2026-02-28,Insmed Inc,0.014174631700835376,0.7890720021522103,14
GD,0.01520173694192863,0.00824515479757522,35,0.01595615487205475,2013-10-31,2022-02-28,General Dynamics Corp,0.011600593507553684,0.800672595659764,15
ABBV,0.022541965637550683,0.007862460852384082,90,0.011687501025443865,2014-03-31,2026-08-31,Abbvie Inc,0.011062158874735144,0.8117347545344992,16
V,0.035206360428657546,0.006083637683313258,149,0.016253623655244215,2013-10-31,2026-08-31,Visa Inc,0.008559427875399919,0.820294182409899,17
ALLY,0.00801789730274565,0.005961872194591177,9,0.008591822993265504,2020-09-30,2021-05-31,Ally Finl Inc,0.008388108843484485,0.8286822912533836,18
MA,0.025594777363554776,0.0058816172045044815,108,0.015135906121776321,2017-06-30,2026-08-31,Mastercard Incorporated,0.008275193374969292,0.8369574846283528,19
CF,0.012022182115229218,0.005832166574497375,26,0.015472179587998458,2013-10-31,2018-05-31,Cf Inds Hldgs Inc,0.008205618373469795,0.8451631030018226,20
