period,rebalance,n,priced_share
2013-06-30,2013-08-31,48,0.8030957088783985
2013-09-30,2013-11-30,46,0.756700967752359
2013-12-31,2014-02-28,46,0.7862998292620846
2014-03-31,2014-05-31,48,0.8150603437714157
2014-06-30,2014-08-31,48,0.7889031694221582
2014-09-30,2014-11-30,47,0.777174869499649
2014-12-31,2015-02-28,45,0.7672258920363705
2015-03-31,2015-05-31,47,0.8089690722633665
2015-06-30,2015-08-31,46,0.7921326553593939
2015-09-30,2015-11-30,47,0.8058899100663381
2015-12-31,2016-02-29,47,0.8265652215510513
2016-03-31,2016-05-31,44,0.7741329136904832
2016-06-30,2016-08-31,47,0.8212532244703237
2016-09-30,2016-11-30,47,0.8358327831811107
2016-12-31,2017-02-28,49,0.8536577024375832
2017-03-31,2017-05-31,52,0.9065159796972878
2017-06-30,2017-08-31,50,0.8873384762945736
2017-09-30,2017-11-30,53,0.9074416550697957
2017-12-31,2018-02-28,50,0.8687811768223564
2018-03-31,2018-05-31,49,0.8526769641380173
2018-06-30,2018-08-31,48,0.817599335674139
2018-09-30,2018-11-30,48,0.8147435600495638
2018-12-31,2019-02-28,52,0.9101911333480367
2019-03-31,2019-05-31,52,0.8594351718474499
2019-06-30,2019-08-31,50,0.8182893821290413
2019-09-30,2019-11-30,51,0.8087357245787511
2019-12-31,2020-02-29,52,0.8717123748539655
2020-03-31,2020-05-31,57,0.892480859522398
2020-06-30,2020-08-31,56,0.9724293178936713
2020-09-30,2020-11-30,54,0.9583671986750106
2020-12-31,2021-02-28,53,0.9342927025547347
2021-03-31,2021-05-31,52,0.9094640109116184
2021-06-30,2021-08-31,51,0.8846066459956894
2021-09-30,2021-11-30,53,0.9192383819473556
2021-12-31,2022-02-28,54,0.9389035483715784
2022-03-31,2022-05-31,55,0.9407977826420442
2022-06-30,2022-08-31,53,0.9100905749267838
2022-09-30,2022-11-30,51,0.8965743125144053
2022-12-31,2023-02-28,53,0.9137156793101139
2023-03-31,2023-05-31,53,0.9189189302494676
2023-06-30,2023-08-31,52,0.9152085864269246
2023-09-30,2023-11-30,53,0.925504974642609
2023-12-31,2024-02-29,55,0.943804044468808
2024-03-31,2024-05-31,55,0.9389454823414739
2024-06-30,2024-08-31,56,0.9298089794057733
2024-09-30,2024-11-30,54,0.9144060686445116
2024-12-31,2025-02-28,56,0.9326505804936083
2025-03-31,2025-05-31,54,0.9075239540117518
2025-06-30,2025-08-31,55,0.9340987573255523
2025-09-30,2025-11-30,56,0.9788822925625829
2025-12-31,2026-02-28,56,0.977561960494585
2026-03-31,2026-05-31,55,0.9654632047190713
2026-06-30,2026-08-31,57,0.9839998636093503
