period,rebalance,n,priced_share
2013-06-30,2013-08-31,23,0.7890816692120063
2013-09-30,2013-11-30,22,0.8393944385366294
2013-12-31,2014-02-28,25,0.8822516352756686
2014-03-31,2014-05-31,28,0.8563573896354396
2014-06-30,2014-08-31,25,0.8554451947224774
2014-09-30,2014-11-30,25,0.8661927000325106
2014-12-31,2015-02-28,22,0.8700253573864248
2015-03-31,2015-05-31,21,0.8695842154109854
2015-06-30,2015-08-31,24,0.9025950110597434
2015-09-30,2015-11-30,23,0.8915140226803024
2015-12-31,2016-02-29,22,0.8922585857886124
2016-03-31,2016-05-31,22,0.8861045874152204
2016-06-30,2016-08-31,23,0.8887594652923865
2016-09-30,2016-11-30,23,0.8832351986914528
2016-12-31,2017-02-28,24,0.873732953241473
2017-03-31,2017-05-31,21,0.8919828655957911
2017-06-30,2017-08-31,19,0.8895034719445165
2017-09-30,2017-11-30,19,0.896856601198859
2017-12-31,2018-02-28,17,0.8995256497944704
2018-03-31,2018-05-31,18,0.9069515705784194
2018-06-30,2018-08-31,17,0.9083963351762895
2018-09-30,2018-11-30,17,0.8997856725791084
2018-12-31,2019-02-28,18,0.910364390292123
2019-03-31,2019-05-31,18,0.9149539603044613
2019-06-30,2019-08-31,18,0.9478580052451385
2019-09-30,2019-11-30,21,0.9962391817326953
2019-12-31,2020-02-29,21,0.9928141434939362
2020-03-31,2020-05-31,24,0.9877698220531598
2020-06-30,2020-08-31,24,0.9852003528923514
2020-09-30,2020-11-30,24,0.9833111340055752
2020-12-31,2021-02-28,24,0.9814978715432977
2021-03-31,2021-05-31,26,0.9812264990034494
2021-06-30,2021-08-31,23,0.9866787662602402
2021-09-30,2021-11-30,22,0.9872144650706459
2021-12-31,2022-02-28,21,0.9858077785458969
2022-03-31,2022-05-31,20,0.98659236624883
2022-06-30,2022-08-31,21,1.0
2022-09-30,2022-11-30,20,1.0
2022-12-31,2023-02-28,19,0.9999999999999999
2023-03-31,2023-05-31,18,0.9999999999999999
2023-06-30,2023-08-31,18,1.0
2023-09-30,2023-11-30,17,1.0
2023-12-31,2024-02-29,18,1.0
2024-03-31,2024-05-31,20,0.9999999999999999
2024-06-30,2024-08-31,19,0.9999999999999999
2024-09-30,2024-11-30,18,1.0
2024-12-31,2025-02-28,18,1.0
2025-03-31,2025-05-31,18,1.0
2025-06-30,2025-08-31,19,1.0
2025-09-30,2025-11-30,19,1.0
2025-12-31,2026-02-28,18,1.0
2026-03-31,2026-05-31,19,0.9999999999999999
2026-06-30,2026-08-31,19,1.0
