ticker,contribution,active,months_held,avg_weight_when_held,first_held,last_held,name,share_of_outperformance,cum_share_of_outperformance,rank
NVDA,0.25011010315937976,0.15922960595231037,45,0.13565892909622349,2019-03-31,2026-08-31,Nvidia Corp,0.1447486838101958,0.1447486838101958,1
PDD,0.20642401396053917,0.13363820409566557,60,0.04988808609609865,2018-12-31,2026-02-28,Pinduoduo Inc,0.12148465754163498,0.26623334135183074,2
TOST,0.10678328494829026,0.12198790557936567,9,0.17531294270604747,2021-12-31,2022-08-31,Toast Inc,0.11089387973907384,0.3771272210909046,3
META,0.3564957933092219,0.1213226137205095,125,0.13295537935575522,2013-10-31,2026-08-31,Facebook Inc,0.11028909195263724,0.4874163130435418,4
RCL,0.13328080551439112,0.09066717976021826,35,0.1254067160709215,2013-10-31,2020-02-29,Royal Caribbean Cruises Ltd,0.08242157516237698,0.5698378882059189,5
DAL,0.1262737722320868,0.07936477131882869,56,0.05103641934850194,2013-10-31,2018-11-30,Delta Air Lines Inc Del,0.07214704904022871,0.6419849372461476,6
UBER,0.23249921743818974,0.07638201631203773,84,0.11814643449227943,2019-09-30,2026-08-31,Uber Technologies Inc,0.0694355566718398,0.7114204939179873,7
ALK,0.08725710217842761,0.048877193550713266,56,0.06384648870637978,2013-10-31,2018-05-31,Alaska Air Group Inc,0.04443212298673205,0.7558526169047194,8
CAR,0.056683103170103194,0.02783206001085239,29,0.10543259969317477,2013-10-31,2017-11-30,Avis Budget Group,0.025300910783537696,0.7811535276882571,9
AMZN,0.06505104141113724,0.026947952676859156,128,0.022104640045393482,2013-10-31,2026-08-31,Amazon.Com Inc,0.02449720740075855,0.8056507350890156,10
CRM,0.07872049823475505,0.025273258738090904,63,0.04549670968478951,2017-03-31,2025-05-31,Salesforce.Com Inc,0.022974816247606923,0.8286255513366225,11
MSFT,0.10925009068502384,0.021008082889236477,99,0.06467607407066676,2018-06-30,2026-08-31,Microsoft Corp,0.019097531074109608,0.8477230824107321,12
TSM,0.027848581959801718,0.02098884003767033,18,0.04275864668972276,2024-12-31,2026-08-31,Taiwan Semiconductor Mfg Ltd,0.019080038237772445,0.8668031206485046,13
NFLX,0.024636300843072445,0.020596087504204982,18,0.019879391366229425,2016-12-31,2018-05-31,Netflix Inc,0.018723004054699382,0.885526124703204,14
XYZ,0.023083906046538556,0.019705999272607348,21,0.01299502903338126,2017-03-31,2021-08-31,Square Inc,0.017913863698996373,0.9034399884022004,15
ALAB,0.01802261980190373,0.016016799847977117,15,0.008113381999279074,2024-06-30,2025-08-31,Astera Labs Inc,0.01456017354926069,0.9180001619514611,16
RBRK,0.013062644095660188,0.011861254495919632,12,0.010947996781642448,2024-09-30,2025-08-31,Rubrik Inc.,0.01078254867462493,0.928782710626086,17
MDB,0.015613074569727355,0.009606908560124366,51,0.011295080299165886,2018-03-31,2023-02-28,Mongodb Inc,0.008733221194928972,0.9375159318210149,18
FTCHQ,0.014201566064152831,0.006913771145360911,27,0.012991691039090817,2019-12-31,2022-02-28,Farfetch Ltd,0.006285007536573515,0.9438009393575884,19
TWLO,0.008597030906387455,0.005836439776280301,21,0.01122065767927829,2017-03-31,2025-05-31,Twilio Inc,0.005305652618440015,0.9491065919760283,20
KWEB,0.0041431292100160165,0.004651520236786354,3,0.030136484939903497,2024-12-31,2025-02-28,Kraneshares Trust,0.004228493991205193,0.9533350859672335,21
TSLA,0.005962785824628678,0.004498560792405444,33,0.0099775873513809,2018-06-30,2025-05-31,Tesla Inc,0.004089445237563821,0.9574245312047973,22
CRWD,0.007856042431333903,0.004397197009462986,36,0.01257525938091774,2019-09-30,2022-08-31,Crowdstrike Hldgs Inc,0.003997299847394749,0.961421831052192,23
HUBS,0.004473638710009815,0.003738822131634059,18,0.011127584899374238,2015-03-31,2016-08-31,Hubspot Inc,0.003398799986458223,0.9648206310386502,24
PYPL,0.004220365364531779,0.003099022260756316,15,0.006932234737656672,2017-03-31,2018-05-31,Paypal Holdings Inc,0.002817185853473284,0.9676378168921235,25
AXON,0.002941890921319379,0.003067772799922341,3,0.013203817713032423,2026-06-30,2026-08-31,Axon Enterprise Inc,0.002788778332783627,0.9704265952249072,26
HOOD,0.011450846024617238,0.0029266829758571294,15,0.033308554810440025,2025-06-30,2026-08-31,Robinhood Mkts Inc,0.002660519732818442,0.9730871149577256,27
DDOG,0.005397922836202896,0.0026903276565757557,21,0.005338331369995049,2019-12-31,2025-11-30,Datadog Inc,0.002445659429843353,0.9755327743875689,28
BE,0.0031129992349235996,0.002638124771076786,3,0.004261368257785206,2026-03-31,2026-05-31,Bloom Energy Corp,0.002398204065485211,0.9779309784530541,29
FUTU,0.002413826300941223,0.0025855763495942464,3,0.008703797880002393,2024-12-31,2025-02-28,Futu Hldgs Ltd,0.0023504345894483293,0.9802814130425024,30
DOCN,0.0027163160640875416,0.002508656675335431,6,0.0029156071186440522,2021-06-30,2021-11-30,Digitalocean Hldgs Inc,0.002280510271407831,0.9825619233139102,31
GOOG,0.01027373985413748,0.0024197562998065753,48,0.011394401770890884,2017-06-30,2026-05-31,Alphabet Inc,0.0021996948208446486,0.9847616181347549,32
AAL,0.013415457097920292,0.0024003700675932008,45,0.039270119845849334,2014-03-31,2017-11-30,American Airls Group Inc,0.0021820716434201863,0.9869436897781751,33
P,0.016473249343499734,0.0022704134683299293,36,0.03600576365662605,2016-03-31,2019-02-28,Pure Storage Inc,0.002063933772116017,0.9890076235502911,34
DT,0.004679850040262374,0.0019876267616878093,18,0.006241270271828517,2019-12-31,2021-05-31,Dynatrace Inc,0.0018068647217930115,0.9908144882720842,35
PACK,0.0024863974231226493,0.0016860312991662063,18,0.0020262672213185295,2019-09-30,2021-02-28,Ranpak Holdings Corp,0.001532697452571707,0.9923471857246559,36
SFIX,0.0019382208897109256,0.0016401948422235437,6,0.0017324306259408184,2020-09-30,2021-02-28,Stitch Fix Inc,0.001491029530495958,0.9938382152551518,37
FIVN,0.0014893376213731436,0.001487642997205431,9,0.002446890884909122,2015-03-31,2015-11-30,Five9 Inc,0.0013523513076420855,0.9951905665627939,38
COHR,0.0015658315277050404,0.0012370142455921298,3,0.0048340560917343465,2024-06-30,2024-08-31,Coherent Corp,0.0011245156504221384,0.9963150822132161,39
SOFI,0.0008836164537878254,0.0008404921523356523,3,0.004356851536541163,2021-09-30,2021-11-30,Sofi Technologies Inc,0.0007640547250981815,0.9970791369383143,40
CVNA,0.001079928145794134,0.0007993041668929493,12,0.0008404767192372658,2017-09-30,2020-08-31,Carvana Co,0.0007266125255400768,0.9978057494638544,41
DUOL,0.00022537008658938358,0.00042702300758953974,9,0.004088867745495388,2021-12-31,2025-05-31,Duolingo Inc,0.00038818797506645636,0.9981939374389208,42
WDAY,0.0010703536539997446,0.000407866543665294,21,0.00939512443279609,2014-09-30,2018-11-30,Workday Inc,0.0003707736699634057,0.9985647111088842,43
CHDN,0.0007736811399359972,0.00029646977962784833,23,0.001907617216890407,2013-10-31,2015-08-31,Churchill Downs Inc,0.0002695077346576024,0.9988342188435418,44
