ticker,contribution,active,months_held,avg_weight_when_held,first_held,last_held,name,share_of_outperformance,cum_share_of_outperformance,rank
MU,0.22160548019483595,0.12212988865262286,101,0.09998681540361401,2017-07-31,2026-08-31,Micron Technology Inc,0.1434439282053624,0.1434439282053624,1
NVDA,0.1110150147285014,0.07949495381952869,42,0.04053831432493513,2018-06-30,2026-08-31,Nvidia Corp,0.09336836849832156,0.23681229670368395,2
GOOG,0.1945511769166013,0.07488521373991702,110,0.09007256503995088,2017-07-31,2026-08-31,Alphabet Inc,0.08795413916985655,0.3247664358735405,3
OXY,0.062366796817118667,0.06507978740841977,21,0.04520831662348522,2021-03-31,2022-11-30,Occidental Pete Corp,0.07643747534386315,0.4012039112174036,4
META,0.1993161175315747,0.06489707822902434,110,0.09744417999966791,2017-07-31,2026-08-31,Facebook Inc,0.07622287986112916,0.4774267910785328,5
AMZN,0.20196535960298684,0.054768354379787595,87,0.10811140559554448,2019-06-30,2026-08-31,Amazon Com Inc,0.06432649681623513,0.541753287894768,6
UBER,0.07013633425408067,0.03966942905408949,60,0.03540231260498682,2021-09-30,2026-08-31,Uber Technologies Inc,0.04659251552556233,0.5883458034203303,7
TSM,0.04135594331737147,0.028517061437571028,36,0.02712550953661774,2023-09-30,2026-08-31,Taiwan Semiconductor Mfg Ltd,0.03349384297822331,0.6218396463985536,8
QCOM,0.04252356329499104,0.024257584640076497,54,0.019817152200328175,2020-06-30,2026-08-31,Qualcomm Inc,0.028491004683085876,0.6503306510816395,9
EQT,0.029309966279402355,0.022630439639187087,51,0.02632541986766787,2021-03-31,2025-05-31,Eqt Corp,0.026579891250802547,0.676910542332442,10
XLE,0.01938565104595634,0.019188667846394933,24,0.02176019328729425,2018-06-30,2022-08-31,Select Sector Spdr Tr,0.022537463378385778,0.6994480057108278,11
GLW,0.023047088940710916,0.018708406174011472,18,0.018362770130580314,2025-03-31,2026-08-31,Corning Inc,0.02197338670875818,0.7214213924195859,12
MOS,0.014369113429134626,0.01783337370064239,21,0.015753875404421334,2021-06-30,2023-02-28,Mosaic Co New,0.020945644059746773,0.7423670364793327,13
ORCL,0.027618072027995273,0.017684381924952176,21,0.03175881607217447,2024-03-31,2025-11-30,Oracle Corp,0.02077065032306954,0.7631376868024022,14
XOP,0.015780298878750335,0.01734122920423616,18,0.01869629150461362,2021-03-31,2022-08-31,Spdr Ser Tr,0.020367610782323953,0.7835052975847262,15
TSLA,0.018603313022003295,0.015387661328878683,9,0.009851748259120177,2020-06-30,2023-08-31,Tesla Inc,0.01807310733891103,0.8015784049236372,16
HCA,0.027167836071395376,0.015084502424509774,50,0.015164015645221695,2017-07-31,2024-05-31,Hca Holdings Inc,0.01771704131287215,0.8192954462365093,17
AMD,0.03020441677123662,0.01420076023419717,30,0.03189574042863625,2023-09-30,2026-08-31,Advanced Micro Devices Inc,0.01667906893200952,0.8359745151685188,18
CRM,0.027633369093865788,0.010471046652285442,39,0.022951032272691692,2019-06-30,2023-08-31,Salesforce Com Inc,0.012298447831207255,0.8482729629997261,19
URI,0.011991306095735888,0.00786578845663215,14,0.01961135164506821,2017-07-31,2018-08-31,United Rentals Inc,0.009238521438932624,0.8575114844386588,20
CNC,0.009593098378742627,0.0057359697867246096,23,0.016246213080570268,2017-07-31,2019-11-30,Centene Corp Del,0.006737008011325837,0.8642484924499846,21
ADBE,0.020596243740513435,0.005652385878303271,36,0.019164025655621617,2019-06-30,2025-02-28,Adobe Inc,0.00663883708616585,0.8708873295361504,22
DG,0.008626333063917031,0.005647440035743469,18,0.01432287598189197,2017-09-30,2019-02-28,Dollar Gen Corp New,0.006633028097941182,0.8775203576340916,23
AAPL,0.01009485244560829,0.005561636252553661,17,0.03301151739888211,2017-07-31,2023-11-30,Apple Inc,0.006532249886715301,0.8840526075208069,24
AR,0.009005915217530382,0.0052703205289338015,54,0.01238231983848287,2017-09-30,2025-05-31,Antero Res Corp,0.00619009390667607,0.890242701427483,25
LRCX,0.014342772056846953,0.005158659930784579,45,0.017588482699245147,2018-06-30,2026-08-31,Lam Research Corp,0.006058946363670914,0.8963016477911538,26
AMLP,0.006648501799220054,0.005001571209635124,36,0.007836873141556466,2020-09-30,2023-08-31,Alps Etf Tr,0.005874442607161915,0.9021760903983158,27
ASML,0.010428601549472588,0.004705087539132539,36,0.01098997793705379,2023-09-30,2026-08-31,Asml Holding N V,0.005526216773053438,0.9077023071713692,28
APA,0.004206472877928585,0.004703066784759225,15,0.004631954614889946,2021-06-30,2022-08-31,Apa Corporation,0.005523843357762191,0.9132261505291315,29
CEG,0.02350117953246098,0.004327193870056353,15,0.10519161926979638,2022-09-30,2023-11-30,Constellation Energy Corp,0.005082373313157994,0.9183085238422894,30
EXE,0.007983103137840324,0.004314632522901488,48,0.0069145846126326,2021-06-30,2025-05-31,Chesapeake Energy Corp,0.005067619766754868,0.9233761436090443,31
TMO,0.006828941357671081,0.004095311911822549,20,0.015304591163974191,2017-07-31,2019-02-28,Thermo Fisher Scientific Inc,0.004810023445848962,0.9281861670548932,32
FXI,0.012331392734580737,0.0037002797238291805,27,0.019644427799715695,2023-09-30,2026-05-31,Ishares Tr,0.004346050462343659,0.9325322175172369,33
TMUS,0.036384120721257684,0.0036090418391987976,51,0.053354396043039785,2018-03-31,2022-05-31,T Mobile Us Inc,0.004238889793346776,0.9367711073105837,34
PNC,0.009934794940939011,0.0035361822015259744,8,0.045517054458977094,2017-07-31,2018-02-28,Pnc Finl Svcs Group Inc,0.004153314732641236,0.9409244220432249,35
EPD,0.005242840870091939,0.0032798978462012037,36,0.00943396665812587,2021-03-31,2024-02-29,Enterprise Prods Partners L,0.003852303775610657,0.9447767258188355,36
SYY,0.007285620656625115,0.00324142303007977,36,0.01560429481086223,2020-09-30,2023-08-31,Sysco Corp,0.003807114356195601,0.9485838401750312,37
WES,0.003307100010161293,0.0030650512599432337,27,0.002279732833611548,2020-06-30,2022-08-31,Western Midstream Partners L,0.003599962283823883,0.952183802458855,38
LYFT,0.008564511297586822,0.00305879206223942,27,0.016066533470831264,2024-06-30,2026-08-31,Lyft Inc,0.003592610734453337,0.9557764131933084,39
MTCH,0.003826408531001372,0.00286262523846757,3,0.012080608913817568,2023-06-30,2023-08-31,Match Group Inc New,0.003362208986807112,0.9591386221801155,40
NRG,0.01722573805816756,0.002810662347983219,42,0.029016102825161056,2017-09-30,2026-08-31,Nrg Energy Inc,0.003301177561869181,0.9624397997419847,41
HUM,0.0052898859029555986,0.002778129466929487,15,0.007345573103758446,2019-09-30,2020-11-30,Humana Inc,0.0032629670606915493,0.9657027668026762,42
MSFT,0.051532993243931645,0.002527909254758965,75,0.04337146993693456,2020-06-30,2026-08-31,Microsoft Corp,0.0029690785576715465,0.9686718453603478,43
MPLX,0.00544030097930006,0.0024216069945039043,66,0.0038256407737729467,2021-03-31,2026-08-31,Mplx Lp,0.0028442244866794236,0.9715160698470272,44
NFLX,0.011635616332422782,0.0022028163254804523,21,0.014089434942109643,2020-06-30,2022-11-30,Netflix Inc,0.0025872505930187974,0.974103320440046,45
SNPS,0.002313413791451765,0.002010791692274201,3,0.012377887412908009,2023-09-30,2023-11-30,Synopsys Inc,0.002361713928708517,0.9764650343687545,46
