period,rebalance,n,priced_share
2013-06-30,2013-08-31,38,0.7672379741715877
2013-09-30,2013-11-30,39,0.769678577755677
2013-12-31,2014-02-28,44,0.7867275883850323
2014-03-31,2014-05-31,37,0.7025508725398653
2014-06-30,2014-08-31,31,0.7169234948135266
2014-09-30,2014-11-30,26,0.7029262727678893
2014-12-31,2015-02-28,15,0.7113864726091674
2015-03-31,2015-05-31,22,0.7234877130463272
2015-06-30,2015-08-31,23,0.7922257223490667
2015-09-30,2015-11-30,19,0.8065545583064436
2015-12-31,2016-02-29,27,0.744149567201189
2016-03-31,2016-05-31,26,0.6681542042832032
2016-06-30,2016-08-31,20,0.563099860169574
2016-09-30,2016-11-30,28,0.5901158907652913
2016-12-31,2017-02-28,35,0.5646995943882684
2017-03-31,2017-05-31,35,0.6095448684441621
2017-06-30,2017-08-31,42,0.6626417274199765
2017-09-30,2017-11-30,34,0.7464372694119481
2017-12-31,2018-02-28,34,0.7247558490633377
2018-03-31,2018-05-31,38,0.7834188093308828
2018-06-30,2018-08-31,33,0.7876181313822996
2018-09-30,2018-11-30,26,0.7869644637004722
2018-12-31,2019-02-28,14,0.6976814084571098
2019-03-31,2019-05-31,15,0.7395421259610885
2019-06-30,2019-08-31,15,0.7567504935487479
2019-09-30,2019-11-30,17,0.7820855051121006
2019-12-31,2020-02-29,16,0.8746461542481085
2020-03-31,2020-05-31,25,0.8912731696581405
2020-06-30,2020-08-31,33,0.9694673045698061
2020-09-30,2020-11-30,28,0.9621845448526013
2020-12-31,2021-02-28,39,0.9569675198211702
2021-03-31,2021-05-31,45,0.930909190802524
2021-06-30,2021-08-31,42,0.9442730193014202
2021-09-30,2021-11-30,41,0.9335665318316665
2021-12-31,2022-02-28,35,0.9570998596684719
2022-03-31,2022-05-31,28,0.9652058251191757
2022-06-30,2022-08-31,28,0.9790148287927924
2022-09-30,2022-11-30,20,0.9656640878227902
2022-12-31,2023-02-28,22,0.9768303420071843
2023-03-31,2023-05-31,26,0.9866513470546541
2023-06-30,2023-08-31,36,0.9893306959572292
2023-09-30,2023-11-30,29,0.9881597749461503
2023-12-31,2024-02-29,36,0.9900014871457764
2024-03-31,2024-05-31,35,0.989907459817663
2024-06-30,2024-08-31,34,0.9907595492471617
2024-09-30,2024-11-30,35,0.9915358567690562
2024-12-31,2025-02-28,35,0.9944991816776333
2025-03-31,2025-05-31,32,0.9805682876796658
2025-06-30,2025-08-31,37,0.9818389310818841
2025-09-30,2025-11-30,43,0.9775320105716102
2025-12-31,2026-02-28,37,0.9822775195206964
2026-03-31,2026-05-31,30,0.9987070308479947
2026-06-30,2026-08-31,25,1.0
