ticker,contribution,months_held,avg_weight_when_held,name,share_of_gains,cum_share_of_gains,rank
MSFT,0.1415487197412164,101,0.08496145917818061,Microsoft Corp,0.08952034574945551,0.08952034574945551,1
AAPL,0.10265445945045165,86,0.055535821925403815,Apple Inc,0.06492225941378141,0.15444260516323693,2
NVDA,0.08262109507681129,51,0.05245543770777717,Nvidia Corp,0.05225246127974073,0.20669506644297767,3
META,0.07354154223261551,66,0.04507152220076121,Facebook Inc,0.04651023548392392,0.2532053019269016,4
GOOG,0.0662660017405548,71,0.05692117059027709,Alphabet Inc,0.04190893000017118,0.29511423192707276,5
AMZN,0.05898414868149543,65,0.04577916953355435,Amazon Com Inc,0.037303632228947954,0.3324178641560207,6
MA,0.0525125599292866,90,0.027655676564019398,Mastercard Inc,0.03321077385689636,0.36562863801291706,7
TSM,0.03945960429241409,95,0.02286181143806532,Taiwan Semiconductor Mfg Ltd,0.024955629594190013,0.39058426760710707,8
MU,0.03386402119457301,38,0.022378353229242264,Micron Technology Inc,0.021416787741686247,0.41200105534879333,9
ADBE,0.03339762527470049,110,0.023803406759206502,Adobe Sys Inc,0.02112182270011289,0.4331228780489062,10
LLY,0.029681044866450297,48,0.01697680148173858,Lilly Eli & Co,0.018771327663771483,0.4518942057126777,11
V,0.027490209413862977,72,0.023991720016562055,Visa Inc,0.017385766935604233,0.4692799726482819,12
MRK,0.024077558139551963,104,0.021424929576613953,Merck & Co Inc New,0.015227487280675744,0.48450745992895766,13
BKNG,0.022845223049546386,51,0.018397557276818473,Booking Holdings Inc,0.014448115601877278,0.4989555755308349,14
CSCO,0.02178437448789796,71,0.015181356131247617,Cisco Sys Inc,0.013777197982839804,0.5127327735136747,15
JPM,0.021740122840826416,36,0.01736415003954013,Jpmorgan Chase & Co,0.013749211698307735,0.5264819852119825,16
WFC,0.020444552276981345,36,0.01862575946443354,Wells Fargo Co New,0.012929847701019272,0.5394118329130018,17
GM,0.018416265628843215,42,0.015760131462174917,General Mtrs Co,0.011647088504381628,0.5510589214173834,18
HCA,0.0180877607429219,104,0.014372327022413655,Hca Holdings Inc,0.01143933056053144,0.5624982519779149,19
UNH,0.01690916597951123,80,0.02066700445385839,Unitedhealth Group Inc,0.0106939461380378,0.5731921981159527,20
LRCX,0.016597839833293646,21,0.018105391939458596,Lam Research Corp,0.010497052628148084,0.5836892507441007,21
VALE,0.015171647849265755,39,0.014266897575058387,Vale S A,0.009595079090353502,0.5932843298344542,22
T,0.015002068974480677,41,0.016008600675383882,At&T Inc,0.009487831497225725,0.60277216133168,23
SHOP,0.014839796053929816,39,0.017966518582196778,Shopify Inc,0.009385204444292677,0.6121573657759727,24
ORCL,0.01483548142642235,65,0.016514632522527373,Oracle Corp,0.009382475723418658,0.6215398414993913,25
INTU,0.014428473396305826,77,0.015773563910466123,Intuit,0.00912506965400702,0.6306649111533984,26
SNDK,0.014310295837069211,6,0.015513601311679929,Sandisk Corp,0.009050330045043901,0.6397152411984423,27
HD,0.014135719983188988,72,0.020158627231570275,Home Depot Inc,0.008939922188106476,0.6486551633865487,28
JNJ,0.013742467822829913,48,0.02737489032379603,Johnson & Johnson,0.008691215810355932,0.6573463791969046,29
PBR,0.013683615264744967,39,0.012006504517491199,Petroleo Brasileiro Sa Petro,0.008653995400608417,0.666000374597513,30
HPQ,0.012720059613539106,32,0.013240020129343492,Hp Inc,0.008044609210450785,0.6740449838079638,31
MCK,0.012415273765350864,48,0.01106313531472291,Mckesson Corp,0.007851852013075668,0.6818968358210395,32
INTC,0.01142686054928517,47,0.028966840190960255,Intel Corp,0.007226745032190928,0.6891235808532304,33
NTR,0.011343685376324242,24,0.011813105780785935,Nutrien Ltd,0.007174142152738215,0.6962977230059687,34
CDNS,0.010592841239352335,33,0.011010895485950672,Cadence Design Sys Inc,0.0066992821408033655,0.7029970051467721,35
DELL,0.010490137986067818,21,0.010545715429712185,Dell Technologies Inc,0.0066343290224676246,0.7096313341692397,36
AEM,0.01028413768877268,21,0.01229130174743665,Agnico Eagle Mines Ltd,0.006504047251837229,0.7161353814210769,37
B,0.010103167819831452,12,0.01925544631076857,Barrick Mng Corp,0.006389595596834834,0.7225249770179117,38
CRM,0.009430698640796032,57,0.015969551888899133,Salesforce Com Inc,0.005964302641001944,0.7284892796589136,39
UNP,0.009148369620047399,66,0.014309899697554153,Union Pac Corp,0.005785747924302776,0.7342750275832164,40
ANET,0.008997572335751134,18,0.01142571463036929,Arista Networks Inc,0.005690378463858622,0.7399654060470751,41
RIO,0.008697190512659207,60,0.01804626301815381,Rio Tinto Plc,0.005500406525509743,0.7454658125725848,42
AZN,0.00802265618717602,41,0.016413657918231312,Astrazeneca Plc,0.005073807499057738,0.7505396200716425,43
C,0.007701817490069136,42,0.012770232521348256,Citigroup Inc,0.004870897920311121,0.7554105179919537,44
BRK-B,0.007485215016464699,42,0.02209578483450572,Berkshire Hathaway Inc Del,0.0047339109637162015,0.7601444289556699,45
GILD,0.007439027639455571,36,0.01608772946474004,Gilead Sciences Inc,0.004704700456078429,0.7648491294117483,46
LOW,0.00743119463569495,54,0.009928131139365012,Lowes Cos Inc,0.004699746591386544,0.7695488760031348,47
IBM,0.007419807292629922,72,0.01570350853312948,International Business Machs,0.004692544838589255,0.7742414208417241,48
UBS,0.007331176493600023,30,0.010172000770676563,Ubs Group Ag,0.004636491630988984,0.7788779124727131,49
SPOT,0.0072707518341587245,27,0.011925452988997935,Spotify Technology S A,0.004598276969529188,0.7834761894422423,50
TJX,0.007140187678827972,57,0.015631475589486465,Tjx Cos Inc New,0.004515703645312175,0.7879918930875545,51
PEP,0.007095706400399979,62,0.013566391068404371,Pepsico Inc,0.004487572133903723,0.7924794652214582,52
ADP,0.007091771399553666,48,0.017306363203095143,Automatic Data Processing In,0.004485083502166676,0.7969645487236249,53
HLT,0.007072783802780219,54,0.009813813961694373,Hilton Worldwide Hldgs Inc,0.00447307508392582,0.8014376238075507,54
KLAC,0.006897930436922219,21,0.009913340924307327,Kla Corporation,0.004362491718737626,0.8058001155262883,55
PG,0.0066676498063264885,62,0.017937332337548798,Procter & Gamble Co,0.004216854218744542,0.8100169697450328,56
CME,0.006637034296736246,33,0.012044786588815798,Cme Group Inc,0.004197491903007424,0.8142144616480402,57
ORLY,0.006566305609189109,36,0.01004788819860968,Oreilly Automotive Inc,0.004152760614902519,0.8183672222629428,58
F,0.006317059059743625,21,0.0106900090401397,Ford Mtr Co Del,0.003995128406543368,0.8223623506694862,59
TMUS,0.006296001107036576,27,0.009343351298306168,T Mobile Us Inc,0.003981810623022915,0.8263441612925091,60
CNI,0.006214551066116293,57,0.01716353662409345,Canadian Natl Ry Co,0.0039302987772229575,0.830274460069732,61
NKE,0.00600884083838178,18,0.014642582878831554,Nike Inc,0.0038002004566965683,0.8340746605264286,62
AMD,0.006005845995458116,12,0.02020185033421517,Advanced Micro Devices Inc,0.00379830641361033,0.837872966940039,63
BP,0.005849611455533704,48,0.01633264485759304,Bp Plc,0.003699498243125917,0.8415724651831649,64
BA,0.005704111617196942,21,0.024236060446924928,Boeing Co,0.003607479072212822,0.8451799442553777,65
TD,0.0056083473480340006,14,0.019526877782772793,Toronto Dominion Bk Ont,0.003546914409377414,0.8487268586647551,66
