period,rebalance,n,priced_share
2013-06-30,2013-08-31,25,0.4171961915558073
2013-09-30,2013-11-30,27,0.4281285284656396
2013-12-31,2014-02-28,29,0.4754451810987338
2014-03-31,2014-05-31,27,0.4392206050401989
2014-06-30,2014-08-31,29,0.5038570848558669
2014-09-30,2014-11-30,33,0.6070599461121057
2014-12-31,2015-02-28,29,0.46322176533644577
2015-03-31,2015-05-31,27,0.49419215291658214
2015-06-30,2015-08-31,23,0.49681589736456205
2015-09-30,2015-11-30,23,0.49681589736456205
2015-12-31,2016-02-29,28,0.5397417118090063
2016-03-31,2016-05-31,32,0.5975309173749904
2016-06-30,2016-08-31,35,0.5805803362149048
2016-09-30,2016-11-30,36,0.5934563151400047
2016-12-31,2017-02-28,30,0.5292159257565112
2017-03-31,2017-05-31,51,0.8711130731405358
2017-06-30,2017-08-31,49,0.8841687047891729
2017-09-30,2017-11-30,53,0.9242158327526963
2017-12-31,2018-02-28,53,0.8960978744471574
2018-03-31,2018-05-31,55,0.9142189499526678
2018-06-30,2018-08-31,51,0.8742899732191088
2018-09-30,2018-11-30,51,0.8910953562577528
2018-12-31,2019-02-28,52,0.8967570057246795
2019-03-31,2019-05-31,49,0.8741063210423228
2019-06-30,2019-08-31,49,0.8728055775925505
2019-09-30,2019-11-30,50,0.8844357992923423
2019-12-31,2020-02-29,54,0.9327346330677593
2020-03-31,2020-05-31,54,0.9612219673443917
2020-06-30,2020-08-31,53,0.9473605265808593
2020-09-30,2020-11-30,53,0.9478222067325252
2020-12-31,2021-02-28,53,0.9397843115254964
2021-03-31,2021-05-31,54,0.9602077562907443
2021-06-30,2021-08-31,55,0.9710618128771472
2021-09-30,2021-11-30,55,0.969089961183781
2021-12-31,2022-02-28,55,0.9623975419595525
2022-03-31,2022-05-31,56,0.9776471467762714
2022-06-30,2022-08-31,56,0.9793966713465756
2022-09-30,2022-11-30,58,0.9884750745220384
2022-12-31,2023-02-28,57,0.9781454858422803
2023-03-31,2023-05-31,58,0.9881827278797607
2023-06-30,2023-08-31,58,0.9914181316809055
2023-09-30,2023-11-30,57,0.9837914365698373
2023-12-31,2024-02-29,57,0.9837924685324575
2024-03-31,2024-05-31,59,0.9887886389707227
2024-06-30,2024-08-31,58,0.9778207391031178
2024-09-30,2024-11-30,58,0.9757841280472853
2024-12-31,2025-02-28,58,0.9806350099862788
2025-03-31,2025-05-31,59,0.9845419318280568
2025-06-30,2025-08-31,59,1.0000000000000002
2025-09-30,2025-11-30,58,0.9915164257832478
2025-12-31,2026-02-28,58,0.9898148169824159
2026-03-31,2026-05-31,58,0.9922327033045414
2026-06-30,2026-08-31,58,0.9829867218563223
