ticker,contribution,months_held,avg_weight_when_held,name,share_of_gains,cum_share_of_gains,rank
AMZN,0.11027255283387943,108,0.034897198943145614,Amazon.Com Inc,0.05011254578471381,0.05011254578471381,1
NVDA,0.09067129606356164,51,0.03444741268437475,Nvidia Corp,0.04120489966519189,0.0913174454499057,2
META,0.05344332656444281,83,0.02518929697026642,Facebook Inc,0.024286924357166284,0.11560436980707198,3
GOOG,0.04427717506721146,60,0.02968861922695998,Alphabet Inc,0.02012143462495157,0.13572580443202353,4
AVGO,0.0438040877139823,39,0.02070679194336544,Broadcom Corp,0.01990644357740976,0.1556322480094333,5
MU,0.03772540413106395,24,0.018464082710544696,Micron Technology Inc,0.01714403079624673,0.17277627880568003,6
WDC,0.03576004234507498,21,0.01862305358019059,Western Digital Corp,0.016250886673318258,0.18902716547899828,7
NFLX,0.03508936862653918,42,0.02220514511533398,Netflix Inc,0.01594610396390406,0.20497326944290234,8
MSFT,0.03318874841748517,90,0.028051269741582955,Microsoft Corp,0.015082381171623615,0.22005565061452595,9
BURL,0.030611803224375678,42,0.022308229223194087,Burlington Stores Inc,0.013911307494124402,0.23396695810865034,10
TSM,0.029115475547190073,33,0.02266284797209548,Taiwan Semiconductor Mfg Ltd,0.013231312451796333,0.2471982705604467,11
LLY,0.02905022455048665,21,0.021986244344410107,Eli Lilly & Co,0.013201659619103464,0.26039993017955015,12
LULU,0.02856594745101665,39,0.019844283497564136,Lululemon Athletica Inc,0.012981583474169757,0.27338151365371993,13
BAC,0.026658307289868403,48,0.026520691943995683,Bank Of America Corp,0.012114670516597146,0.2854961841703171,14
CHDN,0.02664717124478281,44,0.027908811405002173,Churchill Downs Inc,0.012109609823297942,0.29760579399361503,15
EBAY,0.025689533097528673,24,0.030876430748089555,Ebay Inc,0.011674418252356843,0.30928021224597185,16
V,0.02529575851295388,72,0.024690102231701372,Visa Inc,0.011495470305735094,0.32077568255170696,17
MELI,0.023103860960404822,33,0.018137849675577307,Mercadolibre Inc,0.010499378679716533,0.3312750612314235,18
AA,0.022373003872628888,21,0.035894096859988886,Alcoa Corp,0.01016724608341736,0.3414423073148408,19
RTX,0.022024000273230166,30,0.02419187578184712,Raytheon Technologies Corp,0.010008643979771083,0.3514509512946119,20
SCHW,0.020285268227391847,27,0.0215258962250352,Charles Schwab Corp/The,0.009218490065535665,0.36066944136014756,21
UNP,0.019994341771181392,42,0.02643231073357038,Union Pacific Corp,0.009086280689927995,0.36975572205007556,22
MS,0.019304182736559698,24,0.019862774173468763,Morgan Stanley,0.008772643022780531,0.3785283650728561,23
JPM,0.017932086230357726,33,0.02503568150862894,Jpmorgan Chase & Co,0.0081491039169826,0.3866774689898387,24
OLN,0.01779440905175378,21,0.03626162543900545,Olin Corp,0.008086537541769594,0.39476400653160826,25
LMT,0.017768953309611656,21,0.018046576959621276,Lockheed Martin Corp,0.008074969368087222,0.4028389758996955,26
AAPL,0.017726241507965333,50,0.02802586103726184,Apple Inc,0.008055559305831989,0.41089453520552743,27
SPY,0.017419237112673545,69,0.04912368279541146,Spdr S&P 500 Etf Trust,0.007916043429761318,0.41881057863528875,28
CARR,0.017271994751426975,9,0.024920380143815847,Carrier Global Corporation,0.007849130228064303,0.4266597088633531,29
WFC,0.016493674850283482,60,0.024015059782976942,Wells Fargo & Co,0.007495428507383506,0.4341551373707366,30
SPOT,0.01625492758935861,18,0.016795870158683043,Spotify Technology S A,0.00738693158102599,0.44154206895176257,31
BKR,0.01595149004375075,26,0.0275244270052123,Baker Hughes Inc,0.007249036633404869,0.44879110558516744,32
IWM,0.01560787469877643,29,0.04119673887570112,Ishares Russell 2000 Etf,0.007092883182116804,0.45588398876728425,33
ULTA,0.015340085285387715,36,0.017890305579587873,Ulta Salon Cosmetics & Fragrance Inc,0.0069711882644402385,0.4628551770317245,34
MMM,0.014514873248655746,21,0.0216411346453945,3M Co,0.006596176759672367,0.4694513537913969,35
CME,0.01442262948770708,21,0.02029377842149658,Cme Group Inc,0.00655425726497401,0.4760056110563709,36
BIDU,0.014316965299283746,12,0.039994721424893805,Baidu Inc,0.006506238956300718,0.4825118500126716,37
NSC,0.013891776341881396,44,0.023002585129809253,Norfolk Southern Corp,0.0063130149803664855,0.48882486499303807,38
WTW,0.013600677206519154,39,0.02349421213670609,Willis Towers Watson Plc,0.006180727131995851,0.4950055921250339,39
LOW,0.01344200792621206,27,0.020105844401652744,Lowe'S Cos Inc,0.006108621051473756,0.5011142131765077,40
CRM,0.013196597972786737,50,0.023598360909180757,Salesforce.Com Inc,0.005997096313803289,0.507111309490311,41
TGT,0.01280230117152182,27,0.02401865083655512,Target Corp,0.00581791104967033,0.5129292205399814,42
PYPL,0.012754881806753736,27,0.0212429155500391,Paypal Holdings Inc,0.005796361670183284,0.5187255822101646,43
PHM,0.012596966813214915,15,0.020501390118608777,Pultegroup Inc,0.005724598369702444,0.524450180579867,44
