period,rebalance,n,priced_share
2013-06-30,2013-08-31,37,0.5689499052525051
2013-09-30,2013-11-30,38,0.5660899325611832
2013-12-31,2014-02-28,40,0.6089351858252694
2014-03-31,2014-05-31,34,0.4881851197983856
2014-06-30,2014-08-31,36,0.5763579332548149
2014-09-30,2014-11-30,41,0.6888717122896664
2014-12-31,2015-02-28,35,0.6195904378709564
2015-03-31,2015-05-31,39,0.6671480727764845
2015-06-30,2015-08-31,37,0.6197075105131633
2015-09-30,2015-11-30,44,0.7334883707154933
2015-12-31,2016-02-29,43,0.7372453837778489
2016-03-31,2016-05-31,48,0.8142266615311166
2016-06-30,2016-08-31,41,0.7081592354014562
2016-09-30,2016-11-30,42,0.7110667772823832
2016-12-31,2017-02-28,46,0.7828468034598612
2017-03-31,2017-05-31,40,0.697872455853487
2017-06-30,2017-08-31,49,0.8708218838567743
2017-09-30,2017-11-30,48,0.8575307267296893
2017-12-31,2018-02-28,48,0.8177448161059999
2018-03-31,2018-05-31,49,0.8385113548077133
2018-06-30,2018-08-31,46,0.7907104933539151
2018-09-30,2018-11-30,48,0.8145572900993809
2018-12-31,2019-02-28,54,0.9036988277039277
2019-03-31,2019-05-31,54,0.9180730639161522
2019-06-30,2019-08-31,49,0.7985516367088412
2019-09-30,2019-11-30,49,0.8062662752022216
2019-12-31,2020-02-29,48,0.7928583866050771
2020-03-31,2020-05-31,49,0.7904185595207216
2020-06-30,2020-08-31,51,0.8608266316450502
2020-09-30,2020-11-30,53,0.8750309951518941
2020-12-31,2021-02-28,45,0.744713040344923
2021-03-31,2021-05-31,49,0.7776493242080478
2021-06-30,2021-08-31,45,0.6409314256396671
2021-09-30,2021-11-30,49,0.7636612582225382
2021-12-31,2022-02-28,48,0.7952282609801453
2022-03-31,2022-05-31,55,0.9207978117719049
2022-06-30,2022-08-31,49,0.8387066251112221
2022-09-30,2022-11-30,51,0.8437310618595097
2022-12-31,2023-02-28,54,0.9057585195600661
2023-03-31,2023-05-31,54,0.9170844444668491
2023-06-30,2023-08-31,50,0.8449747663412197
2023-09-30,2023-11-30,51,0.7920034784893568
2023-12-31,2024-02-29,54,0.8672801707615682
2024-03-31,2024-05-31,53,0.8413208238211272
2024-06-30,2024-08-31,52,0.8749334592546241
2024-09-30,2024-11-30,53,0.8670683423353418
2024-12-31,2025-02-28,54,0.897722530318166
2025-03-31,2025-05-31,51,0.8661584769038215
2025-06-30,2025-08-31,57,0.9597186957752654
2025-09-30,2025-11-30,52,0.8781537527562946
2025-12-31,2026-02-28,51,0.8799752543996913
2026-03-31,2026-05-31,52,0.9102155327217261
2026-06-30,2026-08-31,55,0.9508556712478554
