ticker,contribution,months_held,avg_weight_when_held,name,share_of_gains,cum_share_of_gains,rank
GOOG,0.16025977174790287,75,0.08335686486037369,Alphabet Inc,0.152695062665951,0.152695062665951,1
EBAY,0.0923811780057075,32,0.13667967853368312,Ebay Inc,0.08802052823914915,0.24071559090510014,2
TSLA,0.07595659905336985,11,0.04942306789053341,Tesla Inc,0.07237123531282326,0.3130868262179234,3
WCC,0.06921957313190877,27,0.07237204644716345,Wesco Intl Inc,0.06595221584187423,0.3790390420597976,4
EDU,0.0567624866719908,18,0.038087497792527236,New Oriental Ed & Technology,0.05408313867493239,0.43312218073472997,5
LBTYA,0.04090328303829851,86,0.18120131439388695,Liberty Global Plc,0.038972533772236896,0.4720947145069669,6
GDS,0.04014903008631404,27,0.02541299320502842,Gds Hldgs Ltd,0.03825388366739077,0.5103485981743576,7
WTW,0.03819767921933231,63,0.08482641892584676,Willis Towers Watson Plc Ltd,0.03639464201449647,0.5467432401888541,8
DG,0.03731568398583696,24,0.052564098256441205,Dollar Gen Corp New,0.03555427942081017,0.5822975196096642,9
FWONA,0.035886932193650495,12,0.10541316797417781,Liberty Media Corp Del,0.03419296870594665,0.6164904883156109,10
AMZN,0.02901593205984221,18,0.04958296513741353,Amazon Com Inc,0.0276462989798721,0.6441367872954831,11
HPQ,0.028079366275345807,12,0.04384976790848221,Hp Inc,0.02675394171769264,0.6708907290131757,12
QRVO,0.025742771228621977,56,0.07958481157878082,Qorvo Inc,0.024527640486927817,0.6954183695001035,13
COIN,0.024474571758317847,12,0.012016405060447889,Coinbase Global Inc,0.023319303575680787,0.7187376730757843,14
UNP,0.024461883055540843,12,0.06079312284064401,Union Pac Corp,0.02330721381513419,0.7420448868909185,15
NXST,0.02381309083252983,41,0.02459807927219435,Nexstar Media Group Inc,0.022689046398137697,0.7647339332890563,16
QSR,0.02245914857898114,21,0.0815213799357716,Restaurant Brands Intl Inc,0.02139901400262855,0.7861329472916848,17
FERG,0.02084217861408959,18,0.0620706708016782,Ferguson Enterprises Inc,0.019858369538798493,0.8059913168304833,18
BMY,0.018734866964006832,11,0.05225805948311934,Bristol Myers Squibb Co,0.01785052888760721,0.8238418457180905,19
ELV,0.01689635623206427,15,0.07228082584229423,Elevance Health Inc,0.016098801000039777,0.8399406467181303,20
META,0.01588726872962736,36,0.03671769796901047,Facebook Inc,0.015137345247672853,0.8550779919658031,21
MU,0.01221418190086953,30,0.04010972412686979,Micron Technology Inc,0.011637638381891698,0.8667156303476948,22
MCK,0.011601508023988228,20,0.033978039087502035,Mckesson Corp,0.011053884424152734,0.8777695147718476,23
ICLR,0.00845777587317226,6,0.019963099701633305,Icon Plc,0.008058545216201496,0.8858280599880491,24
AMAT,0.007933029557446831,3,0.01989591453529826,Applied Matls Inc,0.007558568393013056,0.8933866283810622,25
V,0.007058300708548551,3,0.04519247334998961,Visa Inc,0.006725129190264498,0.9001117575713267,26
SOLV,0.006592446981345573,12,0.03361482352291042,Solventum Corp,0.00628126506084141,0.906393022632168,27
TSEM,0.006228432353808343,6,0.01864272984826191,Tower Semiconductor Ltd,0.005934432940984435,0.9123274555731524,28
GTX,0.0062078921311697205,33,0.030087092071025057,Garrett Motion Inc,0.005914862274255228,0.9182423178474076,29
MOH,0.005998423880995159,6,0.02107125426006184,Molina Healthcare Inc,0.005715281510860372,0.923957599358268,30
EHC,0.005331908896876436,12,0.0241793593881009,Encompass Health Corp,0.005080227896607764,0.9290378272548758,31
FIS,0.005027799191534126,39,0.06869173957045709,Fidelity Natl Information Sv,0.004790473019210245,0.933828300274086,32
MPC,0.00481363265467537,3,0.03480824872764554,Marathon Pete Corp,0.004586415741392331,0.9384147160154783,33
J,0.004574993446792327,15,0.02095900018328659,Jacobs Solutions Inc,0.004359040971012808,0.9427737569864911,34
FOX,0.0045107480156147545,26,0.11925290569336446,Fox Corp,0.00429782810372449,0.9470715850902156,35
FNF,0.004441185316239729,6,0.01450623554643176,Fidelity National Financial,0.004231548958157061,0.9513031340483726,36
HLF,0.004404336307725623,15,0.004188167182974617,Herbalife Ltd,0.004196439325821564,0.9554995733741942,37
COR,0.004209144861342664,17,0.015053498279705682,Amerisourcebergen Corp,0.004010461461181971,0.9595100348353762,38
TFX,0.004114171667281762,3,0.039075282993040535,Teleflex Incorporated,0.003919971267288975,0.9634300061026652,39
SNNRF,0.003908371776003332,3,0.03639214198326992,Sunrise Communications Ag,0.0037238857059989066,0.9671538918086641,40
DOC,0.0037006091405157953,9,0.015002808753904563,Healthpeak Properties Inc,0.003525930047511407,0.9706798218561755,41
SGI,0.003633053261507911,3,0.013338242545202494,Somnigroup International Inc,0.0034615629947816113,0.9741413848509571,42
COLD,0.003629304270184663,9,0.012441110895491233,Americold Realty Trust Inc,0.0034579909663255996,0.9775993758172827,43
GPC,0.003567233571994324,12,0.03207178782504102,Genuine Parts Co,0.003398850178550097,0.9809982259958329,44
TBN,0.0028860309572664032,18,0.0037864538993184066,Tamboran Res Corp,0.0027498022308985017,0.9837480282267314,45
XPO,0.0024000211055472636,6,0.008274651208618386,Xpo Logistics Inc,0.002286733402363903,0.9860347616290952,46
DNOW,0.002187170683249239,3,0.00904427808276926,Dnow Inc,0.0020839301148214925,0.9881186917439166,47
HWM,0.0020686570077751163,3,0.011350956245201925,Howmet Aerospace Inc,0.0019710106160232537,0.9900897023599399,48
HCA,0.0018972410266442656,3,0.014397417837033277,Hca Healthcare Inc,0.0018076859482339196,0.9918973883081738,49
