period,rebalance,n,priced_share
2013-06-30,2013-08-31,9,0.7129120267772806
2013-09-30,2013-11-30,9,0.6628284707102244
2013-12-31,2014-02-28,8,0.6682777268241517
2014-03-31,2014-05-31,8,0.6702575194230915
2014-06-30,2014-08-31,11,0.592533569137645
2014-09-30,2014-11-30,12,0.760755500694864
2014-12-31,2015-02-28,12,0.7555317663211881
2015-03-31,2015-05-31,12,0.6686341326531469
2015-06-30,2015-08-31,12,0.6423196250577595
2015-09-30,2015-11-30,17,0.7037851207093337
2015-12-31,2016-02-29,14,0.6291849860699983
2016-03-31,2016-05-31,14,0.552586572773926
2016-06-30,2016-08-31,15,0.535378563161186
2016-09-30,2016-11-30,17,0.6631230928123104
2016-12-31,2017-02-28,19,0.6159692942215973
2017-03-31,2017-05-31,20,0.6402473751652976
2017-06-30,2017-08-31,18,0.6500541599169087
2017-09-30,2017-11-30,18,0.6659805327415507
2017-12-31,2018-02-28,15,0.5896527279306643
2018-03-31,2018-05-31,16,0.5783139083146577
2018-06-30,2018-08-31,15,0.5453653630915642
2018-09-30,2018-11-30,16,0.5288011003872871
2018-12-31,2019-02-28,18,0.5340231053312492
2019-03-31,2019-05-31,21,0.7861787763300725
2019-06-30,2019-08-31,21,0.8379237953612727
2019-09-30,2019-11-30,22,0.8457262089799013
2019-12-31,2020-02-29,20,0.8392100476741066
2020-03-31,2020-05-31,21,0.8638938184253032
2020-06-30,2020-08-31,20,0.8544741479485242
2020-09-30,2020-11-30,20,0.7696070780513049
2020-12-31,2021-02-28,20,0.8120528485633294
2021-03-31,2021-05-31,22,0.8437131704178427
2021-06-30,2021-08-31,22,0.8167590101531182
2021-09-30,2021-11-30,26,0.8238367526180933
2021-12-31,2022-02-28,30,0.8173232548097579
2022-03-31,2022-05-31,32,0.8283753352474716
2022-06-30,2022-08-31,34,0.8182012288554965
2022-09-30,2022-11-30,31,0.7861757085872786
2022-12-31,2023-02-28,25,0.7919242406030195
2023-03-31,2023-05-31,22,0.8057633858904587
2023-06-30,2023-08-31,22,0.7794993539562721
2023-09-30,2023-11-30,23,0.8161124971927293
2023-12-31,2024-02-29,16,0.8924453608553213
2024-03-31,2024-05-31,16,0.8394363280573774
2024-06-30,2024-08-31,18,0.8087747148469456
2024-09-30,2024-11-30,15,0.8374626276093131
2024-12-31,2025-02-28,16,0.8565024693363801
2025-03-31,2025-05-31,17,0.8969900991458389
2025-06-30,2025-08-31,18,0.8808355944079987
2025-09-30,2025-11-30,19,0.9016528332196434
2025-12-31,2026-02-28,19,0.9520205206314564
2026-03-31,2026-05-31,20,0.9600839038351012
2026-06-30,2026-08-31,20,0.9393345794282082
