ticker,contribution,months_held,avg_weight_when_held,name,share_of_gains,cum_share_of_gains,rank
AAPL,0.8061217946510167,123,0.29968507754095663,Apple Inc,0.4819332974830428,0.4819332974830428,1
AXP,0.1775724689850966,155,0.1032714743241757,American Express Co,0.10616024289138727,0.5880935403744301,2
KO,0.15094254967603754,155,0.11049052713217146,Coca Cola Co,0.09023976423731718,0.6783333046117472,3
BAC,0.13986313925518243,105,0.1150395019536285,Bank Amer Corp,0.08361602966802388,0.7619493342797711,4
WFC,0.07056976193748998,104,0.13966100951726879,Wells Fargo & Co New,0.042189552867568,0.804138887147339,5
MCO,0.0548718146259695,155,0.026681759627778898,Moodys Corp,0.03280466393173257,0.8369435510790716,6
CVX,0.04110103826776679,66,0.056703035421608844,Chevron Corp New,0.024571918330203148,0.8615154694092747,7
PSX,0.022899021020869735,77,0.023895111544077,Phillips 66,0.01368999173939819,0.8752054611486729,8
DVA,0.020444371474120426,155,0.017232833109078843,Davita Healthcare Partners I,0.012222499658077798,0.8874279608067507,9
USB,0.01910140854957586,116,0.0279481017110506,Us Bancorp Del,0.011419620298013572,0.8988475811047643,10
VRSN,0.017491316460806927,155,0.009159012771957293,Verisign Inc,0.010457039959979547,0.9093046210647439,11
V,0.014477497531010911,152,0.0070307950712551305,Visa Inc,0.008655253053222853,0.9179598741179668,12
MA,0.010517476625799995,152,0.00516820852455628,Mastercard Inc,0.00628778706283081,0.9242476611807976,13
CHTR,0.010121903249331491,117,0.009572646989284575,Charter Communications Inc N,0.006051296766968634,0.9302989579477662,14
CB,0.00830013173023405,27,0.0310541510516069,Chubb Limited,0.004962165619187907,0.9352611235669541,15
COST,0.00828424513723994,86,0.0054376846629634575,Costco Whsl Corp New,0.004952667949979327,0.9402137915169334,16
GS,0.007838512418677316,78,0.01750596244278447,Goldman Sachs Group Inc,0.0046861903032039244,0.9448999818201373,17
BNY,0.0073347050969181414,116,0.011905203931909502,Bank Of New York Mellon Corp,0.004384993231641541,0.9492849750517789,18
GM,0.00708986090858301,122,0.011361119089797232,General Mtrs Co,0.004238615143569884,0.9535235901953488,19
PG,0.006874336201662033,122,0.01147048265577927,Procter & Gamble Co,0.0041097654667782285,0.957633355662127,20
C,0.0060853710707604106,36,0.008813278702170623,Citigroup Inc,0.0036380891398788092,0.9612714448020059,21
AMZN,0.006043816166892719,84,0.00556992659856084,Amazon Com Inc,0.003613245881725471,0.9648846906837314,22
KR,0.00569671026771907,78,0.008330220160765272,Kroger Co,0.0034057314692947883,0.9682904221530262,23
FWONA,0.004454065249818461,57,0.004458436444630904,Liberty Media Corp Delaware,0.002662826346208547,0.9709532484992347,24
