period,rebalance,n,priced_share
2013-06-30,2013-08-31,27,0.9185743919786326
2013-09-30,2013-11-30,27,0.8766113081932438
2013-12-31,2014-02-28,30,0.884518042283194
2014-03-31,2014-05-31,31,0.8857779613370008
2014-06-30,2014-08-31,32,0.8923832175132743
2014-09-30,2014-11-30,31,0.8900776679567581
2014-12-31,2015-02-28,32,0.9228416691023881
2015-03-31,2015-05-31,32,0.9204309047034681
2015-06-30,2015-08-31,31,0.9127779484369757
2015-09-30,2015-11-30,34,0.9504886687965978
2015-12-31,2016-02-29,35,0.9520595403745505
2016-03-31,2016-05-31,35,0.9542374152578899
2016-06-30,2016-08-31,37,0.9719350483830849
2016-09-30,2016-11-30,39,0.9705360419998553
2016-12-31,2017-02-28,36,0.9676618806159248
2017-03-31,2017-05-31,36,0.9691330218780083
2017-06-30,2017-08-31,36,0.9650712831629235
2017-09-30,2017-11-30,37,0.9667513169989526
2017-12-31,2018-02-28,38,0.9659609747084876
2018-03-31,2018-05-31,37,0.9609828582112923
2018-06-30,2018-08-31,36,0.9717586861711109
2018-09-30,2018-11-30,38,0.97528979446976
2018-12-31,2019-02-28,39,0.9690666047902804
2019-03-31,2019-05-31,39,0.9692457641703752
2019-06-30,2019-08-31,39,0.9777868617181638
2019-09-30,2019-11-30,42,0.9843924753179961
2019-12-31,2020-02-29,46,0.9849363470383772
2020-03-31,2020-05-31,44,0.9874688855287698
2020-06-30,2020-08-31,37,0.9817739353371444
2020-09-30,2020-11-30,42,0.984933864037352
2020-12-31,2021-02-28,41,0.9851068172639287
2021-03-31,2021-05-31,40,0.9859868426891175
2021-06-30,2021-08-31,40,0.9879218012791415
2021-09-30,2021-11-30,39,0.9879566907211861
2021-12-31,2022-02-28,39,0.9847718733386223
2022-03-31,2022-05-31,43,0.9694952834977104
2022-06-30,2022-08-31,41,0.9675881318827247
2022-09-30,2022-11-30,44,0.970933807286702
2022-12-31,2023-02-28,44,0.9729064024870381
2023-03-31,2023-05-31,43,0.975086113071605
2023-06-30,2023-08-31,43,0.9862026341851703
2023-09-30,2023-11-30,39,0.9961401392836124
2023-12-31,2024-02-29,35,0.9973038207202949
2024-03-31,2024-05-31,35,0.9997327280348565
2024-06-30,2024-08-31,36,1.0
2024-09-30,2024-11-30,37,1.0000000000000002
2024-12-31,2025-02-28,35,1.0
2025-03-31,2025-05-31,33,1.0
2025-06-30,2025-08-31,36,0.9995634048143711
2025-09-30,2025-11-30,36,0.9994824589157469
2025-12-31,2026-02-28,38,0.9995469334085255
2026-03-31,2026-05-31,26,1.0
2026-06-30,2026-08-31,26,1.0
