period,rebalance,n,priced_share
2013-06-30,2013-08-31,12,0.8632333027563011
2013-09-30,2013-11-30,12,0.6096972249671953
2013-12-31,2014-02-28,9,0.9677732207478891
2014-03-31,2014-05-31,8,0.6149687084625608
2014-06-30,2014-08-31,8,0.6073754924581313
2014-09-30,2014-11-30,8,0.857797933564433
2014-12-31,2015-02-28,7,0.9743482782324636
2015-03-31,2015-05-31,14,0.9215144671929727
2015-06-30,2015-08-31,19,0.8658532542024467
2015-09-30,2015-11-30,14,0.886821080222799
2015-12-31,2016-02-29,8,0.934892033664696
2016-03-31,2016-05-31,9,0.943456737807227
2016-06-30,2016-08-31,2,0.9942388466341242
2016-09-30,2016-11-30,12,1.0
2016-12-31,2017-02-28,2,1.0
2017-03-31,2017-05-31,1,1.0
2017-06-30,2017-08-31,2,0.893125126749138
2017-09-30,2017-11-30,5,0.5474541564088996
2020-12-31,2021-02-28,17,0.9575780455931465
2021-03-31,2021-05-31,28,0.9260814951184012
2021-06-30,2021-08-31,23,0.9025137798563556
2021-09-30,2021-11-30,20,0.9042934950908064
2021-12-31,2022-02-28,16,0.9845768740942427
2022-03-31,2022-05-31,23,0.9564389520662898
2022-06-30,2022-08-31,31,0.9507025255812931
2022-09-30,2022-11-30,50,0.9227399973338919
2022-12-31,2023-02-28,52,0.943594147903085
2023-03-31,2023-05-31,52,0.9160818199935336
2023-06-30,2023-08-31,50,0.8980851253365236
2023-09-30,2023-11-30,50,0.8164819294606714
2023-12-31,2024-02-29,52,0.9284189707684742
2024-03-31,2024-05-31,50,0.8669705499257364
2024-06-30,2024-08-31,55,0.91916599431661
2024-09-30,2024-11-30,55,0.9413391247984065
2024-12-31,2025-02-28,54,0.9755550782374903
2025-03-31,2025-05-31,53,0.9468780151286658
2025-06-30,2025-08-31,55,0.9800882996011351
2025-09-30,2025-11-30,54,0.9728243070760886
2025-12-31,2026-02-28,50,0.9144347374183953
2026-03-31,2026-05-31,55,0.9787382903077818
2026-06-30,2026-08-31,51,0.9392848552392394
