ticker,contribution,active,months_held,avg_weight_when_held,first_held,last_held,name,share_of_outperformance,cum_share_of_outperformance,rank
AMD,0.034191779720102136,0.027440191786136135,27,0.016822238008149564,2024-06-30,2026-08-31,Advanced Micro Devices Inc,0.09056094998406472,0.09056094998406472,1
LRCX,0.03121891908249175,0.02661525342878199,33,0.014080573040429367,2015-06-30,2026-08-31,Lam Research Corp,0.08783840336695142,0.17839935335101614,2
COST,0.039477977004552016,0.023396887576721124,57,0.02945233617489266,2018-03-31,2025-05-31,Costco Whsl Corp New,0.0772168205722509,0.2556161739232671,3
GOOG,0.04366945162627102,0.020053314624378947,48,0.03456241715382371,2022-09-30,2026-08-31,Alphabet Inc,0.06618201639649741,0.3217981903197645,4
MU,0.018760561452473325,0.017042158330172707,65,0.004293591071618434,2013-10-31,2026-08-31,Micron Technology Inc,0.05624428794769014,0.37804247826745463,5
NVDA,0.03419347622828959,0.015324799982173589,36,0.03478177908974916,2014-09-30,2026-08-31,Nvidia Corp,0.050576484870000216,0.42861896313745484,6
GEV,0.018108095399870384,0.012523525464400822,18,0.020370011414367263,2025-03-31,2026-08-31,Ge Vernova Inc,0.04133142989834267,0.4699503930357975,7
META,0.024615908369537445,0.010476547793928004,54,0.0177392167299767,2015-12-31,2026-08-31,Facebook Inc,0.03457578314926106,0.5045261761850586,8
AVGO,0.014390691351707152,0.0097206535139277,32,0.012807468507449876,2013-10-31,2026-08-31,Broadcom Corp,0.03208110291459397,0.5366072790996526,9
MRVL,0.007861213869545108,0.007153722030007543,6,0.010472061581617433,2026-03-31,2026-08-31,Marvell Technology Inc,0.02360945098374762,0.5602167300834002,10
WMT,0.028842658994904825,0.006868001396622924,60,0.0341437739911061,2015-09-30,2025-02-28,Wal-Mart Stores Inc,0.022666486291990876,0.5828832163753911,11
EWY,0.017545885535968204,0.006552535167092064,66,0.01152217452308792,2017-03-31,2026-08-31,Ishares,0.021625352117096375,0.6045085684924875,12
LLY,0.008684093431276284,0.005122890161011528,36,0.006421372325053856,2018-03-31,2026-05-31,Lilly Eli & Co,0.01690709027331288,0.6214156587658003,13
NRG,0.004859898353676795,0.0044004495411041,18,0.005267563920421359,2016-03-31,2026-08-31,Nrg Energy Inc,0.014522817256717255,0.6359384760225175,14
MCK,0.010322787975701861,0.003995814164294698,54,0.007739111331321672,2014-03-31,2025-11-30,Mckesson Corp,0.013187397868740037,0.6491258738912575,15
