ticker,contribution,months_held,avg_weight_when_held,name,share_of_gains,cum_share_of_gains,rank
AVGO,0.2036724267607466,111,0.052862253446774025,Broadcom Ltd,0.1007742988328751,0.1007742988328751,1
GOOG,0.16466423997976123,126,0.0730448770802157,Alphabet Inc,0.08147358771495147,0.1822478865478266,2
ADI,0.1597727999580804,156,0.06639506530073537,Analog Devices Inc,0.07905337086818609,0.2613012574160127,3
SPGI,0.10838990034492353,120,0.06452740169729179,S&P Global Inc,0.053629823052366306,0.314931080468379,4
FIS,0.09400762344671165,117,0.07712320427132871,Fidelity Natl Information Sv,0.046513671430428186,0.36144475189880715,5
TSM,0.08289590941899765,105,0.02714651998260916,Taiwan Semiconductor Mfg Ltd,0.041015749066643035,0.40246050096545016,6
V,0.07913430732646015,126,0.04071156953038957,Visa Inc,0.03915456039524257,0.44161506136069273,7
AMAT,0.07445540103299766,76,0.03374041612838476,Applied Matls Inc,0.03683950229666994,0.47845456365736266,8
IBKR,0.0701485477454675,108,0.02095255121435835,Interactive Brokers Group In,0.03470853087785949,0.5131630945352221,9
ECL,0.06661520466829436,150,0.048588449588156106,Ecolab Inc,0.03296028160916299,0.5461233761443851,10
ZTS,0.06600101405126235,120,0.032772661297666116,Zoetis Inc,0.03265638858954557,0.5787797647339307,11
ICE,0.06497518062769717,138,0.041523273259124326,Intercontinental Exchange In,0.032148820404576936,0.6109285851385076,12
CBRE,0.06206865884933045,124,0.03357554677633089,Cbre Group Inc,0.030710713642086895,0.6416392987805944,13
A,0.059669749720524225,126,0.033653982747028896,Agilent Technologies Inc,0.02952376659547851,0.671163065376073,14
CME,0.058183785437075045,138,0.033166258476822204,Cme Group Inc,0.02878853202722154,0.6999515974032945,15
WTW,0.048996540802119036,94,0.045012395432849336,Willis Towers Watson Pub Ltd,0.024242810492802132,0.7241944078960966,16
BIDU,0.04240053641442848,69,0.08866564187878448,Baidu Inc,0.020979198781390096,0.7451736066774867,17
AMT,0.038929176513918855,123,0.03460540106067563,American Tower Corp New,0.019261617930932836,0.7644352246084195,18
FAST,0.03753697718841002,96,0.022687846458004892,Fastenal Co,0.018572776966571166,0.7830080015749906,19
TNET,0.032734742713926415,99,0.02132125406300293,Trinet Group Inc,0.01619669779034752,0.7992046993653381,20
MSFT,0.031744400674840585,76,0.026999778952841048,Microsoft Corp,0.015706690251375,0.8149113896167131,21
TMO,0.031001828901836195,92,0.03163182632840948,Thermo Fisher Scientific Inc,0.015339276012011576,0.8302506656287246,22
AON,0.030456078867131517,113,0.02478922491491674,Aon Plc,0.01506924644561383,0.8453199120743384,23
EFX,0.028479508351177775,113,0.03001592614848649,Equifax Inc,0.014091266701340652,0.8594111787756791,24
CACC,0.024948308319515746,138,0.013937255134493473,Credit Accep Corp Mich,0.01234407778191275,0.8717552565575918,25
SSNC,0.023600902622607833,117,0.01859873509950792,Ss&C Technologies Hldgs Inc,0.011677400085236503,0.8834326566428283,26
ENTG,0.02124368672058777,81,0.017247633405488405,Entegris Inc,0.010511082270391488,0.8939437389132198,27
BLK,0.018409500768903065,55,0.024995953163675373,Blackrock Inc,0.009108766274134813,0.9030525051873546,28
MCO,0.0171302978053405,90,0.013033163218906218,Moodys Corp,0.008475834346292737,0.9115283395336473,29
LYV,0.016532897082443977,36,0.02041706093980337,Live Nation Entertainment In,0.008180248733995449,0.9197085882676428,30
BDX,0.015458956286059932,87,0.026176339584526972,Becton Dickinson & Co,0.007648877686549965,0.9273574659541928,31
KO,0.01484573238574001,18,0.0779271719295869,Coca Cola Co,0.007345462984986586,0.9347029289391794,32
BC,0.01483627104348426,58,0.02282379911338744,Brunswick Corp,0.007340781643741701,0.9420437105829211,33
VRSN,0.014164716385119434,81,0.025824977945408355,Verisign Inc,0.007008505690138199,0.9490522162730594,34
ORCL,0.013039144105914268,30,0.016206647802822414,Oracle Corp,0.00645158809934489,0.9555038043724042,35
ADSK,0.012993820390367205,54,0.022733520899883324,Autodesk Inc,0.006429162551972583,0.9619329669243768,36
PRI,0.012727452105022205,69,0.010871949775516957,Primerica Inc,0.00629736720974646,0.9682303341341233,37
CMPR,0.007136509321751069,51,0.02385256427460783,Cimpress N V,0.003531046074580119,0.9717613802087034,38
CL,0.006683313654976517,15,0.03383046172136876,Colgate Palmolive Co,0.0033068111288898426,0.9750681913375933,39
NXPI,0.00594978851414347,12,0.043314466312284805,Nxp Semiconductors N V,0.0029438730379592994,0.9780120643755525,40
MSM,0.004712036370557563,36,0.032942224991841025,Msc Indl Direct Inc,0.0023314504023450927,0.9803435147778976,41
CP,0.004668941049026196,33,0.017144551534579056,Canadian Pacific Kansas City,0.002310127433500604,0.9826536422113982,42
FERG,0.003699098617479831,21,0.024018734309078256,Ferguson Enterprises Inc,0.0018302628167144307,0.9844839050281126,43
BCO,0.0036726028011538937,18,0.030790518950322796,Brinks Co,0.0018171530533816278,0.9863010580814942,44
