period,rebalance,n,priced_share
2013-06-30,2013-08-31,18,0.47406145498138685
2013-09-30,2013-11-30,17,0.4074659123024265
2013-12-31,2014-02-28,19,0.381255548200324
2014-03-31,2014-05-31,26,0.43756354718828133
2014-06-30,2014-08-31,30,0.5004420147946118
2014-09-30,2014-11-30,25,0.46343819894308436
2014-12-31,2015-02-28,25,0.40447212777793023
2015-03-31,2015-05-31,31,0.4115414558501447
2015-06-30,2015-08-31,28,0.4196616841949472
2015-09-30,2015-11-30,28,0.44270831898297525
2015-12-31,2016-02-29,24,0.45088265778493136
2016-03-31,2016-05-31,17,0.463121376124431
2016-06-30,2016-08-31,16,0.4305666737557639
2016-09-30,2016-11-30,18,0.4403994671092998
2016-12-31,2017-02-28,18,0.37073579101316256
2017-03-31,2017-05-31,18,0.2558529045070342
2017-06-30,2017-08-31,18,0.237266752757675
2017-09-30,2017-11-30,15,0.21899066417152102
2017-12-31,2018-02-28,25,0.2992729427808395
2018-03-31,2018-05-31,19,0.3248138491943
2018-06-30,2018-08-31,23,0.4218129941136061
2018-09-30,2018-11-30,23,0.6159438739580843
2018-12-31,2019-02-28,22,0.6140992221309192
2019-03-31,2019-05-31,19,0.5361271024158099
2019-06-30,2019-08-31,24,0.49260215823087683
2019-09-30,2019-11-30,19,0.47648451934490954
2019-12-31,2020-02-29,15,0.4566614612072051
2020-03-31,2020-05-31,16,0.5155595128311127
2020-06-30,2020-08-31,14,0.4604475389706203
2020-09-30,2020-11-30,18,0.6669225321697951
2020-12-31,2021-02-28,15,0.6201180392960802
2021-03-31,2021-05-31,14,0.426212507202372
2021-06-30,2021-08-31,13,0.4450027661711272
2021-09-30,2021-11-30,18,0.507101280981239
2021-12-31,2022-02-28,20,0.5523568611734252
2022-03-31,2022-05-31,27,0.6478929022315256
2022-06-30,2022-08-31,14,0.5890660632298255
2022-09-30,2022-11-30,12,0.6957171165967955
2022-12-31,2023-02-28,13,0.7031085928988687
2023-03-31,2023-05-31,10,0.7287337391207184
2023-06-30,2023-08-31,10,0.7425574687853727
2023-09-30,2023-11-30,8,0.6696743284812039
2023-12-31,2024-02-29,8,0.757499445042276
2024-03-31,2024-05-31,7,0.7129815804377673
2024-06-30,2024-08-31,7,0.7246791275075641
2024-09-30,2024-11-30,8,0.688516223218688
2024-12-31,2025-02-28,7,0.7031403133757141
2025-03-31,2025-05-31,9,0.6586859088084461
2025-06-30,2025-08-31,12,0.9380768369691639
2025-09-30,2025-11-30,10,0.9249724182158559
2025-12-31,2026-02-28,11,0.9167353364457955
2026-03-31,2026-05-31,15,0.85322247466426
2026-06-30,2026-08-31,20,0.9623653367235422
