period,rebalance,n,priced_share
2013-06-30,2013-08-31,40,0.6722320071174234
2013-09-30,2013-11-30,38,0.6529215437977198
2013-12-31,2014-02-28,36,0.6714801701286733
2014-03-31,2014-05-31,40,0.7570558458862182
2014-06-30,2014-08-31,39,0.6741032382947338
2014-09-30,2014-11-30,38,0.5915890526775124
2014-12-31,2015-02-28,36,0.7125066792730272
2015-03-31,2015-05-31,44,0.7571710426468355
2015-06-30,2015-08-31,41,0.7060285399225538
2015-09-30,2015-11-30,42,0.8196647458842286
2015-12-31,2016-02-29,35,0.7767438879810311
2016-03-31,2016-05-31,42,0.7230640308289782
2016-06-30,2016-08-31,43,0.7836244814852591
2016-09-30,2016-11-30,43,0.8226946144873079
2016-12-31,2017-02-28,45,0.7070964625565557
2017-03-31,2017-05-31,48,0.6816612989769465
2017-06-30,2017-08-31,41,0.6102267641024051
2017-09-30,2017-11-30,47,0.8011148158744504
2017-12-31,2018-02-28,43,0.7873552287810689
2018-03-31,2018-05-31,49,0.8280068054747388
2018-06-30,2018-08-31,46,0.8426520679713213
2018-09-30,2018-11-30,46,0.8640614347992999
2018-12-31,2019-02-28,45,0.910300791981564
2019-03-31,2019-05-31,48,0.8535158571759274
2019-06-30,2019-08-31,49,0.8903519022212057
2019-09-30,2019-11-30,46,0.8894043023859508
2019-12-31,2020-02-29,51,0.9308410019506701
2020-03-31,2020-05-31,47,0.9212075244294597
2020-06-30,2020-08-31,50,0.8814025634187426
2020-09-30,2020-11-30,53,0.8911428227135905
2020-12-31,2021-02-28,56,0.9974312289606524
2021-03-31,2021-05-31,52,0.8747212106597265
2021-06-30,2021-08-31,51,0.9184014342465048
2021-09-30,2021-11-30,55,0.9814657250113202
2021-12-31,2022-02-28,56,0.9808318912569826
2022-03-31,2022-05-31,53,0.9795908781041257
2022-06-30,2022-08-31,55,0.9798135294984541
2022-09-30,2022-11-30,57,0.9862848078865585
2022-12-31,2023-02-28,54,0.9868794433825936
2023-03-31,2023-05-31,60,0.9999999999999999
2023-06-30,2023-08-31,57,0.9808055580218655
2023-09-30,2023-11-30,59,0.9951764654041995
2023-12-31,2024-02-29,52,0.9102925616716858
2024-03-31,2024-05-31,54,0.8989447810216169
2024-06-30,2024-08-31,56,0.9698691272393041
2024-09-30,2024-11-30,48,0.9149324186943144
2024-12-31,2025-02-28,52,0.9326037628531978
2025-03-31,2025-05-31,45,0.7874090911815285
2025-06-30,2025-08-31,49,0.9062123788501193
2025-09-30,2025-11-30,55,0.95637381072511
2025-12-31,2026-02-28,52,0.9493916994093855
2026-03-31,2026-05-31,50,0.9089435813763043
2026-06-30,2026-08-31,56,0.9619798571768441
