ticker,contribution,months_held,avg_weight_when_held,name,share_of_gains,cum_share_of_gains,rank
NVDA,0.12661565200139469,66,0.033675330588911735,Nvidia 1% Cb 12/01/2018-Registered,0.0657729937438167,0.0657729937438167,1
MU,0.06969811172272558,66,0.021270698210642328,Micron Technology Inc,0.03620605662753426,0.10197905037135097,2
AMZN,0.06644781489840683,101,0.04161736982711873,Amazon Com Inc Cmn Stock,0.03451762593739249,0.13649667630874346,3
META,0.061204063382679745,107,0.03574387049561555,Facebook Inc-A,0.03179365595274756,0.168290332261491,4
AVGO,0.05545274236814343,87,0.023497365517443563,Broadcom Corp Cmn Stk,0.02880601899690255,0.19709635125839356,5
ADBE,0.051363707737353215,77,0.021858271078251522,Adobe Systems Common Stock,0.026681889436788984,0.22377824069518254,6
SPY,0.0429331159062874,75,0.04596028840893199,Spdr S&P 500 Etf Trust,0.022302452495175665,0.2460806931903582,7
MSFT,0.04208226210918574,93,0.028912274407941675,Microsoft,0.02186045973528328,0.26794115292564147,8
AAPL,0.041977534306500836,72,0.02689706935668091,Apple Inc,0.0218060568158818,0.2897472097415233,9
GOOG,0.039124224468886054,63,0.03126946483713764,Alphabet Inc-Cl A,0.020323848833439465,0.31007105857496275,10
LRCX,0.034793763910129685,35,0.022155699024324464,Lam Research Common Stock,0.018074305820891617,0.3281453643958544,11
JPM,0.03228775291920404,51,0.02167006795867817,Jpmorgan Chase & Co Cmn Stk,0.016772509063360624,0.34491787345921504,12
DHR,0.0314093919121739,39,0.0172006136239628,Danaher Corp Cmn Stk,0.01631622714159972,0.36123410060081473,13
V,0.028685787023035387,65,0.03016188834552803,Visa Inc-Class A Shrs,0.014901396948789412,0.3761354975496041,14
PANW,0.027758426394469116,42,0.018334912443299402,Palo Alto Networks Inc,0.014419661208722463,0.3905551587583266,15
TMUS,0.0273887853327218,75,0.02341393523217047,T-Mobile Us Inc,0.014227643880236913,0.4047828026385635,16
QQQ,0.025649779672824894,39,0.02753802116645704,Invesco Qqq Tr,0.013324283145755199,0.41810708578431866,17
AMD,0.025645457455902514,33,0.018200236223431962,Advanced Micro Devices Inc,0.013322037885061899,0.4314291236693806,18
INTC,0.025012431224024034,30,0.01579299222972729,Intel Corp,0.012993199943378698,0.4444223236127593,19
AMAT,0.024129643840849275,35,0.020823179566450953,Applied Material Cmn Stk,0.012534618653365404,0.4569569422661247,20
GILD,0.023270693046047133,42,0.016688628995547513,Gilead Sciences Inc,0.012088419748571664,0.4690453620146964,21
ABBV,0.022143186087088353,33,0.017532554091679267,Abbvie Inc,0.01150271405590668,0.48054807607060307,22
PYPL,0.018284075036318834,15,0.019529560877938595,Paypal Hldgs Inc,0.009498022827083235,0.4900460988976863,23
CRM,0.017160857830310378,65,0.022042545994474992,Salesforce.Com Inc Common Stock,0.008914545531061984,0.49896064442874827,24
NXPI,0.01653314283372509,41,0.019622907892807535,Nxp Semiconductors Nv,0.008588466615140521,0.5075491110438888,25
BSX,0.01609827120534348,78,0.022151643093309407,Boston Scientific Corp,0.008362563984298388,0.5159116750281871,26
PODD,0.01563433205582899,24,0.017618827476447146,Insulet Corp,0.00812156165720701,0.5240332366853941,27
TER,0.015552893070881148,15,0.022425823636832425,Teradyne Inc,0.00807925657278176,0.5321124932581759,28
LOW,0.015002950562367418,51,0.019151471047671814,Lowe'S Companies Common Stock,0.007793578107282612,0.5399060713654585,29
BAC,0.014883141312737597,51,0.023136272811301598,Bankamerica Corp Cmn Stock,0.007731340833282184,0.5476374121987407,30
ISRG,0.014857949239020934,45,0.018284198725652245,Intuitive Surgical Inc Cmn Stk,0.0077182543145084895,0.5553556665132492,31
PM,0.014693470659679285,33,0.016200284789944164,Philip Morris International,0.007632812677562127,0.5629884791908113,32
LULU,0.014217599402589078,15,0.014639348001309874,Lululemon Athletica Inc,0.007385611982223832,0.5703740911730352,33
T,0.013780399432597238,51,0.02622385040751567,At&T Inc,0.007158499848482631,0.5775325910215178,34
HD,0.013429044010022047,41,0.020686635514217393,Home Depot Common Hd,0.006975981355345309,0.584508572376863,35
WDAY,0.012955485621812708,18,0.015434620211628928,Workday Inc,0.006729982125292126,0.5912385545021551,36
PGR,0.012726701809512034,24,0.018394980163583634,Progressive Corp,0.006611135868788444,0.5978496903709436,37
CSCO,0.012414816938621304,24,0.014190782124983219,Cisco Sys Inc Cmn Stk,0.006449121130976557,0.6042988115019201,38
KO,0.012354268383911536,45,0.019925705282714565,Coca Cola Co,0.006417667991912211,0.6107164794938323,39
AME,0.011816090996132322,39,0.015609659145842319,Ametek Inc Cmn Stock,0.00613810115005702,0.6168545806438893,40
ADI,0.011691472089900838,36,0.018902124212649814,Analog Devices Inc,0.006073365405223242,0.6229279460491126,41
LLY,0.011338314174377528,50,0.01915061483659453,Eli Lilly Common Stock,0.005889910571629382,0.628817856620742,42
MS,0.011233103259126926,39,0.018256417701566212,Morgan Stanley Common Stock,0.00583525668989221,0.6346531133106341,43
SPOT,0.01100085537092506,21,0.012616593846279651,Spotify Technology S A,0.005714610950947173,0.6403677242615813,44
LMT,0.010981363522928254,18,0.01587445463418629,Lockheed Martin Corporation Common Stock,0.005704485526672335,0.6460722097882536,45
BAX,0.0107203556661707,27,0.022451505631987768,Baxter Intl Inc,0.00556889985572059,0.6516411096439743,46
HON,0.010667389005067496,24,0.02290000998591282,Honeywell International Inc Cmn Stk,0.005541385280592601,0.6571824949245668,47
MA,0.01042870635633478,42,0.016201878577710445,Mastercard Inc,0.005417396878576698,0.6625998918031435,48
SCHW,0.010363534277705595,15,0.021859969924189027,Schwab Charles Corp New,0.0053835419589661135,0.6679834337621096,49
EW,0.009737357515627024,20,0.02427855013377138,Edwards Lifesciences Cp Cmn Stock,0.005058262109250033,0.6730416958713595,50
DD,0.009591069873146164,9,0.019984142477364915,Dupont De Nemours Inc,0.0049822701126714004,0.6780239659840309,51
MRVL,0.009286278250140906,30,0.017609391153190167,Marvell Technology Group Ltd,0.004823940102153651,0.6828479060861846,52
UNP,0.009026496103065287,30,0.015507589744649487,Union Pac Corp,0.004688991150232827,0.6875368972364174,53
DXCM,0.009012642707623848,30,0.018221594684395527,Dexcom Inc,0.004681794731170116,0.6922186919675876,54
MRK,0.008809656912160235,63,0.019801093987590626,Merck & Co,0.004576349762526233,0.6967950417301138,55
EMR,0.008738693970037605,15,0.01367725061661228,Emerson Elec Co,0.004539486664840465,0.7013345283949542,56
PG,0.008389460062523675,30,0.019047539921692995,Procter & Gamble Co,0.004358070234478527,0.7056925986294328,57
DELL,0.0083189350693726,6,0.015026106466045144,Dell Technologies Inc,0.004321434638010112,0.710014033267443,58
NOW,0.008282702688690864,18,0.017795893934204512,Servicenow Inc,0.004302613014378011,0.714316646281821,59
OPTU,0.008045984264895861,18,0.01858017560874993,Altice Usa Inc,0.004179644967685463,0.7184962912495064,60
ASML,0.007916469326212611,15,0.013453437119017647,Asml Holding N V,0.004112365882382089,0.7226086571318885,61
MDT,0.007897075013222251,39,0.017368758651008696,Medtronic Plc,0.004102291124587006,0.7267109482564755,62
REGN,0.007830396871880274,9,0.011376201282174911,Regeneron Pharmaceuticals,0.004067653851042919,0.7307786021075184,63
COST,0.00781281775786275,27,0.017799979472464516,Costco Wholesale Corp Common Stock,0.00405852203409912,0.7348371241416175,64
WDC,0.007702870328670147,29,0.016738941076313494,Western Digital Common Stock,0.004001407676923484,0.738838531818541,65
NWL,0.007655830949965922,6,0.020703597204551793,Newell Rubbermaid Inc Cmn Stock,0.003976972145357513,0.7428155039638985,66
IVV,0.007408765218512814,6,0.06217404206397082,Ishares Tr,0.0038486289859430848,0.7466641329498416,67
OXY,0.007194081471010335,15,0.015645706283882708,Occidental Pete Corp Del,0.003737107285756885,0.7504012402355985,68
GS,0.007193786877743918,36,0.024215622982397773,The Goldman Sachs Group Inc Cmn Stock,0.003736954253483523,0.754138194489082,69
C,0.007163905070485279,59,0.019402913352557723,Citigroup Inc. Common Stock (Was Trv),0.003721431560271354,0.7578596260493534,70
ORCL,0.007007932863512191,6,0.013080157181065576,Oracle Corp,0.003640408725959075,0.7615000347753125,71
SLB,0.00697994122964294,8,0.03370533526014727,Schlumberger Ltd,0.0036258679205352622,0.7651259026958477,72
NSC,0.006917188776067276,18,0.016633772126187083,Norfolk Southern Corp,0.0035932699228059146,0.7687191726186536,73
PCAR,0.006795370570070408,9,0.012743824541182672,Paccar Inc,0.003529989056860315,0.7722491616755139,74
MCHP,0.0066145316998459935,42,0.018387341031921443,Microchip Technology 2.125% Cb 12/15/37 - Register,0.0034360487446485335,0.7756852104201625,75
AEP,0.00626544505948597,27,0.018067345232870284,American Elec Pwr Inc,0.0032547088151096727,0.7789399192352722,76
MCD,0.006241727335780881,48,0.02286671305910727,Mcdonalds Corp,0.0032423881764823475,0.7821823074117545,77
SNPS,0.006180801370966626,12,0.014432392112414398,Synopsys Inc,0.003210738984307277,0.7853930463960618,78
EQT,0.006145086787998812,5,0.018500490873931935,Eqt Corporation,0.0031921863408941294,0.7885852327369559,79
DIA,0.006128748032760068,18,0.025549430112945734,Spdr Dow Jones Indl Avrg Etf,0.0031836988527430767,0.791768931589699,80
SHW,0.00612538343885527,30,0.01662794551825164,Sherwin Williams Co,0.003181951048183745,0.7949508826378827,81
CDNS,0.006044079374479568,12,0.014403267865099012,Cadence Design System Inc,0.003139716050906544,0.7980905986887893,82
ABT,0.005922678340623803,15,0.01683617712268648,Abbott Labs,0.003076651893244582,0.8011672505820339,83
HSY,0.005883729939162755,6,0.01317540055286179,The Hershey Co,0.0030564193791348653,0.8042236699611687,84
CME,0.005811273276087894,21,0.013922568971984437,Cme Group Inc Cmn Stk,0.0030187803386861525,0.8072424502998549,85
YUM,0.00576074302555914,24,0.017027948790181408,Yum! Brands Inc Cmn Stock,0.0029925314050087853,0.8102349817048636,86
ARGX,0.005354311432466248,18,0.013080104497090576,Argenx Se,0.0027814025105377146,0.8130163842154013,87
TJX,0.00528752372089062,27,0.016060382568217662,Tjx Companies Inc,0.0027467083185781045,0.8157630925339795,88
A,0.005280492638986007,9,0.014431460939322401,Agilent Technologies Inc Cmn Stk,0.002743055884626895,0.8185061484186064,89
EOG,0.005209483692812527,9,0.015369395075091953,Eog Resources Inc Cmn Stock,0.002706168889231003,0.8212123173078374,90
TFC,0.00512450141154359,21,0.014472465477029501,Truist Finl Corp,0.0026620231697572724,0.8238743404775947,91
MHK,0.005087160025667401,9,0.016402054491683055,Mohawk Industries Inc Cmn Stk,0.0026426254515384143,0.826516965929133,92
HBAN,0.005067165482214745,15,0.012441451386724502,Huntington Bancshares Inc,0.002632238892209971,0.829149204821343,93
JNJ,0.00501524508103368,21,0.017920924942843797,Johnson & Johnson,0.0026052678174014556,0.8317544726387445,94
RCL,0.0048947319686984524,12,0.013265875996286293,Royal Caribbean Cruises Ltd,0.0025426649080582606,0.8342971375468027,95
TSM,0.004889289740667465,18,0.017041346461983502,Taiwan Semiconductor Mfg Ltd,0.0025398378355393695,0.836836975382342,96
ETSY,0.004670118195283115,3,0.0134164704710251,Etsy Inc,0.002425984860369849,0.8392629602427119,97
EQH,0.004633447254838668,6,0.011613925911625099,Equitable Hldgs Inc,0.0024069354182329012,0.8416698956609447,98
CVS,0.0046147455298355166,9,0.014620553987397943,Cvs Health Corp,0.002397220438906196,0.844067116099851,99
NTRA,0.004472830352467264,9,0.011058388206800406,Natera Inc,0.002323499805432762,0.8463906159052837,100
PPG,0.004320903516283893,14,0.019119334808885568,Ppg Inds Inc,0.0022445784186385237,0.8486351943239223,101
VRSK,0.004279711570639289,12,0.01152930667080529,Verisk Analytics Inc,0.0022231804513228527,0.8508583747752452,102
SWK,0.004262536602078669,21,0.017157069260107332,Stanley Black & Decker Inc,0.0022142585756950634,0.8530726333509402,103
CB,0.004163461780134844,6,0.012765740913431514,Chubb Limited,0.002162792208457866,0.855235425559398,104
MPC,0.004148871764356885,6,0.01837303479304365,Marathon Petroleum Corp,0.002155213137455844,0.8573906386968538,105
APH,0.004132934629630268,6,0.014205656491724875,Amphenol Corp New,0.0021469342789885147,0.8595375729758423,106
ELV,0.004115456205519435,12,0.013543091629900555,Anthem Inc,0.0021378547673995296,0.8616754277432419,107
ZBH,0.004048551912158364,12,0.013386770880234012,Zimmer Biomet Hldgs Inc,0.0021031000147357457,0.8637785277579777,108
VZ,0.004036956733752107,24,0.021963464185291826,Verizon Communications Cmn Stk,0.002097076670980704,0.8658756044289584,109
DDOG,0.0039994044937704375,12,0.01219377146061786,Datadog Inc,0.002077569420444621,0.867953173849403,110
BLK,0.003961726464389633,21,0.013933451802380224,Blackrock Inc,0.0020579968261281167,0.8700111706755311,111
OMC,0.003937160530471284,9,0.013000655286312267,Omnicom Group Inc,0.002045235568002583,0.8720564062435338,112
SSNC,0.00389408591359871,6,0.010458866520347172,Ss&C Technologies Hldgs Inc,0.0020228596100440367,0.8740792658535778,113
CHTR,0.0038881688135358255,51,0.021738678493701754,Charter Communication-A,0.002019785855897011,0.8760990517094748,114
PLTR,0.003862480456609547,6,0.01394946516609321,Palantir Technologies Inc,0.0020064415330372874,0.8781054932425121,115
ROST,0.0038582818438787003,18,0.012762916941413262,Ross Stores Inc Cmn Stk,0.0020042604809752907,0.8801097537234873,116
EBAY,0.0036809758680319948,3,0.01942391361127493,Ebay Inc,0.001912155400317662,0.882021909123805,117
CAH,0.0035873971405952464,12,0.01273250314502101,Cardinal Health Inc,0.001863544087601097,0.8838854532114061,118
GEHC,0.0034917452633976783,9,0.01848623463269454,Ge Healthcare Technologies I,0.00181385583641687,0.885699309047823,119
ABNB,0.0034544019752420878,3,0.009862899167706838,Airbnb Inc,0.0017944571300215174,0.8874937661778445,120
ADSK,0.0034301476753091716,21,0.01612980631427995,Autodesk Inc,0.0017818577563064038,0.8892756239341508,121
COIN,0.0033555481008239393,3,0.014983658482649785,Coinbase Global Inc,0.001743105538327425,0.8910187294724783,122
