period,rebalance,n,priced_share
2013-06-30,2013-08-31,38,0.6315775946669924
2013-09-30,2013-11-30,35,0.5999832597562176
2013-12-31,2014-02-28,39,0.6473673029710243
2014-03-31,2014-05-31,34,0.5777510485391905
2014-06-30,2014-08-31,35,0.607513161994715
2014-09-30,2014-11-30,33,0.5600147834720314
2014-12-31,2015-02-28,40,0.654686382578783
2015-03-31,2015-05-31,36,0.6091386246514542
2015-06-30,2015-08-31,34,0.5683520149268682
2015-09-30,2015-11-30,42,0.7042083738691273
2015-12-31,2016-02-29,39,0.66106404461983
2016-03-31,2016-05-31,41,0.6856775365973731
2016-06-30,2016-08-31,45,0.749736719923671
2016-09-30,2016-11-30,40,0.6697579588834027
2016-12-31,2017-02-28,40,0.7083828716974658
2017-03-31,2017-05-31,42,0.725942814157023
2017-06-30,2017-08-31,42,0.7456823279865644
2017-09-30,2017-11-30,45,0.7593967058164356
2017-12-31,2018-02-28,50,0.8188165277266409
2018-03-31,2018-05-31,48,0.8038505872132475
2018-06-30,2018-08-31,49,0.8473025579312331
2018-09-30,2018-11-30,50,0.8694982986089511
2018-12-31,2019-02-28,50,0.8556216723917016
2019-03-31,2019-05-31,48,0.7955560008278523
2019-06-30,2019-08-31,49,0.8040347788384653
2019-09-30,2019-11-30,54,0.8562250195806114
2019-12-31,2020-02-29,54,0.9072359349420677
2020-03-31,2020-05-31,53,0.8749613714666544
2020-06-30,2020-08-31,54,0.9097152646956289
2020-09-30,2020-11-30,55,0.9278261318223608
2020-12-31,2021-02-28,51,0.9058736347809673
2021-03-31,2021-05-31,53,0.9196352333600526
2021-06-30,2021-08-31,49,0.8483511455277446
2021-09-30,2021-11-30,53,0.9143045352133515
2021-12-31,2022-02-28,55,0.9557215460612319
2022-03-31,2022-05-31,57,0.9437326358343987
2022-06-30,2022-08-31,57,0.9619331359817368
2022-09-30,2022-11-30,54,0.9148412239910737
2022-12-31,2023-02-28,59,0.9823704739204147
2023-03-31,2023-05-31,58,0.9698382830679627
2023-06-30,2023-08-31,56,0.9447460188640111
2023-09-30,2023-11-30,56,0.8986548319610315
2023-12-31,2024-02-29,59,0.9910965136264753
2024-03-31,2024-05-31,58,0.907251164298533
2024-06-30,2024-08-31,59,0.9659250974332189
2024-09-30,2024-11-30,58,0.9487755833314477
2024-12-31,2025-02-28,59,0.9582472917312652
2025-03-31,2025-05-31,58,0.9438445918726741
2025-06-30,2025-08-31,59,0.9627251392574393
2025-09-30,2025-11-30,57,0.9753601681298182
2025-12-31,2026-02-28,59,0.9999999999999999
2026-03-31,2026-05-31,58,0.9857667685790523
2026-06-30,2026-08-31,56,0.956451765879661
