period,rebalance,n,priced_share
2013-06-30,2013-08-31,28,0.6679205498803498
2013-09-30,2013-11-30,26,0.635568725326827
2013-12-31,2014-02-28,24,0.6626576275935532
2014-03-31,2014-05-31,20,0.7035199889374252
2014-06-30,2014-08-31,23,0.8425471801487251
2014-09-30,2014-11-30,25,0.7920972690400492
2014-12-31,2015-02-28,28,0.7829861762504382
2015-03-31,2015-05-31,26,0.7974763995922917
2015-06-30,2015-08-31,37,0.8161350529633852
2015-09-30,2015-11-30,33,0.8219442349950087
2015-12-31,2016-02-29,37,0.8534845391159865
2016-03-31,2016-05-31,33,0.8286611580685139
2016-06-30,2016-08-31,33,0.74054737709855
2016-09-30,2016-11-30,31,0.7393932637569994
2016-12-31,2017-02-28,35,0.7450801199444562
2017-03-31,2017-05-31,29,0.7879043101037755
2017-06-30,2017-08-31,32,0.7960590360403237
2017-09-30,2017-11-30,30,0.780571717108354
2017-12-31,2018-02-28,31,0.7785796421345785
2018-03-31,2018-05-31,48,0.7184176656852617
2018-06-30,2018-08-31,47,0.6954395093435947
2018-09-30,2018-11-30,46,0.7718928284273364
2018-12-31,2019-02-28,46,0.7636241093436613
2019-03-31,2019-05-31,44,0.7853590449139001
2019-06-30,2019-08-31,46,0.8173441501437557
2019-09-30,2019-11-30,52,0.8158988320986426
2019-12-31,2020-02-29,53,0.7713539209902676
2020-03-31,2020-05-31,51,0.8093600488549028
2020-06-30,2020-08-31,51,0.9045991779023966
2020-09-30,2020-11-30,47,0.8777006709145815
2020-12-31,2021-02-28,53,0.9186421019435406
2021-03-31,2021-05-31,50,0.9213160862854214
2021-06-30,2021-08-31,48,0.9073394544634563
2021-09-30,2021-11-30,53,0.9419155931294438
2021-12-31,2022-02-28,53,0.9380860288230907
2022-03-31,2022-05-31,50,0.9539538424390882
2022-06-30,2022-08-31,52,0.9402899997402296
2022-09-30,2022-11-30,57,0.958003278180922
2022-12-31,2023-02-28,55,0.9573644860514509
2023-03-31,2023-05-31,54,0.9810777227120508
2023-06-30,2023-08-31,57,0.9908277969517845
2023-09-30,2023-11-30,58,1.0
2023-12-31,2024-02-29,58,0.9942495939792133
2024-03-31,2024-05-31,59,1.0
2024-06-30,2024-08-31,57,0.9993279800401267
2024-09-30,2024-11-30,57,0.9993534807327893
2024-12-31,2025-02-28,57,0.9994095104219545
2025-03-31,2025-05-31,59,1.0
2025-06-30,2025-08-31,59,0.9999999999999999
2025-09-30,2025-11-30,58,1.0
2025-12-31,2026-02-28,51,1.0
2026-03-31,2026-05-31,56,0.9999116215829809
2026-06-30,2026-08-31,57,0.9999466694696789
