ticker,contribution,active,months_held,avg_weight_when_held,first_held,last_held,name,share_of_outperformance,cum_share_of_outperformance,rank
ILMN,0.1416938973460029,0.08759417404436397,33,0.1160702973327603,2020-12-31,2026-08-31,Illumina Inc,0.14328518980339358,0.14328518980339358,1
WGS,0.10737316389632773,0.07473728582449554,36,0.060255686321387655,2023-09-30,2026-08-31,Genedx Holdings Corp,0.12225409168570553,0.2655392814890991,2
CEG,0.0859301143436875,0.07119098158315751,18,0.08947763222754097,2022-06-30,2023-11-30,Constellation Energy Corp,0.11645310227214768,0.3819923837612468,3
NOW,0.033327130545088665,0.03838283984119935,11,0.07699082069441852,2018-10-31,2020-02-29,Servicenow Inc,0.06278605343152237,0.44477843719276916,4
DLTR,0.05164746234986379,0.03628930026900546,18,0.05846246626490427,2018-12-31,2026-02-28,Dollar Tree Inc,0.05936147390628147,0.5041399110990507,5
EXC,0.05010955931602608,0.03524180345587813,21,0.07729615556494977,2020-09-30,2022-05-31,Exelon Corp,0.057647994884133455,0.5617879059831841,6
FMX,0.055700834690200964,0.024605280131620885,36,0.058697838394195095,2022-06-30,2025-05-31,Fomento Economico Mexicano S,0.040248935186481295,0.6020368411696654,7
MSFT,0.0374541485375576,0.02371957441569578,71,0.052864297952140545,2018-10-31,2026-08-31,Microsoft Corp,0.038800111528962664,0.6408369526986281,8
KNF,0.030092387365623835,0.016736032403685572,9,0.07019263712429034,2023-09-30,2024-05-31,Knife River Corp,0.02737654194105764,0.6682134946396857,9
MDB,0.015076515268200884,0.016176644961123855,8,0.030538499313978746,2018-10-31,2019-05-31,Mongodb Inc,0.026461504648274948,0.6946749992879606,10
UBER,0.019626545928887528,0.015053745829829665,27,0.030726172642707515,2021-12-31,2024-05-31,Uber Technologies Inc,0.02462468368486173,0.7192996829728223,11
KKR,0.02271810273502866,0.015049172970412592,12,0.030848894638486325,2023-09-30,2024-08-31,Kkr & Co Inc,0.024617203472431303,0.7439168864452537,12
CRM,0.020719936875457746,0.014724487482187394,56,0.016288053901758345,2018-10-31,2026-08-31,Salesforce Com Inc,0.024086087992271715,0.7680029744375254,13
UNP,0.021144773236740473,0.010284810268505305,12,0.04875101320134776,2020-06-30,2026-08-31,Union Pac Corp,0.016823732942196662,0.784826707379722,14
GOOG,0.022401684183415725,0.008863468811378675,71,0.05469930729358674,2018-10-31,2025-11-30,Alphabet Inc,0.014498724656181265,0.7993254320359033,15
CNC,0.016145725340902993,0.008729815953747075,9,0.028217318021187154,2019-09-30,2020-11-30,Centene Corp Del,0.014280097386931478,0.8136055294228348,16
TWLO,0.007845854283022324,0.008535250821430791,6,0.014185586142547455,2019-12-31,2020-05-31,Twilio Inc,0.013961830764553812,0.8275673601873886,17
ADBE,0.045833412300127385,0.007917141708564798,33,0.044244284369203545,2019-06-30,2024-05-31,Adobe Inc,0.012950737475274608,0.8405180976626633,18
FE,0.015297071246640051,0.00782143143394863,9,0.031465283014125274,2020-12-31,2021-08-31,Firstenergy Corp,0.012794176094176742,0.85331227375684,19
META,0.004662848541315604,0.007403741458628885,59,0.011349249580799659,2018-10-31,2026-08-31,Facebook Inc,0.01211092531813366,0.8654231990749737,20
ICE,0.004250814333539074,0.006945183751055343,5,0.07404586426493943,2018-10-31,2019-02-28,Intercontinental Exchange In,0.011360823740234123,0.8767840228152078,21
AEO,0.008094826376789745,0.006148988570610178,3,0.023963335087570797,2021-03-31,2021-05-31,American Eagle Outfitters In,0.010058420026799337,0.8868424428420072,22
IBIT,0.006372170182319371,0.005701700549682321,6,0.014641444342391036,2025-03-31,2025-08-31,Ishares Bitcoin Trust Etf,0.009326753227327346,0.8961691960693345,23
USFD,0.004557639497595784,0.00563678354409706,3,0.019767192898569624,2021-12-31,2022-02-28,Us Foods Hldg Corp,0.00922056299757484,0.9053897590669093,24
TTWO,0.007332472891503095,0.0051299548910773984,3,0.03564214663424534,2019-06-30,2019-08-31,Take-Two Interactive Softwar,0.008391500556630536,0.9137812596235398,25
NXPI,0.0023731374686116924,0.004055076509215915,5,0.03297494401305907,2018-10-31,2019-02-28,Nxp Semiconductors N V,0.006633231189508203,0.920414490813048,26
BAC,-6.431719959660068e-05,0.0039285065046800564,5,0.08447132059328111,2018-10-31,2019-02-28,Bank Amer Corp,0.006426189941375061,0.9268406807544232,27
BOOT,0.00417671687701748,0.003536625863800914,18,0.008077002415196195,2022-09-30,2024-02-29,Boot Barn Hldgs Inc,0.005785157673861416,0.9326258384282846,28
ECG,0.0035253807929421397,0.0034977685174987605,3,0.008064310725517316,2025-03-31,2025-05-31,Everus Constr Group,0.005721595430128856,0.9383474338584135,29
TSM,0.005454316109878054,0.0033652403950977924,6,0.01839131418771924,2025-03-31,2025-08-31,Taiwan Semiconductor Mfg Ltd,0.00550480798530527,0.9438522418437187,30
FTRE,0.006641442027969318,0.00322945791656842,21,0.017117640914295868,2024-12-31,2026-08-31,Fortrea Hldgs Inc,0.005282697115258106,0.9491349389589768,31
CCL,0.003152402122269022,0.0030839055162163696,3,0.015472821693508026,2025-12-31,2026-02-28,Carnival Corp,0.005044604758793619,0.9541795437177705,32
HCA,0.004556332352502976,0.0026621022518107237,6,0.012003404365162063,2020-12-31,2021-05-31,Hca Holdings Inc,0.00435462552833197,0.9585341692461025,33
CRC,0.013532970767664979,0.0022539737386015925,15,0.07424578100152121,2022-06-30,2023-08-31,California Res Corp,0.0036870152435460285,0.9622211844896484,34
LYV,0.0028415108239212713,0.0021426778993850117,6,0.005301656784579331,2020-09-30,2021-02-28,Live Nation Entertainment In,0.0035049592378760736,0.9657261437275245,35
CAE,0.002743037186202471,0.002009767669253333,3,0.009144574780298773,2024-09-30,2024-11-30,Cae Inc,0.003287546747159681,0.9690136904746842,36
SRE,0.006990006719338624,0.0019131480321518076,6,0.032668786546128245,2025-06-30,2025-11-30,Sempra,0.0031294978450281835,0.9721431883197124,37
CHTR,0.00029080928955255674,0.0016044486103626947,2,0.024648856460774304,2018-10-31,2018-11-30,Charter Communications Inc N,0.002624532124124775,0.9747677204438371,38
PACK,0.001757725253922468,0.0015733112698317077,6,0.004640241760842905,2019-09-30,2020-02-29,Ranpak Hldgs Corp,0.002573598145962075,0.9773413185897991,39
FWONA,0.029949190694121147,0.0014733766564568036,36,0.04134388607975877,2020-12-31,2026-02-28,Liberty Media Corp Del,0.002410126657115115,0.9797514452469143,40
NFLX,0.012546097590283361,0.001442497092904269,21,0.02449162049782399,2019-09-30,2021-08-31,Netflix Inc,0.002359614346531195,0.9821110595934455,41
MTCH,0.004774669772513231,0.001357777382402651,3,0.02100748903060029,2020-06-30,2020-08-31,Match Group Inc,0.002221031159558454,0.9843320907530039,42
JPM,0.004795922079231931,0.0013542942487033537,30,0.021387747955243928,2020-09-30,2023-02-28,Jpmorgan Chase & Co,0.0022153335035367005,0.9865474242565406,43
QSR,0.009261405577515133,0.001230279903064246,12,0.04589764153091758,2025-09-30,2026-08-31,Restaurant Brands Intl Inc,0.0020124727625444572,0.9885598970190851,44
PCG,0.0015375820272091186,0.0011683923151555773,6,0.0024898626055532796,2020-09-30,2021-02-28,Pg&E Corp,0.0019112380071887344,0.9904711350262738,45
VNO,-0.0003918296164861287,0.0011427530308199918,5,0.01709497901548469,2018-10-31,2019-02-28,Vornado Rlty Tr,0.00186929766398067,0.9923404326902545,46
ACM,0.002574285784070187,0.000915476608179928,3,0.02176978984522195,2020-12-31,2021-02-28,Aecom,0.0014975224208083969,0.9938379551110629,47
MHK,0.002607990594047111,0.000738837481613467,5,0.07930750062495455,2018-10-31,2019-02-28,Mohawk Inds Inc,0.0012085788802943627,0.9950465339913572,48
TMUS,0.026057089138441403,0.0007356216163414211,41,0.07229112732300765,2018-10-31,2022-05-31,T Mobile Us Inc,0.001203318417815958,0.9962498524091732,49
NVDA,0.001149994866404057,0.0006949327078265217,33,0.0008702027048935234,2023-12-31,2026-08-31,Nvidia Corporation,0.0011367601330549476,0.9973866125422282,50
QQQ,0.00023662606449411402,0.0005118673859539006,3,0.021483749919132444,2019-03-31,2019-05-31,Invesco Qqq Tr,0.0008373047220403655,0.9982239172642685,51
