ticker,contribution,months_held,avg_weight_when_held,name,share_of_gains,cum_share_of_gains,rank
TSLA,0.24181988046767186,3,0.16755078043913676,Tesla Inc,0.10017285228291574,0.10017285228291574,1
NYT,0.20251633010331033,108,0.12995733699977996,New York Times Co,0.08389152447302266,0.1840643767559384,2
HLT,0.18928101199314912,72,0.08903855229217157,Hilton Worldwide Hldgs Inc,0.078408850495174,0.2624732272511124,3
ECHO,0.17402705945445102,24,0.08944767148209977,Echostar Corp,0.07208996583013137,0.33456319308124377,4
META,0.17103735008604087,78,0.090713672563889,Facebook Inc,0.07085149149811451,0.40541468457935825,5
RACE,0.14609735763223988,69,0.1003967384323716,Ferrari N V,0.06052020618286256,0.46593489076222083,6
NFLX,0.13486834029222544,39,0.07064699694359242,Netflix Inc,0.0558686337269166,0.5218035244891375,7
ADSK,0.1268998312199338,42,0.11219299434080068,Autodesk Inc,0.05256771289001107,0.5743712373791485,8
GWRE,0.11904063355286364,72,0.10811828818609687,Guidewire Software Inc,0.04931207383567407,0.6236833112148226,9
GOOG,0.10252007970213832,63,0.0892413080493854,Alphabet Inc,0.042468504988811204,0.6661518162036337,10
BAC,0.0928741247225953,60,0.10273167497775738,Bank Amer Corp,0.03847270935189046,0.7046245255555242,11
MSCI,0.08422635769795495,23,0.11631219681401629,Msci Inc,0.034890408810425357,0.7395149343659496,12
KKR,0.08242860217825826,12,0.10126053956335701,Kkr & Co Inc,0.034145696267490123,0.7736606306334397,13
NVCR,0.07806510076040998,42,0.0402591668308671,Novocure Ltd,0.032338134448664214,0.8059987650821039,14
UBER,0.05103696510147798,21,0.06910770095500267,Uber Technologies Inc,0.021141844732497733,0.8271406098146016,15
SGI,0.04884918365280731,30,0.08204771841118945,Tempur Sealy Intl Inc,0.020235565614911747,0.8473761754295134,16
FIVE,0.04263110391256801,9,0.08682431687780572,Five Below Inc,0.01765975264991587,0.8650359280794292,17
HCA,0.03715860153782882,27,0.10053098645018127,Hca Healthcare Inc,0.015392791923020873,0.8804287200024501,18
TDG,0.02971274415615239,36,0.06805308715602224,Transdigm Group Inc,0.012308377315868486,0.8927370973183186,19
SHC,0.02644008034103977,24,0.07101038493781074,Sotera Health Co,0.010952690313257688,0.9036897876315764,20
CRI,0.026185486334550454,27,0.09589666652350193,Carter Inc,0.0108472258338491,0.9145370134654255,21
SCHW,0.024652053780032056,24,0.04819272539626573,Schwab Charles Corp,0.01021200794989137,0.9247490214153169,22
MSFT,0.024538278078845056,6,0.08297510606108494,Microsoft Corp,0.010164876851793278,0.9349138982671101,23
DASH,0.021948300940011566,27,0.08853127391450925,Doordash Inc,0.009091989887980639,0.9440058881550908,24
SBAC,0.01856311524225037,11,0.0971614512173773,Sba Communications Corp,0.007689691176244219,0.951695579331335,25
ADBE,0.01616562546417568,9,0.10482061896665325,Adobe Sys Inc,0.006696541279203462,0.9583921206105385,26
DLTR,0.014285838990689458,23,0.09303253646082109,Dollar Tree Inc,0.005917847764146778,0.9643099683746853,27
WMG,0.0116039896656548,51,0.055304118843497854,Warner Music Group Corp,0.004806903139733863,0.9691168715144192,28
BKNG,0.010876176862245873,24,0.0862907526901921,Booking Hldgs Inc,0.004505409795578298,0.9736222813099975,29
AER,0.010129806606603217,18,0.023184689532009653,Aercap Holdings Nv,0.004196229106123574,0.9778185104161211,30
CCZ,0.010047686490315125,45,0.1255645564236671,Comcast Corp New,0.004162211198818046,0.9819807216149392,31
CMG,0.0075608906005646195,6,0.042373327442432863,Chipotle Mexican Grill Inc,0.0031320666265853177,0.9851127882415245,32
FWONA,0.006382067897080873,18,0.08011585432232113,Liberty Media Corp Del,0.002643744358310889,0.9877565325998354,33
TMUS,0.005526555496855039,6,0.0538316296139645,T Mobile Us Inc,0.0022893520017838497,0.9900458846016192,34
SBUX,0.005159552549655906,3,0.04341576318729407,Starbucks Corp,0.0021373225989652165,0.9921832072005845,35
BBWI,0.004722243605297537,9,0.04806802508604948,Bath & Body Works Inc,0.0019561692372131205,0.9941393764377976,36
IQ,0.004114633903059849,3,0.031334631694242596,Iqiyi Inc,0.0017044695141373771,0.995843845951935,37
BABA,0.003673438409808343,6,0.02884159341675042,Alibaba Group Hldg Ltd,0.0015217061661119875,0.997365552118047,38
VRT,0.0022777576547080266,6,0.05358516105153981,Vertiv Holdings Co,0.0009435513765041787,0.9983091034945512,39
CCI,0.0022163245123513232,8,0.03406691278407241,Crown Castle Intl Corp New,0.0009181029597624623,0.9992272064543136,40
SHAK,0.0017660151484337175,3,0.008675306490542113,Shake Shack Inc,0.0007315642297536096,0.9999587706840672,41
DRVN,9.952864497166818e-05,3,0.008676200329011152,Driven Brands Hldgs Inc,4.122931593293277e-05,1.0000000000000002,42
XPO,-0.00017158930239262698,2,0.003616361945194845,Xpo Logistics Inc,,,43
YMM,-0.0021130345403232893,3,0.009054879985442833,Full Truck Alliance Co Ltd,,,44
LBTYA,-0.002185436355238297,20,0.10754984907967746,Liberty Global Plc,,,45
JD,-0.0029371228543019767,5,0.04099524212528709,Jd Com Inc,,,46
AMZN,-0.0038205195420811,6,0.032534601857046215,Amazon Com Inc,,,47
DIDIY,-0.004259851220624835,6,0.011194442752983065,Didi Global Inc,,,48
NWS,-0.005011966103414208,3,0.03356484007115692,News Corp New,,,49
GTN,-0.006218922787845183,87,0.03328200161581507,Gray Television Inc,,,50
EFX,-0.014827812819972301,15,0.058823431517212824,Equifax Inc,,,51
STZ,-0.020325225732854064,21,0.08765087567830372,Constellation Brands Inc,,,52
DKS,-0.02230216806898673,6,0.03946569953292824,Dicks Sporting Goods Inc,,,53
DAL,-0.02368168720695469,11,0.05358566379010623,Delta Air Lines Inc Del,,,54
BA,-0.023740995562618872,18,0.04438959796952867,Boeing Co,,,55
BIDU,-0.024263185457074798,26,0.08400493712185436,Baidu Inc,,,56
LKNCY,-0.025130986265400737,9,0.022580300339152298,Luckin Coffee Inc,,,57
WING,-0.0330807853279464,9,0.03997070462966875,Wingstop Inc,,,58
RH,-0.038520049578520434,21,0.10754341843826264,Rh,,,59
PTON,-0.04108442837611383,33,0.053023936744021026,Peloton Interactive Inc,,,60
CMRC,-0.06969533840077212,21,0.04202073818297595,Bigcommerce Hldgs Inc,,,61
SHOP,-0.09719737124508993,12,0.07034837849842362,Shopify Inc,,,62
