ticker,contribution,active,months_held,avg_weight_when_held,first_held,last_held,name,share_of_outperformance,cum_share_of_outperformance,rank
TWLO,0.4673304425674705,0.37754528026422784,54,0.13664853237106933,2017-12-31,2022-05-31,Twilio Inc,0.26889711262120974,0.26889711262120974,1
NOW,0.19399174458062665,0.132510332783172,57,0.08219114394859522,2016-06-30,2021-02-28,Servicenow Inc,0.09437714557822975,0.3632742581994395,2
DDOG,0.20488421173474625,0.12647471244377845,81,0.06757127902585264,2019-12-31,2026-08-31,Datadog Inc,0.09007842707483611,0.4533526852742756,3
APPF,0.1688928723714107,0.12291218748574789,42,0.08356592628814959,2015-09-30,2019-02-28,Appfolio Inc,0.08754110844067127,0.5408937937149468,4
XYZ,0.24616735385024216,0.11965684013719766,90,0.08497309626086816,2016-03-31,2026-08-31,Square Inc,0.08522256931871047,0.6261163630336573,5
RBLX,0.10485334334571395,0.07243714809877856,51,0.044782247864824244,2021-06-30,2025-08-31,Roblox Corp,0.05159153348876349,0.6777078965224207,6
NFLX,0.08063699245675775,0.057550067777666004,48,0.037689316497783724,2016-09-30,2020-08-31,Netflix Inc,0.04098858564922063,0.7186964821716413,7
ETSY,0.06465297686082838,0.04423270701618691,24,0.07378204241628487,2015-09-30,2018-08-31,Etsy Inc,0.0315036310128111,0.7502001131844523,8
ALRM,0.04826555403172185,0.03070747861574232,27,0.05172007704893581,2015-09-30,2017-11-30,Alarm Com Hldgs Inc,0.02187062788832064,0.772070741072773,9
BL,0.04931897000975291,0.03037316601877397,18,0.08053409480367464,2017-03-31,2018-08-31,Blackline Inc,0.021632522165015676,0.7937032632377886,10
TEAM,0.05459938124986427,0.027826233975016046,27,0.06901824460795304,2016-03-31,2025-08-31,Atlassian Corp Plc,0.019818533993505135,0.8135217972312937,11
DT,0.06448209252559081,0.024940334214197588,51,0.06002156540047593,2019-12-31,2025-08-31,Dynatrace Inc,0.017763124606701975,0.8312849218379956,12
BABA,0.10830536558191421,0.02427308082372781,83,0.14080288457844126,2015-04-30,2022-02-28,Alibaba Group Hldg Ltd,0.017287890192545174,0.8485728120305408,13
LPLA,0.054427252702973314,0.021465058682562523,24,0.107794031426742,2015-09-30,2017-08-31,Lpl Finl Hldgs Inc,0.015287947178008396,0.8638607592085492,14
SHOP,0.019949302535406707,0.021038230258642543,3,0.04966146504352107,2019-03-31,2019-05-31,Shopify Inc,0.014983949388136887,0.8788447085966861,15
DASH,0.06398253059381295,0.020842670617907517,51,0.06693596906260496,2021-03-31,2025-05-31,Doordash Inc,0.014844666961663202,0.8936893755583493,16
UBER,0.14622417801848783,0.01923550476528435,51,0.16282536131706057,2019-09-30,2023-11-30,Uber Technologies Inc,0.01370000357990586,0.9073893791382551,17
EQIX,0.01605465379197913,0.01709694472248995,8,0.04827815623786926,2015-04-30,2015-11-30,Equinix Inc,0.01217686807607424,0.9195662472143293,18
NVDA,0.03417605145153779,0.015729492420907088,12,0.1383716693898416,2025-09-30,2026-08-31,Nvidia Corporation,0.011202934630831543,0.9307691818451609,19
ARM,0.01279300716155181,0.01150480780515056,3,0.010846252799813596,2023-12-31,2024-02-29,Arm Holdings Plc,0.008194009465306672,0.9389631913104676,20
GDDY,0.017529504760786192,0.01147574980362891,15,0.05960662025723395,2015-09-30,2016-11-30,Godaddy Inc,0.008173313635915702,0.9471365049463832,21
XP,0.013856947295793443,0.011304997228152024,21,0.008241097550585857,2020-03-31,2023-08-31,Xp Inc,0.008051699416592827,0.955188204362976,22
TOST,0.018563692000160115,0.00984729080366052,15,0.026631934610656872,2023-09-30,2024-11-30,Toast Inc,0.007013484746498613,0.9622016891094747,23
NAVN,0.01023278666847639,0.008637526616959974,3,0.011816335147005655,2026-03-31,2026-05-31,Navan Inc,0.006151860687713776,0.9683535497971885,24
RBRK,0.006034216327642467,0.005257732624999749,6,0.008932269187261201,2024-09-30,2025-02-28,Rubrik Inc.,0.003744687579744913,0.9720982373769333,25
TRVG,0.005337175518896203,0.005069720577307237,3,0.010402606164117296,2017-03-31,2017-05-31,Trivago N V,0.0036107807362342867,0.9757090181131677,26
AFRM,0.0055610068775496175,0.0047715466333785655,9,0.0034615115910346865,2021-06-30,2024-11-30,Affirm Hldgs Inc,0.0033984138579483624,0.979107431971116,27
IOT,0.00377947414904198,0.004029285605926607,15,0.013978818561859268,2022-03-31,2023-05-31,Samsara Inc,0.0028697571443658267,0.9819771891154819,28
TTD,0.005162318596264316,0.003908901931297828,12,0.010178111193573439,2017-03-31,2019-05-31,The Trade Desk Inc,0.0027840169054949952,0.9847612060209769,29
MELI,0.015155306214147117,0.003532423283268176,21,0.04596910152863596,2018-06-30,2026-05-31,Mercadolibre Inc,0.002515879474806256,0.9872770854957832,30
BILL,0.003338363196977237,0.0029367099146875436,15,0.001987473387589373,2020-03-31,2021-05-31,Bill Com Hldgs Inc,0.002091597638600862,0.9893686831343841,31
FND,0.009667516216041972,0.0029040561114194235,36,0.02508158964916341,2017-09-30,2023-05-31,Floor & Decor Hldgs Inc,0.0020683407900216576,0.9914370239244057,32
CART,0.003448994366647284,0.0019811161084794726,6,0.00755061069752104,2023-12-31,2024-05-31,Maplebear Inc,0.00141100002883011,0.9928480239532358,33
ZM,0.0025256392056958125,0.0019038576338546139,3,0.004826231755020535,2020-03-31,2020-05-31,Zoom Video Communications In,0.001355974627009157,0.994203998580245,34
OLLI,0.0009786766644137134,0.0015985366827388813,3,0.009297044695905246,2015-12-31,2016-02-29,Ollies Bargain Outlt Hldgs I,0.0011385174729419052,0.9953425160531869,35
TENB,0.001467901209368982,0.001237132064152669,6,0.006756591648242743,2018-12-31,2019-08-31,Tenable Hldgs Inc,0.0008811161398944108,0.9962236321930813,36
KRMN,0.0016637702793505151,0.0009567479308316988,3,0.007421822901200254,2025-06-30,2025-08-31,Karman Hldgs Inc,0.0006814196059527235,0.996905051799034,37
SCHW,0.0020842549816740023,0.00074520378279676,3,0.01609283826286453,2023-06-30,2023-08-31,Schwab Charles Corp,0.0005307526169264049,0.9974358044159604,38
IBTA,0.001116584069246911,0.0007090450383421166,9,0.0036810585963012047,2024-09-30,2025-05-31,Ibotta Inc,0.0005049994623033168,0.9979408038782637,39
RDDT,0.0005974822842653926,0.0005224116509421415,9,0.00045571854857236514,2024-06-30,2025-02-28,Reddit Inc,0.000372074534847075,0.9983128784131108,40
TBBB,0.000802819179981284,0.0004815998603312303,3,0.004561276805080204,2024-06-30,2024-08-31,Bbb Foods Inc,0.00034300736534492927,0.9986558857784558,41
PINS,0.0006806932551792636,0.0004559063832252717,15,0.0004164653808315421,2020-06-30,2021-08-31,Pinterest Inc,0.00032470783369098786,0.9989805936121468,42
LX,0.0005052977727862937,0.00039835703668789947,3,0.009127657088801628,2018-03-31,2018-05-31,Lexinfintech Hldgs Ltd,0.00028371976172699294,0.9992643133738738,43
BIRK,0.0004892613568702725,0.00036193714426236464,3,0.003246225779146005,2024-03-31,2024-05-31,Birkenstock Holding Plc,0.0002577806110419478,0.9995220939849158,44
WLTH,0.0005060720450695581,0.00024137980467082588,6,0.002043094509474146,2026-03-31,2026-08-31,Wealthfront Corp,0.00017191668367733668,0.9996940106685931,45
TPG,0.00028732479316087253,0.0002346696244327513,6,0.0012805633989939602,2022-06-30,2022-11-30,Tpg Inc,0.00016713752688341947,0.9998611481954766,46
STNE,0.0008529606122521748,9.881351579578597e-05,12,0.006360834334099816,2019-03-31,2020-02-29,Stoneco Ltd,7.03774367589537e-05,0.9999315256322355,47
LBRDA,0.000533746249106086,4.201988012693489e-05,3,0.01745561354617486,2016-09-30,2016-11-30,Liberty Broadband Corp,2.99276008189387e-05,0.9999614532330545,48
WAY,0.00010919286982670797,3.836037891819579e-05,3,0.0008527126349791849,2024-09-30,2024-11-30,Waystar Hldg Corp,2.732121329377856e-05,0.9999887744463483,49
LMND,4.3975743466197106e-05,1.5761250681267364e-05,6,0.00018982310011559029,2020-12-31,2021-05-31,Lemonade Inc,1.1225553651540196e-05,0.9999999999999998,50
OKTA,8.325593332030899e-05,-7.993191830298299e-07,3,0.0010348637308109125,2017-09-30,2017-11-30,Okta Inc,,,51
