period,rebalance,n,priced_share
2013-06-30,2013-08-31,11,0.4013838673482109
2013-09-30,2013-11-30,22,0.639522095344415
2013-12-31,2014-02-28,33,0.6956007822312247
2014-03-31,2014-05-31,16,0.534420191734821
2014-06-30,2014-08-31,35,0.5841949730999979
2014-09-30,2014-11-30,24,0.6199208084019636
2014-12-31,2015-02-28,27,0.838419479349368
2015-03-31,2015-05-31,21,0.7691086869508313
2015-06-30,2015-08-31,22,0.853788027848231
2015-09-30,2015-11-30,13,0.8907720456578838
2015-12-31,2016-02-29,10,0.8717969307767667
2016-03-31,2016-05-31,30,0.96397449888419
2016-06-30,2016-08-31,23,0.829971757479559
2016-09-30,2016-11-30,35,0.8988830417062023
2016-12-31,2017-02-28,24,0.8721784285747702
2017-03-31,2017-05-31,31,0.6494894461482951
2017-06-30,2017-08-31,28,0.7743773290719076
2017-09-30,2017-11-30,29,0.8112160449100284
2017-12-31,2018-02-28,19,0.8609796165674556
2018-03-31,2018-05-31,17,0.9594886616986372
2018-06-30,2018-08-31,24,0.8959216803524597
2018-09-30,2018-11-30,27,0.9131013418419801
2018-12-31,2019-02-28,26,0.944505513073773
2019-03-31,2019-05-31,44,0.9247846543087264
2019-06-30,2019-08-31,47,0.9113364529942738
2019-09-30,2019-11-30,30,0.8360593878805197
2019-12-31,2020-02-29,43,0.8532134228517574
2020-03-31,2020-05-31,32,0.8688997863627331
2020-06-30,2020-08-31,51,0.8995043983985832
2020-09-30,2020-11-30,50,0.8932883826216773
2020-12-31,2021-02-28,44,0.8918242805407461
2021-03-31,2021-05-31,52,0.9351090014879642
2021-06-30,2021-08-31,41,0.9441945041982018
2021-09-30,2021-11-30,40,0.9459604029764834
2021-12-31,2022-02-28,41,0.9535128010021402
2022-03-31,2022-05-31,39,0.9188178123222228
2022-06-30,2022-08-31,35,0.9596679374872674
2022-09-30,2022-11-30,54,0.9570791383192594
2022-12-31,2023-02-28,51,0.9807082014458876
2023-03-31,2023-05-31,42,0.9708174089384604
2023-06-30,2023-08-31,49,0.9894500544769173
2023-09-30,2023-11-30,38,0.9783173608948204
2023-12-31,2024-02-29,45,0.9205370917276026
2024-03-31,2024-05-31,53,0.9031593475499229
2024-06-30,2024-08-31,51,0.8710196094991752
2024-09-30,2024-11-30,50,0.8597364290059175
2024-12-31,2025-02-28,53,0.8933352162505668
2025-03-31,2025-05-31,44,0.9314055004770121
2025-06-30,2025-08-31,57,0.9385587633412854
2025-09-30,2025-11-30,56,0.9481361306586271
2025-12-31,2026-02-28,55,0.9774909663157142
2026-03-31,2026-05-31,57,0.9759716067632634
2026-06-30,2026-08-31,57,0.9575133395052955
