period,rebalance,n,priced_share
2013-06-30,2013-08-31,23,0.9325168643452338
2013-09-30,2013-11-30,24,0.7856593213260417
2013-12-31,2014-02-28,24,0.724277584805262
2014-03-31,2014-05-31,23,0.8383454432927395
2014-06-30,2014-08-31,26,0.7860875671097737
2014-09-30,2014-11-30,26,0.7845237882188718
2014-12-31,2015-02-28,29,0.829845864873485
2015-03-31,2015-05-31,27,0.8414003971369451
2015-06-30,2015-08-31,23,0.7148765648691545
2015-09-30,2015-11-30,23,0.6810335086958093
2015-12-31,2016-02-29,22,0.7097419562946836
2016-03-31,2016-05-31,27,0.8021739581918219
2016-06-30,2016-08-31,26,0.8523923285717605
2016-09-30,2016-11-30,22,0.8384531519536351
2016-12-31,2017-02-28,23,0.870524833595576
2017-03-31,2017-05-31,23,0.8468592680872049
2017-06-30,2017-07-31,28,0.8322146197708894
2017-09-30,2017-11-30,30,0.866296957978441
2017-12-31,2018-02-28,29,0.9144216081616454
2018-03-31,2018-05-31,28,0.8837886746356787
2018-06-30,2018-08-31,27,0.7989294567488565
2018-09-30,2018-11-30,24,0.8085783521521677
2018-12-31,2019-02-28,25,0.8394414423876256
2019-03-31,2019-05-31,25,0.9768843807937119
2019-06-30,2019-08-31,30,0.967424677008892
2019-09-30,2019-11-30,32,0.9676002546650452
2019-12-31,2020-02-29,31,0.9640930158629012
2020-03-31,2020-05-31,24,0.966093737887409
2020-06-30,2020-08-31,25,0.9541739934469223
2020-09-30,2020-11-30,32,0.9443133867552838
2020-12-31,2021-02-28,32,0.9481763265245123
2021-03-31,2021-05-31,33,0.9312768771783746
2021-06-30,2021-08-31,28,0.9362189862578061
2021-09-30,2021-11-30,31,0.97542440390846
2021-12-31,2022-02-28,30,0.9842677291252786
2022-03-31,2022-05-31,29,1.0
2022-06-30,2022-08-31,26,0.9999999999999999
2022-09-30,2022-11-30,23,0.9999999999999999
2022-12-31,2023-02-28,20,0.9871923211670348
2023-03-31,2023-05-31,24,0.9842858159323785
2023-06-30,2023-08-31,22,0.989780294438878
2023-09-30,2023-11-30,20,0.976511205454951
2023-12-31,2024-02-29,21,0.983932386394666
2024-03-31,2024-05-31,21,0.9696210979781776
2024-06-30,2024-08-31,25,0.9670621071553053
2024-09-30,2024-11-30,29,0.9641929839863168
2024-12-31,2025-02-28,29,0.9574074612380616
2025-03-31,2025-05-31,26,0.9520004278069878
2025-06-30,2025-08-31,24,0.9603851531059836
2025-09-30,2025-11-30,23,0.9664336799034473
2025-12-31,2026-02-28,23,1.0
2026-03-31,2026-05-31,23,0.9881008886373284
2026-06-30,2026-07-31,23,1.0
