period,rebalance,n,priced_share
2013-06-30,2013-08-31,7,0.23468327297939787
2013-09-30,2013-11-30,12,0.19365343262706045
2013-12-31,2014-02-28,10,0.17983041650997084
2014-03-31,2014-05-31,13,0.10319513798428756
2014-06-30,2014-08-31,12,0.0833811419094736
2014-09-30,2014-11-30,11,0.05610240220343913
2014-12-31,2015-02-28,14,0.08339573375706394
2015-03-31,2015-05-31,14,0.05539841812202238
2015-06-30,2015-08-31,15,0.05757672594681432
2015-09-30,2015-11-30,14,0.06598798802326687
2015-12-31,2016-02-29,21,0.212503560616503
2016-03-31,2016-05-31,16,0.2011699505023053
2016-06-30,2016-08-31,17,0.19625609790333343
2016-09-30,2016-11-30,18,0.2501439310812103
2016-12-31,2017-02-28,25,0.26765952109228436
2017-03-31,2017-05-31,17,0.2878269812638063
2017-06-30,2017-08-31,20,0.4389165566700894
2017-09-30,2017-11-30,22,0.4579076047893538
2017-12-31,2018-02-28,18,0.46006483600708
2018-03-31,2018-05-31,16,0.4375685336188124
2018-06-30,2018-08-31,19,0.4229041520245484
2018-09-30,2018-11-30,22,0.4553185035778595
2018-12-31,2019-02-28,24,0.46675238558596654
2019-03-31,2019-05-31,26,0.5275162331191094
2019-06-30,2019-08-31,25,0.5394896796571
2019-09-30,2019-11-30,20,0.5715012373208823
2019-12-31,2020-02-29,22,0.5674441223883789
2020-03-31,2020-05-31,21,0.6733950378872579
2020-06-30,2020-08-31,16,0.8459298918519387
2020-09-30,2020-11-30,15,0.8379063260926419
2020-12-31,2021-02-28,21,0.8637951896474647
2021-03-31,2021-05-31,21,0.7976066307550159
2021-06-30,2021-08-31,20,0.7805501992607167
2021-09-30,2021-11-30,18,0.7422725748009827
2021-12-31,2022-02-28,16,0.6704760320496825
2022-03-31,2022-05-31,15,0.7621079521481421
2022-06-30,2022-08-31,15,0.7767570936130634
2022-09-30,2022-11-30,18,0.8509828435227831
2022-12-31,2023-02-28,30,0.9493974683947151
2023-03-31,2023-05-31,30,0.9502331481592897
2023-06-30,2023-08-31,32,0.8988961051451281
2023-09-30,2023-11-30,32,0.8915919023586183
2023-12-31,2024-02-29,31,0.9030045937823135
2024-03-31,2024-05-31,31,0.8948643153001532
2024-06-30,2024-08-31,29,0.911952212687056
2024-09-30,2024-11-30,28,0.921892453887141
2024-12-31,2025-02-28,24,0.9422230833398277
2025-03-31,2025-05-31,22,0.953773956709453
2025-06-30,2025-08-31,15,0.9609744446671364
2025-09-30,2025-11-30,17,0.9819687079179081
2025-12-31,2026-02-28,18,0.9802151630028025
2026-03-31,2026-05-31,16,0.9703257701949316
2026-06-30,2026-08-31,15,0.9665616082614011
