ticker,contribution,months_held,avg_weight_when_held,name,share_of_gains,cum_share_of_gains,rank
ADSK,0.11470618718487476,26,0.11321318313691806,Autodesk Inc,0.058487976060978296,0.058487976060978296,1
SE,0.06446110857279189,30,0.05116835396481774,Sea Ltd,0.0328683209476142,0.09135629700859249,2
AMD,0.06095712986509099,30,0.029805057062924585,Advanced Micro Devices Inc,0.031081663856101956,0.12243796086469444,3
VRT,0.058446675231468063,27,0.026712628460013238,Vertiv Holdings Co,0.02980159855084638,0.15223955941554082,4
LEN,0.05335898809873555,113,0.04370143543059606,Lennar Corp,0.02720741831935278,0.1794469777348936,5
IQV,0.050883262290700136,63,0.036058788917702436,Iqvia Hldgs Inc,0.025945061027670305,0.2053920387625639,6
UBER,0.04949017776731647,66,0.031080594742521808,Uber Technologies Inc,0.025234735837249132,0.23062677459981304,7
SGI,0.045230974857730484,75,0.02402977916481408,Tempur Sealy Intl Inc,0.023062994591825165,0.2536897691916382,8
ICE,0.043500495845945314,47,0.06052660650888266,Intercontinental Exchange In,0.022180634036572902,0.2758704032282111,9
CTVA,0.04321953276380786,66,0.03306121204410846,Corteva Inc,0.022037372697098784,0.29790777592530987,10
FWONA,0.04261311272830024,108,0.042959367278471376,Liberty Media Corp Delaware,0.02172816286814246,0.3196359387934523,11
GPI,0.04165792180847461,101,0.01896878854011675,Group 1 Automotive Inc,0.02124111692037346,0.34087705571382576,12
PINS,0.040685637531034,69,0.025126276812998647,Pinterest Inc,0.020745355175178684,0.36162241088900443,13
MS,0.035452819771906174,65,0.024673173412796342,Morgan Stanley,0.018077173734067312,0.37969958462307174,14
CF,0.034837486278316857,101,0.028050632055506165,Cf Inds Hldgs Inc,0.017763418987912557,0.3974630036109843,15
CBRE,0.032746419232080035,42,0.026724609369763026,Cbre Group Inc,0.016697196822014197,0.4141602004329985,16
RRR,0.032392445925555534,72,0.021710592849745813,Red Rock Resorts Inc,0.016516708020264885,0.4306769084532634,17
USFD,0.0320466539714763,68,0.03548154195177536,Us Foods Hldg Corp,0.01634039083957376,0.4470172992928372,18
AMZN,0.030509091833573376,63,0.03640211930892983,Amazon Com Inc,0.015556397406255364,0.46257369669909254,19
FNF,0.027969529943819894,17,0.04823306472276029,Fidelity National Financial,0.014261490490956376,0.4768351871900489,20
COF,0.027259619612093878,21,0.023231543275236636,Capital One Finl Corp,0.013899511599438419,0.49073469878948733,21
PFGC,0.02723592562050557,60,0.02850924334558485,Performance Food Group Co,0.013887430179535826,0.5046221289690231,22
WSC,0.026405248605189786,36,0.03634773991573915,Willscot Mobil Mini Hldng Co,0.013463873102288637,0.5180860020713118,23
TNDM,0.025592173113700913,18,0.02661674054803033,Tandem Diabetes Care Inc,0.013049290933278663,0.5311352930045905,24
ELV,0.025085800085072132,71,0.023725327118680136,Anthem Inc,0.01279109445492627,0.5439263874595168,25
MSFT,0.024005439769402913,21,0.04187740653524957,Microsoft Corp,0.012240225405654755,0.5561666128651716,26
RHP,0.02331786174172419,15,0.018473653660402427,Ryman Hospitality Pptys Inc,0.011889633617976274,0.5680562464831478,27
KKR,0.02324241980455261,15,0.021938154805389985,Kkr & Co Inc,0.011851166240378118,0.5799074127235259,28
DD,0.022390249467780322,12,0.040597251632391494,Dupont De Nemours Inc,0.011416649851330314,0.5913240625748561,29
Z,0.02233698312638749,81,0.029692454962538188,Zillow Group Inc,0.011389489672993825,0.60271355224785,30
SPOT,0.02131055917121919,15,0.019833348592967044,Spotify Technology S A,0.010866122440661877,0.6135796746885118,31
SCHW,0.02089202394342517,42,0.02542660142407017,Schwab Charles Corp New,0.010652713914193824,0.6242323886027057,32
PTC,0.020469874065976144,29,0.02471268944524295,Ptc Inc,0.01043746230020208,0.6346698509029077,33
TTWO,0.019819701411097068,32,0.026949284061156598,Take-Two Interactive Softwar,0.010105943280981428,0.6447757941838892,34
GOOG,0.018933661878021892,54,0.034919270294949865,Alphabet Inc,0.00965415719802099,0.6544299513819102,35
PANW,0.01868158567971714,24,0.022922542514768145,Palo Alto Networks Inc,0.009525625102117321,0.6639555764840275,36
CPRI,0.017867590631394533,24,0.04458268894551818,Capri Holdings Limited,0.009110574056759888,0.6730661505407873,37
WEN,0.017022943674509787,32,0.03418659408653821,Wendys Co,0.008679893792628788,0.6817460443334161,38
PYPL,0.016908603390618386,27,0.01709051988038703,Paypal Hldgs Inc,0.008621592388396188,0.6903676367218123,39
GDDY,0.016545465211661947,60,0.01787915034057138,Godaddy Inc,0.008436430474824782,0.6988040671966371,40
P,0.015882906938298913,36,0.025428342401410706,Pure Storage Inc,0.008098596105271522,0.7069026633019087,41
THC,0.01585578103760537,9,0.029313010295726288,Tenet Healthcare Corp,0.008084764776122386,0.7149874280780311,42
QSR,0.01575125863479147,21,0.0280653782465516,Restaurant Brands Intl Inc,0.008031469448785227,0.7230188975268163,43
LPLA,0.01528134190270762,45,0.03022505951947864,Lpl Finl Hldgs Inc,0.007791861810772851,0.7308107593375891,44
GPK,0.014420080797738231,78,0.024721809298614714,Graphic Packaging Hldg Co,0.007352710095194394,0.7381634694327835,45
PGR,0.014254591366338751,27,0.014150572280487614,Progressive Corp Ohio,0.007268328056704722,0.7454317974894883,46
WIX,0.014214789684089004,33,0.012834734359722908,Wix Com Ltd,0.0072480334248653955,0.7526798309143536,47
WBD,0.013977006721778188,6,0.01635924741199081,Warner Bros Discovery Inc,0.00712678936167525,0.7598066202760289,48
LKQ,0.013969917892613537,18,0.01985273075260179,Lkq Corp,0.007123174811487001,0.7669297950875159,49
ATMU,0.013817008829753247,21,0.03035114383654432,Atmus Filtration Technologie,0.007045207425179713,0.7739750025126956,50
DHI,0.01353693319462302,21,0.015860485172011645,D R Horton Inc,0.006902398589450928,0.7808774011021465,51
HUM,0.013168306671225018,8,0.05256860812447925,Humana Inc,0.006714438202961968,0.7875918393051085,52
ABG,0.012335530844524496,110,0.01966593017251662,Asbury Automotive Group Inc,0.006289810954758533,0.793881650259867,53
IBP,0.01224900421481131,6,0.022878777409663473,Installed Bldg Prods Inc,0.006245691560927184,0.8001273418207941,54
DHR,0.011958665404840732,12,0.029093434337239068,Danaher Corp Del,0.006097649595764809,0.8062249914165589,55
BABA,0.011733477975075374,69,0.026879915586842672,Alibaba Group Hldg Ltd,0.005982827916790144,0.8122078193333491,56
JPM,0.011444117205693534,6,0.02626128715492182,Jpmorgan Chase &Amp; Co,0.005835284648480525,0.8180431039818296,57
TSN,0.011407493624867612,6,0.049221128140070264,Tyson Foods Inc,0.0058166105109193015,0.8238597144927489,58
DT,0.010727879579383232,24,0.029169484789162013,Dynatrace Inc,0.005470079508551224,0.8293297940013001,59
BIDU,0.010417929775896295,14,0.04116377704196049,Baidu Inc,0.005312038018973761,0.8346418320202739,60
STZ,0.010338547752097426,20,0.027278082645786954,Constellation Brands Inc,0.0052715616155506635,0.8399133936358245,61
EQIX,0.009891129399498677,21,0.01538935009179168,Equinix Inc,0.0050434257622173,0.8449568193980418,62
OKTA,0.009107251293817386,33,0.03045414024335905,Okta Inc,0.0046437311598161325,0.8496005505578579,63
AN,0.00883151802306637,38,0.01840394619222064,Autonation Inc,0.004503136468852268,0.8541036870267101,64
AVTR,0.008627361609309665,27,0.01535848867156676,Avantor Inc,0.004399038374987007,0.8585027254016971,65
AAP,0.008448487347028813,12,0.024109269048637083,Advance Auto Parts Inc,0.0043078314939375495,0.8628105568956347,66
SPGI,0.008301169312256959,23,0.021443006161823618,S&P Global Inc,0.0042327149383048586,0.8670432718339396,67
XPO,0.008251252982589096,6,0.012719957026835716,Xpo Inc,0.004207262910246769,0.8712505347441863,68
OPLN,0.008084581291803393,17,0.03101500545979309,Kar Auction Svcs Inc,0.004122278045001397,0.8753728127891878,69
FROG,0.007971032158756632,24,0.011686221736965123,Jfrog Ltd,0.004064380043695854,0.8794371928328836,70
HLT,0.007882533318392441,12,0.024729009188683742,Hilton Worldwide Hldgs Inc,0.004019255031840105,0.8834564478647237,71
SHW,0.007867372320007686,18,0.012293399178064428,Sherwin Williams Co,0.004011524532445518,0.8874679723971691,72
BLDR,0.007791902484035969,6,0.019013960175158048,Builders Firstsource Inc,0.003973042929421564,0.8914410153265907,73
INTU,0.007497440646354184,24,0.021501224139538238,Intuit Inc,0.003822898657905974,0.8952639139844967,74
AON,0.007084768858504359,15,0.01348057835665071,Aon Plc,0.0036124798632345013,0.8988763938477312,75
EVR,0.006936621068531322,6,0.01937533192297261,Evercore Inc,0.003536940220551893,0.9024133340682831,76
SHAK,0.00668635735503982,9,0.013086806071319089,Shake Shack Inc,0.0034093322994549168,0.905822666367738,77
MNDY,0.006642066034110973,12,0.014927400136547081,Monday Com Ltd,0.0033867484285951843,0.9092094147963332,78
UNH,0.006547868472356313,12,0.01901584331658184,Unitedhealth Group Inc,0.0033387176739155837,0.9125481324702488,79
DPZ,0.006401777533111096,6,0.020302643181244237,Dominos Pizza Inc,0.0032642268067095397,0.9158123592769584,80
BAC,0.006122840474600896,6,0.016749565508159234,Bk Of America Corp,0.0031219985241638924,0.9189343578011222,81
FERG,0.006079449118738232,21,0.02204466266210466,Ferguson Enterprises Inc,0.003099873539930404,0.9220342313410526,82
BJ,0.006052882366426407,3,0.00910953993712974,Bjs Whsl Club Hldgs Inc,0.003086327317086055,0.9251205586581386,83
OUT,0.005807455346256716,9,0.015127592158410422,Outfront Media Inc,0.002961185596027307,0.9280817442541659,84
FTNT,0.005527407160272908,6,0.020245000758911978,Fortinet Inc,0.0028183907564486694,0.9309001350106145,85
VTR,0.005043601263526423,9,0.010746289469163653,Ventas Inc,0.0025717011191977875,0.9334718361298123,86
FMX,0.004717292585966019,9,0.01737094156287513,Fomento Economico Mexicano,0.0024053183408138945,0.9358771544706262,87
LPX,0.0046745738007245565,36,0.03216599025372064,Louisiana Pac Corp,0.0023835362961842545,0.9382606907668105,88
MNST,0.0046619660796411435,6,0.01896942130284904,Monster Beverage Corp,0.002377107697108586,0.9406377984639192,89
NTNX,0.0046583781497566605,12,0.016911616985266508,Nutanix Inc,0.002375278233830778,0.9430130766977499,90
WELL,0.0046095998195272705,9,0.015703586019235844,Welltower Inc,0.002350406464654518,0.9453634831624045,91
TOL,0.0042489737672045495,24,0.012881128723170585,Toll Brothers Inc,0.002166525468930883,0.9475300086313354,92
PCG,0.004143104331112722,12,0.02036003472835725,Pg&E Corp,0.0021125432976488046,0.9496425519289842,93
CCK,0.003948456705002457,27,0.017526351460609036,Crown Hldgs Inc,0.0020132936758484156,0.9516558456048326,94
G,0.003947111741910568,8,0.03065046688325643,Genpact Limited,0.002012607887478565,0.9536684534923112,95
CPT,0.003934720580368719,18,0.01305702438953176,Camden Property Trust,0.00200628971077499,0.9556747432030862,96
GLD,0.0038036156139188274,3,0.029204421156292886,Spdr Gold Trust,0.0019394400984969898,0.9576141833015832,97
INSP,0.0037691748162744744,3,0.007057694278194183,Inspire Med Sys Inc,0.0019218789485923441,0.9595360622501755,98
FOSL,0.0037027183675543535,2,0.017889800872980997,Fossil Group Inc,0.0018879932160330757,0.9614240554662086,99
CNC,0.003615073075545636,45,0.020634304918563662,Centene Corp Del,0.0018433034232095962,0.9632673588894182,100
TMO,0.0035870789386015225,12,0.02560382541469324,Thermo Fisher Scientific Inc,0.0018290293857612398,0.9650963882751794,101
CI,0.0032888554871197354,24,0.02366379429227025,Cigna Corp New,0.0016769670906125343,0.9667733553657919,102
VMC,0.003238265794483902,27,0.0446420780943391,Vulcan Matls Co,0.0016511717189378753,0.9684245270847298,103
VVV,0.00320899807225914,15,0.018296484007747457,Valvoline Inc,0.001636248288224567,0.9700607753729544,104
MDB,0.0028723003734004117,9,0.01369048670924125,Mongodb Inc,0.0014645682120757845,0.9715253435850302,105
RJF,0.0028199140851796877,15,0.020455199246409855,Raymond James Financial Inc,0.0014378567674137896,0.972963200352444,106
VICI,0.0027229718005639973,6,0.009363801901959075,Vici Pptys Inc,0.0013884264955073525,0.9743516268479513,107
EFX,0.0027019824685339438,18,0.03050344833148745,Equifax Inc,0.0013777241648010663,0.9757293510127524,108
NTRA,0.002584256741827519,15,0.006797665435351267,Natera Inc,0.0013176965441961809,0.9770470475569486,109
MRSH,0.0024225941409857423,3,0.01344113598565632,Marsh & Mclennan Cos Inc,0.0012352657829613927,0.97828231333991,110
TKO,0.002353714931274489,9,0.006678725259374029,Tko Group Holdings Inc,0.001200144699543304,0.9794824580394533,111
CFG,0.002288559050758947,15,0.018196888016766045,Citizens Finl Group Inc,0.0011669221186751684,0.9806493801581285,112
BKNG,0.002200483255575412,3,0.013746974735431182,Booking Hldgs Inc,0.001122012814942985,0.9817713929730715,113
MAR,0.0021824719399563797,3,0.013872771648621792,Marriott Intl Inc New,0.0011128289564031242,0.9828842219294746,114
FTCHQ,0.002173498410338411,3,0.015519391280592201,Farfetch Ltd,0.0011082534090995396,0.9839924753385741,115
HDB,0.002106587133600142,12,0.011631633405493858,Hdfc Bank Ltd,0.0010741357625442592,0.9850666111011184,116
CPRT,0.0019236222812297988,6,0.007354333610717301,Copart Inc,0.0009808431148844638,0.9860474542160028,117
DLTR,0.0018721211025652116,2,0.015480484296422344,Dollar Tree Inc,0.000954582982115935,0.9870020371981187,118
BLCO,0.0017739857730654012,18,0.018235985081909982,Bausch Plus Lomb Corp,0.000904544383995066,0.9879065815821139,119
