period,rebalance,n,priced_share
2013-06-30,2013-08-31,37,0.7675940850619885
2013-09-30,2013-11-30,40,0.7975308390646371
2013-12-31,2014-02-28,43,0.775413073104297
2014-03-31,2014-05-31,46,0.8025070287489682
2014-06-30,2014-08-31,37,0.7243814485782155
2014-09-30,2014-11-30,38,0.6759408910502698
2014-12-31,2015-02-28,40,0.6921239001315473
2015-03-31,2015-05-31,41,0.6944890195305833
2015-06-30,2015-08-31,36,0.6367420215857289
2015-09-30,2015-11-30,37,0.6162239814503593
2015-12-31,2016-02-29,32,0.5866393414465645
2016-03-31,2016-05-31,29,0.6328613078251222
2016-06-30,2016-08-31,29,0.6676847212248079
2016-09-30,2016-11-30,29,0.7001555003726766
2016-12-31,2017-02-28,30,0.7360853019704753
2017-03-31,2017-05-31,25,0.7380327146072563
2017-06-30,2017-08-31,29,0.7151816657217278
2017-09-30,2017-11-30,28,0.702483678411865
2017-12-31,2018-02-28,25,0.7273492764094773
2018-03-31,2018-05-31,25,0.7430671500541823
2018-06-30,2018-08-31,31,0.7411613926182644
2018-09-30,2018-11-30,25,0.7207806735141896
2018-12-31,2019-02-28,33,0.7827690949412989
2019-03-31,2019-05-31,33,0.7681398597189095
2019-06-30,2019-08-31,37,0.8191348860000476
2019-09-30,2019-11-30,44,0.8285822311578375
2019-12-31,2020-02-29,46,0.8103452150300604
2020-03-31,2020-05-31,51,0.807628364541805
2020-06-30,2020-08-31,50,0.7261798585097049
2020-09-30,2020-11-30,47,0.7069711709989379
2020-12-31,2021-02-28,49,0.7232121928041524
2021-03-31,2021-05-31,45,0.7264556599435653
2021-06-30,2021-08-31,47,0.791439736502953
2021-09-30,2021-11-30,45,0.778514292893597
2021-12-31,2022-02-28,44,0.7326293553043313
2022-03-31,2022-05-31,43,0.7240056858481831
2022-06-30,2022-08-31,45,0.7433311287697938
2022-09-30,2022-11-30,46,0.7810315676160305
2022-12-31,2023-02-28,48,0.7859398492042897
2023-03-31,2023-05-31,52,0.8496995926128378
2023-06-30,2023-08-31,52,0.8662201698006173
2023-09-30,2023-11-30,52,0.8891842513943037
2023-12-31,2024-02-29,47,0.9092632011466601
2024-03-31,2024-05-31,48,0.9019587264928204
2024-06-30,2024-08-31,50,0.9180286727520836
2024-09-30,2024-11-30,44,0.8993456623153524
2024-12-31,2025-02-28,50,0.9610187600055656
2025-03-31,2025-05-31,46,0.9785700804604399
2025-06-30,2025-08-31,44,0.9877377573269741
2025-09-30,2025-11-30,42,0.9960252242071954
2025-12-31,2026-02-28,39,0.9999999999999999
2026-03-31,2026-05-31,33,1.0
