ticker,contribution,active,months_held,avg_weight_when_held,first_held,last_held,name,share_of_outperformance,cum_share_of_outperformance,rank
CGNX,0.051822180787088744,0.04276382908585939,9,0.08658147349432382,2025-12-31,2026-08-31,Cognex Corp,0.25365863431838204,0.25365863431838204,1
SHAK,0.09075738162990046,0.02877309831646787,18,0.16168353294163376,2023-06-30,2024-11-30,Shake Shack Inc,0.1706709848037712,0.4243296191221532,2
UPBD,0.10044126550485094,0.021330138801463904,23,0.16112148361269013,2023-01-31,2024-11-30,Rent A Ctr Inc New,0.12652220331668018,0.5508518224388335,3
NATL,0.048823095723406304,0.02095208590528807,18,0.11898411567299713,2024-03-31,2025-08-31,Ncr Atleos Corporation,0.12427973851888262,0.6751315609577161,4
YETI,0.0657611127280769,0.018279277486915393,15,0.19392357783974387,2025-06-30,2026-08-31,Yeti Hldgs Inc,0.10842566399627927,0.7835572249539954,5
FRPT,0.035927214547102064,0.018034701236414236,14,0.07088824124061335,2023-01-31,2026-05-31,Freshpet Inc,0.1069749314726721,0.8905321564266675,6
BRBR,0.01906484065740302,0.014265285507405873,3,0.11298807604827427,2023-03-31,2023-05-31,Bellring Brands Inc,0.08461620292947307,0.9751483593561405,7
KTOS,0.005194237505711087,0.004189691061977748,3,0.025586782047043788,2023-09-30,2023-11-30,Kratos Defense & Sec Solutio,0.02485164064385957,1.0,8
SMPL,0.0,0.0,0,,,,Simply Good Foods Co,,,9
MED,0.0,0.0,0,,,,Medifast Inc,,,10
HAIN,0.0,0.0,0,,,,Hain Celestial Group Inc,,,11
BHE,0.0,0.0,0,,,,Benchmark Electrs Inc,,,12
ANIK,0.0,0.0,0,,,,Anika Therapeutics Inc,,,13
MX,0.0,0.0,0,,,,Magnachip Semiconductor Corp,,,14
TRS,0.0,0.0,0,,,,Trimas Corp,,,15
CLS,0.0,0.0,0,,,,Celestica Inc,,,16
DXCM,0.0,0.0,0,,,,Dexcom Inc,,,17
IMAX,0.0,0.0,0,,,,Imax Corp,,,18
THC,0.0,0.0,0,,,,Tenet Healthcare Corp,,,19
APOG,0.0,0.0,0,,,,Apogee Enterprises Inc,,,20
UEIC,0.0,0.0,0,,,,Universal Electrs Inc,,,21
JACK,0.0,0.0,0,,,,Jack In The Box Inc,,,22
ASTE,0.0,0.0,0,,,,Astec Inds Inc,,,23
PBYI,0.0,0.0,0,,,,Puma Biotechnology Inc,,,24
CASY,0.0,0.0,0,,,,Caseys Gen Stores Inc,,,25
GRPN,0.0,0.0,0,,,,Groupon Inc,,,26
GIL,0.0,0.0,0,,,,Gildan Activewear Inc,,,27
IWM,0.0021192599666133407,-0.00021949903355038394,8,0.012127885853125988,2023-01-31,2023-08-31,Ishares Tr,,,28
GXO,0.0225456169247292,-0.005712651005020814,15,0.124443293846269,2025-06-30,2026-08-31,Gxo Logistics Incorporated,,,29
PRAA,-0.022307092325767143,-0.035555264259595,15,0.06620766716402952,2024-03-31,2025-05-31,Pra Group Inc,,,30
RILY,0.03967695101850371,-0.046307682217328894,44,0.10395013001208418,2023-01-31,2026-08-31,Brc Inc,,,31
BL,-0.04084345447559505,-0.057063310762566204,12,0.10962598348249704,2024-12-31,2026-08-31,Blackline Inc,,,32
VYX,-0.004162368886690859,-0.1110052010586676,32,0.184406105955276,2023-01-31,2025-08-31,Ncr Corp New,,,33
VFC,-0.021841124088804353,-0.11952784648168731,33,0.1950812302186133,2023-12-31,2026-08-31,V F Corp,,,34
PTLO,-0.08887444448469085,-0.12187597899161805,27,0.09476763803374588,2024-06-30,2026-08-31,Portillos Inc,,,35
EVH,-0.1782529909238421,-0.2948689917837615,44,0.14550986550340442,2023-01-31,2026-08-31,Evolent Health Inc,,,36
