ticker,contribution,months_held,avg_weight_when_held,name,share_of_gains,cum_share_of_gains,rank
NVDA,0.10873546775396374,45,0.0672346634764028,Nvidia Corp,0.0784513363909938,0.0784513363909938,1
AMZN,0.03659455438820702,50,0.04582292356111331,Amazon Com Inc,0.02640253227110521,0.10485386866209902,2
AVGO,0.031932624880540626,21,0.023252096593220858,Broadcom Inc,0.02303900602165194,0.12789287468375096,3
MSFT,0.030230507121452335,63,0.040969685000471,Microsoft Corp,0.02181094846459552,0.1497038231483465,4
AAPL,0.03019865774367258,57,0.033622923930754556,Apple Inc,0.021787969520359062,0.17149179266870554,5
NI,0.02358661687334075,62,0.030608739410155468,Nisource Inc,0.017017461301981597,0.18850925397068713,6
MPC,0.022656585372740266,30,0.01569477110647545,Marathon Pete Corp,0.016346454724137822,0.20485570869482495,7
GNRC,0.02240859575686989,12,0.018847855782904276,Generac Hldgs Inc,0.016167533189352674,0.22102324188417763,8
EVRG,0.022152666556370985,51,0.021525073546108484,Evergy Inc,0.01598288333944309,0.23700612522362072,9
ENPH,0.019040916486145375,12,0.010762121723220665,Enphase Energy Inc,0.01373779296951576,0.25074391819313646,10
ETR,0.017962665101619948,65,0.03520580082890236,Entergy Corp New,0.012959847522379211,0.2637037657155157,11
META,0.017958698103641105,38,0.021271332219688733,Facebook Inc,0.012956985380896499,0.2766607510964122,12
FANG,0.016983187301711947,18,0.019050764833899003,Diamondback Energy Inc,0.01225316603238036,0.28891391712879255,13
LNG,0.016411500102076575,48,0.015275613189800509,Cheniere Energy Inc,0.011840700571611835,0.3007546177004044,14
SCHW,0.015167916275678497,6,0.035062052334906425,Schwab Charles Corp,0.010943469749780027,0.31169808745018446,15
PG,0.014939340737231823,24,0.020770065893604472,Procter And Gamble Co,0.010778555239107139,0.3224766426892916,16
SPY,0.014815414065163634,23,0.10694074381156084,Spdr S&P 500 Etf Tr,0.010689143630925746,0.33316578632021737,17
DAR,0.014316585899446897,9,0.015986518246802042,Darling Ingredients Inc,0.0103292450896467,0.3434950314098641,18
PPL,0.013997331749746768,53,0.02858785455048922,Ppl Corp,0.010098907048070267,0.35359393845793435,19
JD,0.013944374612950509,12,0.011045856052729069,Jd Com Inc,0.01006069910875733,0.3636546375666917,20
IWM,0.013760843627936243,12,0.02193228091422776,Ishares Tr,0.0099282837033617,0.3735829212700534,21
SE,0.01282321175708943,9,0.023880611601653706,Sea Ltd,0.00925179354950352,0.3828347148195569,22
MRVL,0.012565344815057056,15,0.01289562703739326,Marvell Technology Group Ltd,0.009065745642308479,0.3919004604618654,23
LLY,0.011832342416301914,9,0.014920019098357329,Lilly Eli & Co,0.008536893199329506,0.4004373536611949,24
HUBS,0.011801888924264611,6,0.01672033375385795,Hubspot Inc,0.008514921369921418,0.4089522750311163,25
AEP,0.011248260713163805,29,0.027948792539249902,American Elec Pwr Inc,0.008115485252877353,0.41706776028399367,26
PCG,0.010725878272322258,6,0.021992371443639164,Pg&E Corp,0.007738592584480156,0.42480635286847385,27
FTI,0.010685471100824528,15,0.012815087463459263,Technipfmc Plc,0.0077094392946727335,0.43251579216314656,28
SLB,0.010526498050831567,12,0.009920498042255343,Schlumberger Ltd,0.007594742144978029,0.4401105343081246,29
GOOG,0.010463823742119793,45,0.016392370981131242,Alphabet Inc,0.0075495233826240035,0.44766005769074857,30
WDC,0.010401474767429118,12,0.01294507362175818,Western Digital Corp.,0.007504539344865877,0.45516459703561446,31
FIS,0.010078456129340828,24,0.027871678240727355,Fidelity Natl Information Sv,0.007271485270048589,0.462436082305663,32
AER,0.009941557315669581,15,0.022256575895877425,Aercap Holdings Nv,0.0071727144172192975,0.4696087967228823,33
DHR,0.009540550214234745,18,0.02286931343814321,Danaher Corporation,0.006883392601075319,0.47649218932395765,34
VST,0.009491078916313884,6,0.012940733222535259,Vistra Corp,0.006847699652720416,0.48333988897667807,35
CAR,0.009476057772139489,17,0.027070241934448593,Avis Budget Group,0.0068368620772821095,0.4901767510539602,36
INTC,0.009372993648814104,15,0.017095166879335995,Intel Corp,0.006762502547904467,0.49693925360186464,37
TRGP,0.00919550369403506,30,0.015001787608898714,Targa Res Corp,0.006634445673399638,0.5035736992752643,38
CMS,0.009183573935232472,69,0.032212308699195474,Cms Energy Corp,0.0066258384954454965,0.5101995377707098,39
CSX,0.009132443421331796,39,0.01417188036949073,Csx Corp,0.006588948442652947,0.5167884862133627,40
CRL,0.008951418051471087,6,0.017459252042031203,Charles Riv Labs Intl Inc,0.006458340808551618,0.5232468270219143,41
OGE,0.008734806175995563,47,0.013607099822626,Oge Energy Corp,0.006302057937284024,0.5295488849591983,42
PLUG,0.008696078564824392,3,0.015747653330786187,Plug Power Inc,0.00627411643011652,0.5358230013893148,43
MU,0.00866580848716247,9,0.0062378844407280105,Micron Technology Inc,0.006252276931981375,0.5420752783212962,44
PYPL,0.008382441407603148,18,0.01684867265660391,Paypal Hldgs Inc,0.006047830981273341,0.5481231093025696,45
PANW,0.00830259052431816,12,0.01465421078177515,Palo Alto Networks Inc,0.005990219526289002,0.5541133288288586,46
JPM,0.008175483096455905,12,0.013384300970015797,Jpmorgan Chase & Co,0.005898513040935217,0.5600118418697938,47
SNAP,0.007835853028872204,9,0.02347421104103028,Snap Inc,0.005653474018885913,0.5656653158886797,48
OKLO,0.007757087708736336,3,0.04130318013151372,Oklo Inc,0.0055966457846992074,0.571261961673379,49
WMB,0.007670857029897308,12,0.01334427719192615,Williams Cos Inc,0.0055344313837078826,0.5767963930570869,50
XEL,0.007440473646383734,33,0.02187625676391436,Xcel Energy Inc,0.005368212534492881,0.5821646055915798,51
HSY,0.0073675337177827645,18,0.011561680150425042,Hershey Co,0.005315587250459915,0.5874801928420397,52
LNT,0.007172456431490359,65,0.021756664588647823,Alliant Energy Corp,0.005174841327116887,0.5926550341691565,53
XLI,0.007139979005391083,6,0.0315785674156571,Select Sector Spdr Tr,0.0051514092535473585,0.597806443422704,54
XLE,0.007027269171895979,9,0.013053905130533207,Select Sector Spdr Tr,0.0050700904599214865,0.6028765338826254,55
DD,0.006910765093938311,9,0.021655285452246195,Dupont De Nemours Inc,0.004986034164403813,0.6078625680470292,56
LIVN,0.006316707163264342,9,0.011214788817495665,Livanova Plc,0.004557428489386221,0.6124199965364154,57
LMT,0.0063153101554175,3,0.01602987855100557,Lockheed Martin Corp,0.004556420564972989,0.6169764171013884,58
EEFT,0.006306939077300712,3,0.028045951626826663,Euronet Worldwide Inc,0.004550380932469808,0.6215267980338582,59
TDW,0.0060130774438287675,9,0.01450516650948168,Tidewater Inc New,0.0043383632869295466,0.6258651613207877,60
AEE,0.005943310016345515,26,0.031128117017427452,Ameren Corp,0.004288026924418949,0.6301531882452067,61
AA,0.005801718985619096,6,0.011923450637187498,Alcoa Corp,0.004185870693237785,0.6343390589384446,62
NEE,0.005735178107168323,15,0.01613534607066779,Nextera Energy Inc,0.004137862247172095,0.6384769211856166,63
ON,0.0057286973537099585,9,0.014212573194374141,On Semiconductor Corp,0.00413318646124749,0.6426101076468641,64
TPL,0.005715797739132569,3,0.014312533443990796,Texas Pacific Land Corporati,0.004123879543979109,0.6467339871908432,65
NBIS,0.005645183808227988,6,0.019340830523813364,Yandex N V,0.004072932439398471,0.6508069196302416,66
TMUS,0.005575779802457994,15,0.013162585462176827,T Mobile Us Inc,0.004022858281297047,0.6548297779115386,67
APP,0.005572568438655561,3,0.025960428765603425,Applovin Corp,0.004020541320813568,0.6588503192323522,68
PRMB,0.005507146310778982,3,0.013430049166999837,Primo Brands Corporation,0.003973340039874829,0.662823659272227,69
DUK,0.00528871550391643,24,0.030253509507622706,Duke Energy Corp New,0.003815744831418059,0.6666394041036451,70
MA,0.005275439241341214,6,0.01999816385159658,Mastercard Inc,0.0038061661671347537,0.6704455702707799,71
SCCO,0.005024836608095031,3,0.014366556985361432,Southern Copper Corp,0.00362535937163956,0.6740709296424194,72
ROST,0.005013034836346076,15,0.00987339231692361,Ross Stores Inc,0.0036168445348102197,0.6776877741772297,73
AEM,0.004995592771074479,6,0.009045369667737904,Agnico Eagle Mines Ltd,0.003604260293823903,0.6812920344710536,74
FE,0.004972190416481605,11,0.028108178016624862,Firstenergy Corp,0.003587375775548219,0.6848794102466018,75
IBIT,0.00487158949392448,3,0.02040768064047308,Ishares Bitcoin Trust Etf,0.0035147934159943774,0.6883942036625962,76
WIX,0.004738780575696664,3,0.007068635937875618,Wix Com Ltd,0.003418973373695119,0.6918131770362913,77
QCOM,0.004670913324874739,15,0.012942507767916219,Qualcomm Inc,0.0033700079658650814,0.6951831850021564,78
ORLY,0.0045973079399843015,9,0.012406202222093769,O Reilly Automotive Inc New,0.0033169025630971996,0.6985000875652536,79
CF,0.004591670235486577,3,0.014385581056199368,Cf Inds Hldgs Inc,0.0033128350268906625,0.7018129225921442,80
ISRG,0.004583384223452537,18,0.013961283212516341,Intuitive Surgical Inc,0.003306856768546355,0.7051197793606906,81
FCX,0.004454872087009761,21,0.01480847940248278,Freeport-Mcmoran Inc,0.0032141368027923103,0.7083339161634828,82
