period,rebalance,n,priced_share
2018-12-31,2019-02-28,49,0.8200074450126895
2019-03-31,2019-05-31,55,0.717372978672318
2019-06-30,2019-08-31,52,0.8616959837338781
2019-09-30,2019-11-30,59,0.9899369430824673
2019-12-31,2020-02-29,55,0.95449708909055
2020-03-31,2020-05-31,48,0.8549889014687349
2020-06-30,2020-08-31,51,0.8730782193876228
2020-09-30,2020-11-30,51,0.8808630898617049
2020-12-31,2021-02-28,54,0.9620381342311173
2021-03-31,2021-05-31,54,0.9211381895008816
2021-06-30,2021-08-31,55,0.9510526519217105
2021-09-30,2021-11-30,53,0.8972093823670795
2021-12-31,2022-02-28,55,0.9440105831864029
2022-03-31,2022-05-31,54,0.8736525714807941
2022-06-30,2022-08-31,56,0.9458965323921465
2022-09-30,2022-11-30,57,0.9624046857210209
2022-12-31,2023-02-28,56,0.9346013514101741
2023-03-31,2023-05-31,58,0.9658768483727462
2023-06-30,2023-08-31,54,0.9049619099884518
2023-09-30,2023-11-30,52,0.8616042658548866
2023-12-31,2024-02-29,55,0.9550343147782113
2024-03-31,2024-05-31,54,0.9229536399855123
2024-06-30,2024-08-31,56,0.9474075870546217
2024-09-30,2024-11-30,54,0.9438040507944
2024-12-31,2025-02-28,57,0.9638202646863914
2025-03-31,2025-05-31,58,0.9636571733349178
2025-06-30,2025-08-31,54,0.890650399654346
2025-09-30,2025-11-30,55,0.947208608088835
2025-12-31,2026-02-28,55,0.9629807423752068
2026-03-31,2026-05-31,55,0.9635517828864719
2026-06-30,2026-08-31,53,0.8877336790126451
