period,rebalance,n,priced_share
2013-06-30,2013-08-31,21,0.3329686140102138
2013-09-30,2013-11-30,21,0.5075910858238534
2013-12-31,2014-02-28,24,0.41715118059127543
2014-03-31,2014-05-31,24,0.3529779926396554
2014-06-30,2014-08-31,25,0.4072263748527243
2014-09-30,2014-11-30,26,0.5313851540900273
2014-12-31,2015-02-28,26,0.5571941074287756
2015-03-31,2015-05-31,24,0.5328231500927542
2015-06-30,2015-08-31,26,0.5274873284585261
2015-09-30,2015-11-30,22,0.5409486304852233
2015-12-31,2016-02-29,15,0.585460986287181
2016-03-31,2016-05-31,17,0.7517709894035952
2016-06-30,2016-08-31,17,0.7414871688763404
2016-09-30,2016-11-30,18,0.6353129914784121
2016-12-31,2017-02-28,17,0.6016702862479595
2017-03-31,2017-05-31,21,0.5887015328178999
2017-06-30,2017-08-31,20,0.6233563571019277
2017-09-30,2017-11-30,29,0.5981808164631935
2017-12-31,2018-02-28,28,0.54261606410072
2018-03-31,2018-05-31,21,0.7118496198016164
2018-06-30,2018-08-31,19,0.6580023210781348
2018-09-30,2018-11-30,18,0.5635845738614059
2018-12-31,2019-02-28,21,0.5516147331536119
2019-03-31,2019-05-31,20,0.495761088790903
2019-06-30,2019-08-31,20,0.4390227937980762
2019-09-30,2019-11-30,22,0.4095260688224112
2019-12-31,2020-02-29,31,0.3856563583763803
2020-03-31,2020-05-31,38,0.2861102379214794
2020-06-30,2020-08-31,41,0.33081672649022176
2020-09-30,2020-11-30,41,0.2922564661132212
2020-12-31,2021-02-28,41,0.313339036588576
2021-03-31,2021-05-31,39,0.300944113911754
2021-06-30,2021-08-31,41,0.3257498552757034
2021-09-30,2021-11-30,40,0.3049792625958413
2021-12-31,2022-02-28,43,0.28771577697660944
2022-03-31,2022-05-31,40,0.2605838508325431
2022-06-30,2022-08-31,46,0.2929715586872415
2022-09-30,2022-11-30,45,0.3288462125630316
2022-12-31,2023-02-28,43,0.29036360548254003
2023-03-31,2023-05-31,46,0.8221401508189933
2023-06-30,2023-08-31,46,0.8287422987568287
2023-09-30,2023-11-30,47,0.8289250766419461
2023-12-31,2024-02-29,47,0.7983855866443681
2024-03-31,2024-05-31,35,0.7290965509128157
2024-06-30,2024-08-31,32,0.7048994566559605
2024-09-30,2024-11-30,28,0.660256833295734
2024-12-31,2025-02-28,28,0.7146606379518915
2025-03-31,2025-05-31,27,0.6517190414197123
2025-06-30,2025-08-31,26,0.6526422709174181
2025-09-30,2025-11-30,26,0.6503199810381493
2025-12-31,2026-02-28,25,0.7345690372851
2026-03-31,2026-05-31,25,0.6670912528751192
2026-06-30,2026-08-31,28,0.7838736137399384
