period,rebalance,n,priced_share
2013-06-30,2013-08-31,21,0.39383814333804834
2013-09-30,2013-11-30,19,0.32044229297464966
2013-12-31,2014-02-28,19,0.38513469630373887
2014-03-31,2014-05-31,20,0.4131114134185374
2014-06-30,2014-08-31,21,0.30606870188735924
2014-09-30,2014-11-30,21,0.30230094313253403
2014-12-31,2015-02-28,17,0.2355617468457703
2015-03-31,2015-05-31,19,0.25186443829355687
2015-06-30,2015-08-31,24,0.2889246715034126
2015-09-30,2015-11-30,22,0.3988709869205224
2015-12-31,2016-02-29,18,0.3580047443200405
2016-03-31,2016-05-31,19,0.3186838299843348
2016-06-30,2016-08-31,21,0.460965642431433
2016-09-30,2016-11-30,23,0.41465171437646525
2016-12-31,2017-02-28,23,0.3790502565871828
2017-03-31,2017-05-31,24,0.43124378499118127
2017-06-30,2017-08-31,28,0.44224854265871627
2017-09-30,2017-11-30,33,0.5073865910557414
2017-12-31,2018-02-28,36,0.5688487735936328
2018-03-31,2018-05-31,30,0.5047633111981439
2018-06-30,2018-08-31,30,0.4580756363614424
2018-09-30,2018-11-30,31,0.4573373932018698
2018-12-31,2019-02-28,37,0.645056422384384
2019-03-31,2019-05-31,38,0.5510157573469225
2019-06-30,2019-08-31,37,0.5364643037234792
2019-09-30,2019-11-30,36,0.6666500365508714
2019-12-31,2020-02-29,35,0.7137371460001212
2020-03-31,2020-05-31,38,0.6898089435004745
2020-06-30,2020-08-31,41,0.8029330776681473
2020-09-30,2020-11-30,42,0.7989289609710468
2020-12-31,2021-02-28,44,0.8536704449943966
2021-03-31,2021-05-31,43,0.8256150042479046
2021-06-30,2021-08-31,44,0.7810923682422898
2021-09-30,2021-11-30,44,0.86752189178728
2021-12-31,2022-02-28,47,0.910528524599618
2022-03-31,2022-05-31,47,0.926498047787318
2022-06-30,2022-08-31,53,0.9365077126614388
2022-09-30,2022-11-30,49,0.8328130440447665
2022-12-31,2023-02-28,54,0.9525504490307736
2023-03-31,2023-05-31,52,0.8832968549549641
2023-06-30,2023-08-31,53,0.9578757854124077
2023-09-30,2023-11-30,55,0.8190592713453436
2023-12-31,2024-02-29,55,0.9724648979824526
2024-03-31,2024-05-31,57,0.9159106528157476
2024-06-30,2024-08-31,55,0.9775350612454236
2024-09-30,2024-11-30,52,0.9398210324300242
2024-12-31,2025-02-28,56,0.9774409944034469
2025-03-31,2025-05-31,55,0.9522005737589712
2025-06-30,2025-08-31,51,0.9101328395550564
2025-09-30,2025-11-30,53,0.9513759896729204
2025-12-31,2026-02-28,53,0.9262210571698773
2026-03-31,2026-05-31,57,0.9657526019984887
2026-06-30,2026-08-31,54,0.8824735869683338
