ticker,contribution,active,months_held,avg_weight_when_held,first_held,last_held,name,share_of_outperformance,cum_share_of_outperformance,rank
AAPL,0.18267667194002027,0.08112978006185537,156,0.05740915219184789,2013-09-30,2026-08-31,Apple Inc,0.14296279516697366,0.14296279516697366,1
NVDA,0.10449440753980156,0.07015999400757686,67,0.03629937715966115,2020-05-31,2026-08-31,Nvidia Corp Com,0.12363239299519836,0.26659518816217204,2
AMZN,0.1411547204785098,0.059468643888822746,156,0.04580758168865232,2013-09-30,2026-08-31,Amazon Com Inc,0.1047926365466969,0.37138782470886894,3
MSFT,0.14247035550937714,0.052296724160403124,156,0.04713213786809049,2013-09-30,2026-08-31,Microsoft Corp,0.09215464233167125,0.4635424670405402,4
TSM,0.0910962612368586,0.046546319434833026,156,0.023630675855225613,2013-09-30,2026-08-31,Taiwan Semiconductor Mfg L Adr,0.08202156995945367,0.5455640369999939,5
GOOG,0.08473355999595517,0.02686313474260131,127,0.0363154096314781,2016-02-29,2026-08-31,Alphabet Inc Class A,0.04733685740083711,0.592900894400831,6
ASML,0.04658297464762564,0.02461549081799124,94,0.019222563731269984,2018-05-31,2026-08-31,Asml Holding N V Nys,0.04337617295478866,0.6362770673556197,7
LLY,0.04011090707059679,0.021200265924514898,91,0.015303605408716439,2019-02-28,2026-08-31,Lilly Eli& Co,0.03735803637752993,0.6736351037331496,8
AVGO,0.03137727379349276,0.021125137839946302,39,0.018251928203323383,2022-06-30,2026-08-31,Broadcom Inc Com,0.03722564946661659,0.7108607531997662,9
V,0.08137346990213425,0.020131706260359795,156,0.03265018892310185,2013-09-30,2026-08-31,Visa Inc,0.035475074581333456,0.7463358277810996,10
CAT,0.036646711973807186,0.018770266399323592,82,0.015922771049612393,2019-11-30,2026-08-31,Caterpillar Inc Del,0.0330760141150401,0.7794118418961398,11
JPM,0.047490755382923584,0.014408051404705281,156,0.017889345926975837,2013-09-30,2026-08-31,Jpmorgan Chase& Co,0.025389139476967075,0.8048009813731068,12
GS,0.02580655986339516,0.01143371434870848,73,0.014887931202325707,2017-02-28,2026-08-31,Goldman Sachs Group Inc,0.020147913148363544,0.8249488945214704,13
FCX,0.02319492647258354,0.011022998666762939,77,0.014428393821920939,2018-11-30,2026-08-31,Freeport-Mcmoran Inc,0.019424170746189188,0.8443730652676595,14
MS,0.019429974815205767,0.008355956841064724,67,0.012802830020301836,2021-02-28,2026-08-31,Morgan Stanley,0.014724444530509298,0.8590975097981688,15
COST,0.024489107567278193,0.008168054633559574,103,0.013851435842842222,2018-02-28,2026-08-31,Costco Whsl Corp New,0.014393332763874408,0.8734908425620432,16
BAC,0.023681268484165893,0.0074663047325859745,86,0.016470604129787975,2013-09-30,2026-08-31,Bank Of America Corporation,0.013156744580412761,0.886647587142456,17
NVO,0.030003852504293282,0.007194824000327809,138,0.014639585352594629,2013-09-30,2025-02-28,Novo-Nordisk A S Adr,0.012678354964565002,0.899325942107021,18
HD,0.0486277038253319,0.006869068734993863,156,0.022967551097351057,2013-09-30,2026-08-31,Home Depot Inc,0.01210432551154549,0.9114302676185665,19
HDB,0.016339693488726364,0.006620379262804106,78,0.012142784361394035,2013-09-30,2020-02-29,Hdfc Bank Ltd Adr,0.01166609750148876,0.9230963651200552,20
C,0.02118470220222113,0.005792151469552313,86,0.01514653422015122,2013-09-30,2026-08-31,Citigroup Inc,0.010206636373060024,0.9333030014931153,21
ORCL,0.03149548699799732,0.005622685407909351,156,0.013615079015570766,2013-09-30,2026-08-31,Oracle Corp,0.009908011850228273,0.9432110133433436,22
BKNG,0.007995647865977916,0.004416918666485941,21,0.009396525558032155,2023-06-30,2025-05-31,Booking Hldgs Inc Com,0.007783270681919451,0.950994284025263,23
NFLX,0.0221673982117872,0.004210319186316346,82,0.015819188618015647,2019-11-30,2026-08-31,Netflix Inc Com,0.007419211527037358,0.9584134955523004,24
LRCX,0.007755576674063692,0.0034101656697875207,43,0.010836245025851017,2021-11-30,2025-05-31,Lam Research Corp,0.006009221469151973,0.9644227170214523,25
AZN,0.010322418465572697,0.002404332222449558,70,0.010425757116973237,2018-02-28,2026-08-31,Astrazeneca Plc Adr,0.00423679263975993,0.9686595096612123,26
IGV,0.004626818834447724,0.002342513513843291,15,0.010052767066782892,2022-12-31,2024-02-29,Ishares Tr Expanded Tech,0.0041278588380261345,0.9727873684992384,27
JCI,0.004347514963060763,0.0022345788452047487,18,0.00843072449640974,2025-03-31,2026-08-31,Johnson Ctls Intl Plc  Shs,0.003937661823906012,0.9767250303231444,28
BP,0.005278712339933863,0.00221339507752091,15,0.011277094172351487,2025-06-30,2026-08-31,Bp Plc Sponsored Adr Adr,0.0039003328598937797,0.9806253631830382,29
MUFG,0.0027511935880737996,0.002181176110487413,9,0.006924311740913736,2025-12-31,2026-08-31,Mitsubishi Ufj Finl Group Adr,0.0038435582257090265,0.9844689214087472,30
LVMUY,0.019525104123761596,0.00212369668284199,105,0.014443145603116202,2013-09-30,2024-05-31,Lvmh Moet Hennessy Lou Vui Adr,0.0037422708854189094,0.9882111922941661,31
ABBV,0.0015626100533260854,0.001654650524555669,3,0.009271369129714551,2026-06-30,2026-08-31,Abbvie Inc,0.0029157414679865197,0.9911269337621527,32
DE,0.0013316869926922,0.0010016878390161751,6,0.007149568632453328,2025-09-30,2026-08-31,Deere & Co,0.0017651236480776304,0.9928920574102303,33
DIS,0.020005401672911108,0.0006812752557264585,75,0.02097804662762173,2013-09-30,2022-02-28,Disney Walt Co,0.0012005087991424528,0.9940925662093728,34
ISRG,0.011045530660266858,0.0006618059376512862,76,0.010173425298868987,2020-05-31,2026-08-31,Intuitive Surgical Inc,0.0011662009515197994,0.9952587671608926,35
RDY,0.000267761169556614,0.0005046188191092514,18,0.008512733718417327,2014-11-30,2016-10-31,Dr Reddys Labs Ltd Adr,0.0008892137611948832,0.9961479809220875,36
META,0.014669142055181108,0.00042270220099831376,76,0.016683427138023482,2020-05-31,2026-08-31,Facebook Inc,0.0007448644398133091,0.9968928453619008,37
EUFN,0.0005359886943420107,0.000409252741752506,3,0.008990264897555795,2019-08-31,2019-10-31,Ishares Msci Europe Fn Etf,0.000721164482956542,0.9976140098448574,38
CMI,0.0011088289600737905,0.0003612709658668624,9,0.007658178993225089,2025-12-31,2026-08-31,Cummins Inc,0.0006366134242397925,0.9982506232690972,39
