period,rebalance,n,priced_share
2013-06-30,2013-07-31,50,0.8514821571503393
2013-09-30,2013-10-31,50,0.8393873769943505
2013-12-31,2014-01-31,52,0.8380841233783402
2014-03-31,2014-04-30,50,0.825947926399463
2014-06-30,2014-07-31,50,0.8324757909439195
2014-09-30,2014-10-31,50,0.8355453507229534
2014-12-31,2015-01-31,51,0.8409298278843576
2015-03-31,2015-04-30,51,0.8391673391106427
2015-06-30,2015-07-31,49,0.8256078543339054
2015-09-30,2015-10-31,50,0.8363498782996898
2015-12-31,2016-01-31,50,0.8518831694367985
2016-03-31,2016-04-30,50,0.8462510797805524
2016-06-30,2016-07-31,50,0.8437255598951332
2016-09-30,2016-10-31,49,0.8344010816921179
2016-12-31,2017-01-31,51,0.8457512938149818
2017-03-31,2017-04-30,50,0.8368634573776301
2017-06-30,2017-07-31,50,0.8144280088242539
2017-09-30,2017-10-31,50,0.8131725143665642
2017-12-31,2018-01-31,51,0.8181471873327963
2018-03-31,2018-04-30,50,0.8183475371022575
2018-06-30,2018-07-31,53,0.8485302207096859
2018-09-30,2018-10-31,53,0.8403484232588913
2018-12-31,2019-01-31,53,0.8708384152324858
2019-03-31,2019-04-30,53,0.8708384152324858
2019-06-30,2019-07-31,52,0.8408420529331178
2019-09-30,2019-10-31,54,0.8919689209971209
2019-12-31,2020-02-29,54,0.8851388909678629
2020-03-31,2020-04-30,55,0.92415036877081
2020-06-30,2020-08-31,60,1.0
2020-09-30,2020-11-30,58,0.9805454916103044
2020-12-31,2021-01-31,60,1.0
2021-03-31,2021-04-30,60,1.0
2021-06-30,2021-07-31,60,1.0
2021-09-30,2021-10-31,60,1.0
2021-12-31,2022-02-28,60,1.0
2022-03-31,2022-05-31,60,1.0
2022-06-30,2022-08-31,60,1.0
2022-09-30,2022-11-30,60,1.0
2022-12-31,2023-02-28,60,1.0
2023-03-31,2023-05-31,60,1.0
2023-06-30,2023-08-31,60,1.0
2023-09-30,2023-11-30,60,0.9999999999999999
2023-12-31,2024-02-29,60,0.9999999999999999
2024-03-31,2024-05-31,60,1.0
2024-06-30,2024-08-31,60,1.0000000000000002
2024-09-30,2024-11-30,60,1.0
2024-12-31,2025-02-28,60,0.9999999999999999
2025-03-31,2025-05-31,60,0.9999999999999999
2025-06-30,2025-08-31,60,1.0
2025-09-30,2025-11-30,60,1.0
2025-12-31,2026-02-28,60,1.0
2026-03-31,2026-05-31,60,1.0
2026-06-30,2026-08-31,60,1.0
