ticker,contribution,months_held,avg_weight_when_held,name,share_of_gains,cum_share_of_gains,rank
MSFT,0.28951768507380904,134,0.09991408102019085,Microsoft Corp,0.14457289017349198,0.14457289017349198,1
IDXX,0.18220428984398293,134,0.0664267467046797,Idexx Labs Inc,0.09098511815621114,0.23555800832970314,2
SYK,0.15801906563557536,156,0.07707791898410836,Stryker Corp,0.0789080398167239,0.31446604814642704,3
V,0.14147031037273253,156,0.05664795302820572,Visa Inc,0.07064429117382827,0.3851103393202553,4
ADP,0.11833127057864556,156,0.057477065004197476,Automatic Data Processing Inc,0.0590896330947622,0.4441999724150175,5
META,0.10905259483275223,100,0.06821937499772045,Facebook,0.05445625475994823,0.49865622717496577,6
PM,0.10790855633897599,156,0.06908682062306468,Philip Morris Intl Inc,0.05388497030983668,0.5525411974848025,7
PYPL,0.09786275883856507,85,0.07606546131037391,Paypal Hldgs Inc,0.048868523807227386,0.6014097212920299,8
WAT,0.0926484615764526,139,0.0546773285976805,Waters Corp,0.04626472423202996,0.6476744455240598,9
BDX,0.08097648886433179,99,0.06476962260629202,Becton Dickinson & Co,0.040436234588686615,0.6881106801127465,10
PEP,0.07040450391704473,141,0.06302242470717417,Pepsico Inc,0.03515703232402948,0.7232677124367759,11
JNJ,0.06438491307854696,129,0.04790641015156296,Johnson & Johnson,0.03215110318722517,0.755418815624001,12
GOOG,0.06092543434472655,54,0.045370480689467835,Alphabet Inc,0.030423585785603776,0.7858424014096048,13
INTU,0.055373831846991656,78,0.04880021517288634,Intuit,0.02765135023810244,0.8134937516477072,14
DPZ,0.047879962490656056,30,0.07338007232740025,Dominos Pizza Inc,0.023909228746795953,0.8374029803945031,15
MMM,0.046263618562276385,75,0.05957133929970489,3M Co,0.023102094933258273,0.8605050753277614,16
FTNT,0.04304662579181944,69,0.01721297358186606,Fortinet Inc,0.02149566476864287,0.8820007400964043,17
EL,0.04016705116095465,84,0.05642832635723517,Lauder Estee Cos Inc,0.020057726955799913,0.9020584670522042,18
MAR,0.030255017695901793,107,0.017023765947399936,Marriot Intl Inc New,0.015108076556468574,0.9171665436086728,19
MCD,0.02254812545102118,40,0.06718711732541358,Mcdonalds Corp,0.011259580441925493,0.9284261240505983,20
CHH,0.014899687445965787,42,0.02087653326352183,Choice Hotels Intl Inc,0.007440273903115139,0.9358663979537135,21
MKC,0.01345329104929478,72,0.047828220829107954,Mccormick & Co Non Vtg Shrs,0.006718004700976616,0.9425844026546901,22
TXN,0.012089167820798335,27,0.020781013200541567,Texas Instruments Inc,0.006036819240246478,0.9486212218949366,23
CL,0.01201603858873071,87,0.01932858710752642,Colgate Palmolive Co,0.006000301593894445,0.954621523488831,24
EBAY,0.01184580837878395,18,0.05533142676481815,Ebay Inc,0.00591529582493574,0.9605368193137668,25
PG,0.010312114718569078,98,0.03228838795631255,Procter & Gamble Co,0.005149434060596549,0.9656862533743633,26
CHD,0.010007577346406027,69,0.028141414433209985,Church And Dwight Co Inc,0.004997360973772067,0.9706836143481353,27
MTD,0.008585005010839072,51,0.03380838927241137,Mettler Toledo Ord,0.00428698850038987,0.9749706028485252,28
EFX,0.00492306543488455,78,0.004238570352407514,Equifax,0.0024583707149116937,0.9774289735634369,29
AAPL,0.004515799008406243,27,0.009561842849565997,Aapl Us,0.0022549990820817747,0.9796839726455188,30
MSCI,0.0044811025308657436,90,0.00360964272304859,Msci,0.002237673128278328,0.9819216457737971,31
VRT,0.004280871203187812,12,0.0039008217716613443,Vertiv Holdings Co,0.0021376860696698217,0.984059331843467,32
CLX,0.00405604914690131,36,0.00540179463713817,Clorox Company,0.002025419440970435,0.9860847512844374,33
VRSK,0.0037777787737950782,81,0.0044025545494479545,Verisk Analytics,0.0018864629828205036,0.9879712142672579,34
SBUX,0.0035334384054269566,27,0.02997082650256522,Starbucks Corp,0.0017644497343654764,0.9897356640016234,35
VRSN,0.0031416460728210527,90,0.004334814455564498,Verisign,0.0015688052097202574,0.9913044692113436,36
ADBE,0.002784489534296921,12,0.030900763622731087,Adobe Ord,0.0013904563361250915,0.9926949255474687,37
OTIS,0.0022530715546557186,45,0.022954898753284776,Otis Worldwide Ord,0.001125088667178374,0.9938200142146472,38
NTNX,0.00209735112972804,6,0.00309112761549732,Nutanix Inc,0.0010473284713371444,0.9948673426859843,39
WING,0.0019392919625180827,18,0.0027389897079023316,Wingstop Inc,0.0009684004064897996,0.9958357430924741,40
MELI,0.001304633567476582,48,0.0009522445210546075,Mercadolibre,0.000651478839433791,0.996487221931908,41
AOS,0.001278345569341436,39,0.002863152287210043,Ao Smith,0.0006383517247074332,0.9971255736566154,42
PAYC,0.001263586398416723,90,0.0026049024354377354,Paycom Software,0.0006309816188135347,0.997756555275429,43
MEDP,0.0012328451293306948,18,0.0024296203359293216,Medpace Hldgs Inc,0.0006156307288731324,0.9983721860043021,44
QLYS,0.0011696752106962003,72,0.0038426387746291926,Qualys,0.0005840863425373375,0.9989562723468395,45
ROL,0.0005709708591863733,63,0.003076932568439857,Rollins Inc,0.00028511870456677477,0.9992413910514063,46
MA,0.0005183197121732472,30,0.0010918618940830042,Mastercard Cl A Ord,0.00025882694801070637,0.999500217999417,47
GGG,0.00047074896971222567,36,0.003728273799075055,Graco Ord,0.00023507213067187812,0.9997352901300889,48
HD,0.00032694642102910914,63,0.001671018704154817,Home Depot Inc,0.00016326321830048953,0.9998985533483894,49
BMI,0.00016131299246228265,3,0.001837974543602817,Badger Meter Inc,8.055288759600781e-05,0.9999791062359854,50
G,3.320953635878081e-05,15,0.0005268511139106709,Genpact Limited,1.6583438250021234e-05,0.9999956896742355,51
ORCL,8.224318269472334e-06,3,0.00013251638097209087,Oracle Corp,4.106876792763601e-06,0.9999997965510282,52
EW,4.0742130430105996e-07,9,3.60220575668111e-05,Edwards Lifesciences Ord,2.0344897226586216e-07,1.0000000000000004,53
CGNX,-0.00011763567835804803,72,0.0037893150697866987,Cognex,,,54
XP,-0.00011877579586560663,33,0.0002902982790833245,Xp Class A,,,55
TSM,-0.00012389805550895404,24,0.00044905231497840054,Taiwan Semiconductor Mfg Ltd,,,56
NSSC,-0.0001452839110883852,12,0.002669685616889567,Napco Sec Technologies Inc,,,57
MANH,-0.00021791428352604898,12,0.002389977484205693,Manhattan Associates Inc,,,58
IPGP,-0.00026810546530628963,63,0.0033469419305743094,Ipg Photonics,,,59
IEX,-0.00046200981282282704,30,0.002945260914919339,Idex Ord,,,60
EXPO,-0.00047332593933827895,27,0.0036014883324791136,Exponent Inc,,,61
ADMA,-0.0008892994379701963,6,0.0014601090446251033,Adma Biologics Inc,,,62
ODD,-0.0020230307467145074,30,0.0030866478548120502,Oddity Tech Ltd,,,63
DOCS,-0.003269144953740286,18,0.0030955394635439042,Doximity Inc,,,64
AMZN,-0.006043254990657329,21,0.032530326476338134,Amazon Com Inc,,,65
SJM,-0.00653221473151748,21,0.06326112427787087,Smucker J M Co,,,66
SABR,-0.006852171299126614,90,0.003936206807156767,Sabre,,,67
NKE,-0.010907919458399059,72,0.027651219220299724,Nike Inc Cl B,,,68
BF-A,-0.011096701102654628,69,0.027485492149625937,Brown Forman Corp Class B,,,69
ZTS,-0.01586556980227894,66,0.006845900964653193,Zoetis Inc,,,70
