ticker,contribution,months_held,avg_weight_when_held,name,share_of_gains,cum_share_of_gains,rank
MA,0.3149274868583947,155,0.12610910875197584,Mastercard Inc Cl A,0.20797516800091428,0.20797516800091428,1
BRK-B,0.30761380088185963,155,0.18996165486654631,Berkshire Hathaway Inc Cl A,0.20314527815913064,0.41112044616004495,2
GOOG,0.20025818251640007,114,0.0787365552801117,Alphabet Inc Cl C,0.13224863147983384,0.5433690776398787,3
PM,0.13474537798050093,155,0.09039964568589579,Philip Morris International In,0.0889845878567026,0.6323536654965813,4
NSRGY,0.10689688490360932,155,0.12250551939261294,Nestle Sa-Spons Adr,0.07059370338988222,0.7029473688864636,5
MLM,0.07944178381959727,155,0.042179353828124114,Martin Marietta Materials,0.05246261131725869,0.7554099802037223,6
NFLX,0.06569572945348243,48,0.05970514893257207,Netflix Inc,0.043384845528501435,0.7987948257322237,7
HKHHY,0.06335387357952335,155,0.08486761884690198,Heineken Holding Nv,0.0418383058038201,0.8406331315360438,8
JPM,0.05634007503009163,93,0.028520031531555873,J.P. Morgan Chase,0.03720645881518768,0.8778395903512315,9
UL,0.04967569034027836,131,0.06061141366167751,Unilever Nv Adr,0.03280536147270689,0.9106449518239383,10
BF-A,0.03584054806640866,155,0.02877812047087617,Brown-Forman Corp Cl A,0.02366876286256908,0.9343137146865075,11
MO,0.029335742325174434,155,0.01884042032529171,Altria Group Inc,0.019373049965794226,0.9536867646523017,12
DEO,0.01624577881663002,104,0.027906538161759434,Diageo Plc,0.01072856044545119,0.964415325097753,13
V,0.015631427826870145,155,0.007011746272636635,Visa Inc Cl A,0.010322848795504646,0.9747381738932576,14
WFC,0.010998048819974005,146,0.04406048893665581,Wells Fargo,0.007263008617741999,0.9820011825109995,15
DASH,0.006651473871079002,24,0.021607430642532007,Doordash Inc Cl A,0.004392571158494522,0.9863937536694941,16
CCZ,0.005407132246195742,78,0.020251655908150458,Comcast Corp Special Cl A,0.003570819583021559,0.9899645732525156,17
MKL,0.0019764201784821544,155,0.0012809512507841552,Markel Corp,0.00130520940792014,0.9912697826604357,18
AXP,0.0016587809266217404,155,0.001055166759687858,American Express,0.0010954434156647283,0.9923652260761004,19
VMC,0.001182459354321474,102,0.0008962187842442187,Vulcan Materials,0.000780885102543744,0.9931461111786442,20
CR,0.0011717110741743181,39,0.001152011766450176,Crane,0.0007737870388223937,0.9939198982174665,21
HAS,0.0008635227660525053,5,0.004479768914971512,Hasbro Inc,0.0005702623614531816,0.9944901605789197,22
DOV,0.0008104945013948108,155,0.0005385131352138498,Dover Corp,0.0005352429912451442,0.9950254035701649,23
PG,0.0008026039094274219,155,0.0006722234717464616,Procter & Gamble,0.0005300321180806108,0.9955554356882454,24
ABBV,0.0006252913645223529,122,0.00032449235233419894,Abbvie Inc,0.00041293657115592223,0.9959683722594014,25
KO,0.0005405057487487258,140,0.0005465580960806444,Coca-Cola,0.00035694494317678124,0.9963253172025781,26
HRL,0.0005161732895369545,146,0.0006197410169703073,Hormel Foods Corp,0.00034087601460237903,0.9966661932171805,27
MLKN,0.0004998091146788005,104,0.0007883736375210368,Herman Miller Inc,0.00033006926651801377,0.9969962624836985,28
PEP,0.0004887035276973624,155,0.00037764637274321393,Pepsico Inc,0.0003227352407038368,0.9973189977244024,29
COST,0.0004816821912703794,93,0.00034298239148527175,Costco Whsl Corp,0.00031809841577134265,0.9976370961401737,30
MSFT,0.0004670606862535135,98,0.0002640464317985206,Microsoft Corp,0.00030844251055759346,0.9979455386507313,31
UNP,0.0004170043644788513,72,0.0005804670376190805,Union Pac Corp,0.0002753857836442193,0.9982209244343755,32
MKC,0.00038950885334623916,155,0.00042078363378468265,Mccormick Inc,0.0002572280051533019,0.9984781524395288,33
