period,rebalance,n,priced_share
2013-06-30,2013-08-31,34,0.7360849888654152
2013-09-30,2013-11-30,33,0.7254253935699169
2013-12-31,2014-02-28,34,0.7423652907880349
2014-03-31,2014-05-31,34,0.746958632040703
2014-06-30,2014-08-31,33,0.7391622506492442
2014-09-30,2014-11-30,34,0.7543537916446864
2014-12-31,2015-02-28,35,0.7534247213411027
2015-03-31,2015-05-31,34,0.7562272881782997
2015-06-30,2015-08-31,34,0.7544527271400948
2015-09-30,2015-11-30,34,0.7508806783363902
2015-12-31,2016-02-29,34,0.7622992191926501
2016-03-31,2016-05-31,34,0.7674711260766601
2016-06-30,2016-08-31,34,0.7828518880304757
2016-09-30,2016-11-30,35,0.7770688078985353
2016-12-31,2017-02-28,36,0.7725157203222415
2017-03-31,2017-05-31,36,0.7612575753840162
2017-06-30,2017-08-31,34,0.7630325236227407
2017-09-30,2017-11-30,34,0.7603386338634005
2017-12-31,2018-02-28,35,0.7576742393934054
2018-03-31,2018-05-31,35,0.7599553378244222
2018-06-30,2018-08-31,37,0.7735614709304169
2018-09-30,2018-11-30,39,0.7842270991475326
2018-12-31,2019-02-28,38,0.7932452622088364
2019-03-31,2019-05-31,38,0.7985653621436557
2019-06-30,2019-08-31,39,0.7964323990232675
2019-09-30,2019-11-30,39,0.8109040208985199
2019-12-31,2020-02-29,40,0.8309812627071977
2020-03-31,2020-05-31,39,0.8493940910151031
2020-06-30,2020-08-31,42,0.8735290701565214
2020-09-30,2020-11-30,41,0.8794389476922964
2020-12-31,2021-02-28,40,0.8664508960612554
2021-03-31,2021-05-31,41,0.8615636724947112
2021-06-30,2021-08-31,41,0.8480301446213299
2021-09-30,2021-11-30,42,0.8485232721332906
2021-12-31,2022-02-28,43,0.8262458409150973
2022-03-31,2022-05-31,42,0.8373249271453972
2022-06-30,2022-08-31,43,0.8410054229241417
2022-09-30,2022-11-30,43,0.8282108926914
2022-12-31,2023-02-28,44,0.8162649586766043
2023-03-31,2023-05-31,45,0.8016535520954202
2023-06-30,2023-08-31,45,0.8097137723000288
2023-09-30,2023-11-30,45,0.8403556044938146
2023-12-31,2024-02-29,46,0.8376343616770859
2024-03-31,2024-05-31,46,0.8351574520828093
2024-06-30,2024-08-31,46,0.8354604919019218
2024-09-30,2024-11-30,45,0.8322625927222258
2024-12-31,2025-02-28,46,0.8518351973705736
2025-03-31,2025-05-31,38,0.8566928206446102
2025-06-30,2025-08-31,38,0.8514742018891294
2025-09-30,2025-11-30,37,0.8530712869341587
2025-12-31,2026-02-28,35,0.8433275120387418
2026-03-31,2026-05-31,34,0.8749930426647634
2026-06-30,2026-08-31,35,0.8548759055001941
