ticker,contribution,active,months_held,avg_weight_when_held,first_held,last_held,name,share_of_outperformance,cum_share_of_outperformance,rank
GOOG,0.1506103669422581,0.05745664214693992,117,0.06382528734642545,2016-12-31,2026-08-31,Alphabet Inc,0.23361040019627022,0.23361040019627022,1
HEI,0.09953591480983356,0.0344151198583255,117,0.044961903077314465,2016-12-31,2026-08-31,Heico Corp,0.13992690179048714,0.3735373019867574,2
ANET,0.028845630516808482,0.019198045613809188,72,0.010369605955088457,2020-09-30,2026-08-31,Arista Networks Inc,0.07805647791527047,0.45159377990202787,3
V,0.10151325985031076,0.0185829107252282,134,0.050419527318605335,2015-07-31,2026-08-31,Visa Inc,0.07555542839120347,0.5271492082932313,4
IBP,0.04118658691695011,0.01764753600329847,54,0.03292208391113028,2022-03-31,2026-08-31,Installed Bldg Prods Inc,0.07175233000329816,0.5989015382965295,5
UNP,0.04215060384982065,0.0162393498532613,62,0.04307867987188547,2015-07-31,2020-08-31,Union Pacific Corp,0.06602684870524864,0.6649283870017781,6
AME,0.12768854944968056,0.012616603304835411,132,0.06728190219981238,2015-09-30,2026-08-31,Ametek Inc,0.051297284996616524,0.7162256719983947,7
TSM,0.012196146337652671,0.011393718553381447,72,0.002398306097566383,2020-09-30,2026-08-31,Taiwan Semiconductor Mfg Ltd,0.04632521239532387,0.7625508843937185,8
ADP,0.009028483535889562,0.009354955101098045,3,0.03256377138728992,2026-06-30,2026-08-31,Automatic Data Proc Inc,0.0380358949518258,0.8005867793455443,9
PGR,0.06087119227844347,0.00933575721433847,81,0.04348684906538919,2019-12-31,2026-08-31,Progressive Corp Ohio,0.03795783911978889,0.8385446184653332,10
CACC,0.012856552437766981,0.006862428495158665,75,0.006425818919363807,2018-03-31,2026-02-28,Credit Accep Corp Mich,0.027901642128205804,0.866446260593539,11
COHR,0.00843470811841452,0.006204168086873018,21,0.003963228789628409,2022-12-31,2024-08-31,Coherent Corp,0.02522525047587601,0.891671511069415,12
KEYS,0.04476285390698399,0.005311652290268509,87,0.03405873851099884,2019-06-30,2026-08-31,Keysight Technologies Inc,0.02159641028202948,0.9132679213514445,13
MEDP,0.01956857794349957,0.004190908311694816,30,0.0346982949814513,2024-03-31,2026-08-31,Medpace Holdings Inc,0.01703962729630283,0.9303075486477473,14
ADI,0.013337420354612398,0.0037752787606853996,54,0.011537311519645242,2022-03-31,2026-08-31,Analog Devices Inc,0.01534973763139005,0.9456572862791374,15
ORLY,0.021710397557148136,0.003230875144132171,59,0.034462564210523475,2015-07-31,2020-05-31,O'Reilly Automotive,0.013136271233439922,0.9587935575125773,16
FAST,0.003927596922775757,0.0026720375626417855,104,0.003031374111915978,2015-07-31,2024-05-31,Fastenal Co,0.010864118420840558,0.9696576759334179,17
META,0.05951570394575364,0.002483111593151753,96,0.045697681144980906,2018-09-30,2026-08-31,Facebook Inc Cl-A,0.010095972742797565,0.9797536486762155,18
MBC,0.003008299589548893,0.0014549899416741023,15,0.005202642964168003,2023-03-31,2024-05-31,Masterbrand Inc,0.005915778748204095,0.9856694274244197,19
TWFG,0.0011876861398997353,0.0007635810023444969,12,0.0030171788010682574,2025-09-30,2026-08-31,Twfg Inc,0.0031046099610864126,0.9887740373855061,20
AAPL,0.0018645759264912334,0.0006811125783944391,93,0.0010473715133244718,2018-12-31,2026-08-31,Apple Inc,0.0027693052721479423,0.991543342657654,21
ODFL,0.001081896969989061,0.000421081223306113,87,0.0005454094245057419,2019-06-30,2026-08-31,Old Dominion Freight Line In,0.0017120553762976054,0.9932553980339516,22
BAC,0.025263757198156014,0.00041380278615603047,78,0.02255212201625387,2019-06-30,2025-11-30,Bank Amer Corp,0.0016824623031227795,0.9949378603370743,23
BFAM,0.001796432899023432,0.00022323548619713966,6,0.019629195026248086,2026-03-31,2026-08-31,Bright Horizonsfamily Solution,0.0009076432126881646,0.9958455035497625,24
J,0.0006387515242356675,0.0002019934096229335,24,0.0008615810885329975,2020-09-30,2025-05-31,Jacobs Engr Group Inc,0.0008212760004029544,0.9966667795501655,25
MSFT,0.0005411524818976403,0.00016994139762609094,63,0.000502678243573708,2020-09-30,2026-08-31,Microsoft Corp,0.0006909571535317953,0.9973577367036973,26
UNH,2.3020323836610136e-05,0.00011930711616860809,18,0.0007034653952784973,2020-09-30,2025-05-31,Unitedhealth Group Inc,0.0004850854855585367,0.9978428221892559,27
TJX,0.0008356092029507033,0.00011410572347652377,81,0.0005998265549351464,2017-12-31,2024-08-31,Tjx Companies Inc,0.00046393737486198275,0.9983067595641179,28
GBTC,0.00013272813159218532,0.00010142284618627303,9,0.00019315858325380162,2024-06-30,2025-05-31,Grayscale Bitcoin Tr Btc,0.0004123706294222049,0.9987191301935401,29
BOOT,0.00012385082936380897,6.448579107586375e-05,27,0.00038175928313225377,2022-03-31,2024-05-31,Boot Barn Hldgs Inc,0.000262189903504619,0.9989813200970447,30
GLD,0.00034720707257987623,6.100647574903932e-05,54,0.000434015552302455,2022-03-31,2026-08-31,Spdr Gold Tr,0.00024804351040650155,0.9992293636074512,31
BCPC,0.00017343045974144313,4.782697861257611e-05,36,0.00031280605068787886,2016-06-30,2019-05-31,Balchem Corp,0.00019445758047065788,0.9994238211879218,32
LLY,4.517698075278342e-05,2.9709614416155943e-05,21,7.053396891986494e-05,2020-12-31,2023-02-28,Eli Lilly & Co,0.0001207949969593674,0.9995446161848812,33
RSP,2.28175026334456e-05,2.731610298804849e-05,3,0.0004249840779321358,2026-06-30,2026-08-31,Invesco S&P500 Eq Wgt Etf,0.00011106332553372861,0.9996556795104149,34
LBRDA,-0.00015249871242022773,1.9737765945814424e-05,6,0.0018244656823574116,2020-12-31,2022-02-28,Liberty Broadband Co    Class                  A,8.025090275533263e-05,0.9997359304131702,35
VOO,8.871884913344951e-05,1.9392700684159297e-05,6,0.0008402051287342366,2023-03-31,2025-05-31,Vanguard 500 Indx Etf-New,7.884791728912786e-05,0.9998147783304594,36
DAL,7.041780693907247e-05,1.593645674822045e-05,3,0.0003439326964020163,2020-06-30,2020-08-31,Delta Air Lines Inc Del,6.479532913081328e-05,0.9998795736595902,37
IYF,3.753072169942682e-05,1.5825277117496554e-05,30,0.0001391363651505138,2021-06-30,2024-02-29,Ishares Tr,6.434328882604468e-05,0.9999439169484163,38
SPY,0.0015989866167776404,9.959001019694336e-06,102,0.0013141120290561057,2017-12-31,2026-08-31,Spdr S&P 500 Etf Tr,4.049185832711885e-05,0.9999844088067434,39
KNX,0.0002236222056477955,3.834664941504921e-06,57,0.0002650128717777201,2019-06-30,2024-05-31,Knight Swift Transn Hldgs In,1.5591193256866683e-05,1.0000000000000002,40
CAPE,-1.7651869737103042e-06,-1.9858367603988687e-06,3,0.0001192312630624611,2025-03-31,2025-05-31,Doubleline Shiller Enhanced Cape I,,,41
CHTR,3.1324632682639786e-05,-4.344046562834793e-06,3,0.0005223215732669571,2020-09-30,2020-11-30,Charter Communications Inc N,,,42
QQQM,-1.0341376898730802e-05,-6.513538730727094e-06,3,0.0003492891458645104,2026-06-30,2026-08-31,Invesco Exch Traded Fd Tr Ii,,,43
COST,9.880235758155689e-06,-9.84934679280595e-06,27,8.866809575363092e-05,2022-06-30,2026-05-31,Costco Whsl Corp New,,,44
BN,0.0006852440340880149,-1.2889539156790236e-05,104,0.0007053346396356895,2015-07-31,2024-02-29,Brookfield Asset Mgt,,,45
SLV,0.00015713409428591817,-3.3666520675185034e-05,54,0.00029695701473476466,2020-12-31,2025-05-31,Ishares Silver Tr,,,46
GIB,-1.1271945870326197e-05,-3.7353795672273754e-05,21,0.00010309943558353969,2021-09-30,2024-05-31,Cgi Inc,,,47
PMMF,5.021325904243439e-06,-4.0756213091242555e-05,3,0.0004671696776142143,2025-06-30,2025-08-31,Blackrock Ishs Prm Mm Etf,,,48
ITB,0.00024131033024042998,-5.250063744389104e-05,60,0.00038143104671555666,2021-09-30,2026-08-31,Ishares Us Home Construct,,,49
NVO,0.00031112660827804133,-7.93595008033218e-05,69,0.00042101741710272566,2020-12-31,2026-08-31,Novo-Nordisk A/S-Adr,,,50
ABNB,-1.746474645461312e-05,-9.204436617997141e-05,6,0.00047655705647501706,2024-06-30,2024-11-30,Airbnb Inc Cl-A,,,51
ROP,0.00023483097588912426,-0.0001004360598513741,60,0.0004007657799029839,2019-06-30,2024-05-31,Roper Technologies Inc,,,52
FERG,0.0012858032501834875,-0.00011274690460690248,30,0.002514433711689124,2023-12-31,2026-08-31,Ferguson Plc New F,,,53
COF,6.676032383190353e-05,-0.0001130468400797472,18,0.0007561422300405038,2024-12-31,2026-05-31,Capital One Fc,,,54
LEVI,-0.00010023199492371813,-0.0001236337443870853,21,0.00033874219209745806,2022-03-31,2023-11-30,Levi Strauss & Co New,,,55
YUMC,-1.5485608006901938e-06,-0.00014281274247792254,21,0.0005990601233000829,2024-12-31,2026-08-31,Yum China Hldgs Inc,,,56
RYAAY,-0.00016369006183979725,-0.00018570592677344036,12,0.0003514740227771247,2018-03-31,2019-02-28,Ryanair Hldgs Plc,,,57
BABA,-0.00015407124851352823,-0.00019371536214015953,30,0.0002920453650329093,2021-12-31,2024-05-31,Alibaba Group Hldg Ltd,,,58
BIRK,-9.686702645833758e-05,-0.00020532002521522283,18,0.0004114001857875089,2025-03-31,2026-08-31,Birkenstock Hldg Plc,,,59
CPRT,0.00017599953731409413,-0.00023076726562997482,48,0.000527983755743548,2022-09-30,2026-08-31,Copart Inc,,,60
SITE,-0.00011358721202125165,-0.00024050295572770544,54,0.0002516097321607988,2022-03-31,2026-08-31,Siteone Landscape Supply Inc,,,61
LUV,-8.977180524781929e-05,-0.00026783714806795714,39,0.0003139866468994374,2017-06-30,2020-08-31,Southwest Airlines Co,,,62
DFH,-0.00020356514675901616,-0.00028203750040711365,21,0.0002746286374094725,2024-09-30,2026-05-31,Dream Finders Homes,,,63
SUNB,-0.00041196059838529407,-0.00034536458013587724,3,0.006051177827777559,2026-06-30,2026-08-31,Sunbelt Rentals Hldgs In Gb Shrs,,,64
MA,0.0035778314777861293,-0.0003952933686641617,134,0.002317207990787267,2015-07-31,2026-08-31,Mastercard Inc,,,65
ISRG,-0.0011670864529458279,-0.0005398120429661319,24,0.0016121046931920383,2020-12-31,2026-05-31,Intuitive Surgical,,,66
