period,rebalance,n,priced_share
2015-03-31,2015-05-31,16,0.7498708180066562
2015-06-30,2015-08-31,17,0.7449425243704265
2015-09-30,2015-11-30,17,0.7690346039828971
2015-12-31,2016-02-29,17,0.7813095311557579
2016-03-31,2016-05-31,17,0.802028540359419
2016-06-30,2016-08-31,18,0.8248750077634929
2016-09-30,2016-11-30,20,0.8702422016573456
2016-12-31,2017-02-28,20,0.8536616721190572
2017-03-31,2017-05-31,22,0.901946293008525
2017-06-30,2017-08-31,23,0.9098297851704573
2017-09-30,2017-11-30,26,0.9129789372793791
2017-12-31,2018-02-28,30,0.9180614395153325
2018-03-31,2018-05-31,30,0.9188259914283076
2018-06-30,2018-08-31,31,0.9240855599574361
2018-09-30,2018-11-30,32,0.9414835976751059
2018-12-31,2019-02-28,32,0.9993462432713143
2019-03-31,2019-05-31,36,0.9993071384243365
2019-06-30,2019-08-31,36,0.9993757336140175
2019-09-30,2019-11-30,36,0.9993151654468571
2019-12-31,2020-02-29,36,0.9993230946880127
2020-03-31,2020-05-31,38,0.9995631641687637
2020-06-30,2020-08-31,44,0.9970924046529481
2020-09-30,2020-11-30,47,0.9956038756320461
2020-12-31,2021-02-28,47,0.995540014848721
2021-03-31,2021-05-31,47,0.9958784703921407
2021-06-30,2021-08-31,50,0.9961713204838917
2021-09-30,2021-11-30,53,0.9959024736808874
2021-12-31,2022-02-28,55,0.9935836107543485
2022-03-31,2022-05-31,55,0.9939002219948826
2022-06-30,2022-08-31,56,0.9970957569846485
2022-09-30,2022-11-30,57,0.9995386697702019
2022-12-31,2023-02-28,58,0.9999999999999999
2023-03-31,2023-05-31,58,0.9999999999999999
2023-06-30,2023-08-31,57,1.0
2023-09-30,2023-11-30,54,0.9976607999391591
2023-12-31,2024-02-29,55,0.9975527734261731
2024-03-31,2024-05-31,48,0.9974321549638315
2024-06-30,2024-08-31,47,0.9975645374791519
2024-09-30,2024-11-30,50,1.0000000000000002
2024-12-31,2025-02-28,57,0.9995901083581963
2025-03-31,2025-05-31,52,0.9999999999999999
2025-06-30,2025-08-31,53,1.0
2025-09-30,2025-11-30,50,1.0
2025-12-31,2026-02-28,48,1.0
2026-03-31,2026-05-31,49,1.0
2026-06-30,2026-08-31,49,0.9999999999999999
