period,rebalance,n,priced_share
2013-06-30,2013-08-31,42,0.7001990547763595
2013-09-30,2013-11-30,40,0.6632210600511019
2013-12-31,2014-02-28,36,0.6089337127552727
2014-03-31,2014-05-31,38,0.6370586913670945
2014-06-30,2014-08-31,42,0.6930688967915902
2014-09-30,2014-11-30,38,0.639822560751564
2014-12-31,2015-02-28,42,0.7072866644328916
2015-03-31,2015-05-31,44,0.7196389586904357
2015-06-30,2015-08-31,41,0.6869834205018308
2015-09-30,2015-11-30,39,0.6412165195703333
2015-12-31,2016-02-29,41,0.6792941306142151
2016-03-31,2016-05-31,50,0.8537758875537932
2016-06-30,2016-08-31,54,0.8962155492384603
2016-09-30,2016-11-30,50,0.8470430772055966
2016-12-31,2017-02-28,51,0.8521069001353261
2017-03-31,2017-05-31,53,0.8937107555001995
2017-06-30,2017-08-31,53,0.8775145016982516
2017-09-30,2017-11-30,50,0.8248354644622555
2017-12-31,2018-02-28,53,0.8710090079845865
2018-03-31,2018-05-31,54,0.8924148745694481
2018-06-30,2018-08-31,54,0.9101575659131173
2018-09-30,2018-11-30,56,0.944919998776272
2018-12-31,2019-02-28,57,0.948220455627217
2019-03-31,2019-05-31,57,0.9403318273193227
2019-06-30,2019-08-31,55,0.9229113132856449
2019-09-30,2019-11-30,56,0.9315700453233559
2019-12-31,2020-02-29,57,0.9584648488200385
2020-03-31,2020-05-31,58,0.9667292150633254
2020-06-30,2020-08-31,60,1.0
2020-09-30,2020-11-30,59,0.9889260548826071
2020-12-31,2021-02-28,58,0.9763372042725744
2021-03-31,2021-05-31,58,0.9659601523874639
2021-06-30,2021-08-31,55,0.9471387162451127
2021-09-30,2021-11-30,57,0.9711661791536322
2021-12-31,2022-02-28,59,0.992440190427226
2022-03-31,2022-05-31,58,0.9818193317742302
2022-06-30,2022-08-31,60,1.0
2022-09-30,2022-11-30,59,0.9933442173762436
2022-12-31,2023-02-28,60,1.0
2023-03-31,2023-05-31,60,1.0
2023-06-30,2023-08-31,60,1.0
2023-09-30,2023-11-30,60,1.0
2023-12-31,2024-02-29,58,0.9866248224177046
2024-03-31,2024-05-31,59,0.9921164397729036
2024-06-30,2024-08-31,57,0.9818882489036811
2024-09-30,2024-11-30,55,0.9694573282154265
2024-12-31,2025-02-28,57,0.983443980986254
2025-03-31,2025-05-31,56,0.9782325608468396
2025-06-30,2025-08-31,59,0.9948570199011386
2025-09-30,2025-11-30,58,0.9952388795370956
2025-12-31,2026-02-28,59,0.9999999999999999
2026-03-31,2026-05-31,59,0.9952599027455145
2026-06-30,2026-08-31,60,1.0000000000000002
