ticker,contribution,active,months_held,avg_weight_when_held,first_held,last_held,name,share_of_outperformance,cum_share_of_outperformance,rank
APPS,0.537332618276491,0.4156468431604373,62,0.1248249777870481,2020-04-30,2025-08-31,Digital Turbine Inc,0.33633176146853405,0.33633176146853405,1
KKR,0.363346260630523,0.13510527592797786,77,0.1605826888312047,2020-04-30,2026-08-31,Kkr & Co Inc,0.10932404800921215,0.4456558094777462,2
CVNA,0.1052663111802404,0.08787496937517258,3,0.10711095456914067,2020-06-30,2020-08-31,Carvana Co,0.07110638207719326,0.5167621915549394,3
ETSY,0.10027624064584344,0.07957894470000795,2,0.1141845413167201,2020-04-30,2020-05-31,Etsy Inc,0.06439343179717023,0.5811556233521097,4
CSSEQ,0.1144619262980171,0.07937192562602166,14,0.052919422753991585,2020-04-30,2021-05-31,Chicken Soup For The Soul En,0.06422591677580745,0.6453815401279172,5
QRHC,0.09010446898355427,0.07169588639103779,44,0.0149982253724041,2020-04-30,2026-08-31,Quest Resource Hldg Corp,0.058014644298977444,0.7033961844268946,6
CLBT,0.1777888379645958,0.06772270945342691,57,0.13193299141315792,2021-12-31,2026-08-31,Cellebrite Di Ltd,0.05479964189960396,0.7581958263264985,7
PAR,0.3429886466896473,0.06343792500123374,77,0.2164405564601997,2020-04-30,2026-08-31,Par Technology Corp,0.05133249394447596,0.8095283202709744,8
RICK,0.06361545576171443,0.05369551197544113,24,0.06199654973864673,2020-09-30,2022-08-31,Rci Hospitality Hldgs Inc,0.0434491598404466,0.852977480111421,9
PINS,0.06468860908028955,0.04723316512769803,6,0.05582647503262634,2020-06-30,2026-05-31,Pinterest Inc,0.038219979024358676,0.8911974591357797,10
APG,0.07590903225467459,0.03839578947855948,21,0.09709270532292479,2022-09-30,2024-05-31,Api Group Corp,0.03106898012290278,0.9222664392586826,11
ROKU,0.05898437038737046,0.02285705094945193,21,0.08115355595065961,2020-06-30,2022-02-28,Roku Inc,0.0184953941893355,0.9407618334480181,12
GOGO,0.024378682514676082,0.021705877426814894,3,0.031864883776792134,2020-09-30,2020-11-30,Gogo Inc,0.017563891340232892,0.958325724788251,13
BXC,0.02781878456749249,0.021631238592701302,9,0.02747929793724667,2020-09-30,2021-05-31,Bluelinx Hldgs Inc,0.01750349533106197,0.975829220119313,14
LE,0.02261211690257569,0.02017148167007553,3,0.028153756791283558,2020-09-30,2020-11-30,Lands End Inc New,0.016322293969421645,0.9921515140887346,15
DAIO,0.013275867646138886,0.004396264502398894,38,0.008391315923046564,2020-04-30,2024-02-29,Data I O Corp,0.003557355019782204,0.9957088691085167,16
EVI,0.010678281011337078,0.0018879736195072869,2,0.04477900903099987,2020-04-30,2020-05-31,Evi Industries Inc,0.0015277043564839703,0.9972365734650007,17
NRDY,0.0015177976265583733,0.001207559663064081,9,0.00451525231582831,2022-12-31,2023-08-31,Nerdy Inc,0.000977129202927505,0.9982137026679282,18
PESI,0.001155008880206835,0.0011372002003123742,27,0.0003360325781524753,2022-03-31,2026-08-31,Perma-Fix Environmental Svcs,0.0009201959615648922,0.9991338986294931,19
PRCH,0.0006166468993136416,0.0006595042290229584,3,0.0022987636062973475,2022-12-31,2023-02-28,Porch Group,0.0005336554882906227,0.9996675541177837,20
INFL,0.00029926882656474443,0.0003423731036420357,3,0.004194188986529199,2026-06-30,2026-08-31,Listed Fds Tr,0.0002770403551048437,0.9999445944728886,21
MAMA,8.980261226613926e-05,5.578053796741825e-05,12,0.00012221856405024914,2023-09-30,2024-08-31,Mamamancini S Hldgs Inc,4.513631439515751e-05,0.9999897307872838,22
