ticker,contribution,active,months_held,avg_weight_when_held,first_held,last_held,name,share_of_outperformance,cum_share_of_outperformance,rank
GRBK,0.7924578804533513,0.49652952469968376,111,0.20497818407994076,2015-03-31,2024-05-31,Green Brick Partners Inc,0.43357684227522514,0.43357684227522514,1
CC,0.16267730534656366,0.11975865332248167,69,0.04721004319617925,2016-03-31,2022-11-30,Chemours Co,0.1045750074461344,0.5381518497213595,2
AAPL,0.20347515952963047,0.10455069810179124,62,0.1599026436514318,2013-10-31,2018-11-30,Apple Inc,0.0912951985444621,0.6294470482658217,3
CNR,0.1331636336318943,0.09221358878947841,60,0.051893206288095,2018-03-31,2024-05-31,Consol Energy Inc New,0.0805222542735808,0.7099693025394025,4
TECK,0.09469853755019529,0.08000974876160241,45,0.05752086297772764,2020-09-30,2024-05-31,Teck Resources Ltd,0.06986568269081578,0.7798349852302182,5
KD,0.05732109866805308,0.03798076308014478,27,0.049102135051135275,2022-03-31,2024-05-31,Kyndryl Hldgs Inc,0.033165357756827704,0.8130003429870459,6
THC,0.04382508298381395,0.0304940967907337,15,0.042851560375480706,2023-03-31,2024-05-31,Tenet Healthcare Corp,0.02662789126700609,0.839628234254052,7
WFRD,0.03312832244483229,0.025208557705766143,24,0.021672155684558565,2022-06-30,2024-05-31,Weatherford Intl Plc,0.022012481241653423,0.8616407154957054,8
PPLI,0.03405173389235784,0.0209926237134224,56,0.024562532156273402,2013-10-31,2019-02-28,Iac Interactivecorp,0.018331066025213328,0.8799717815209187,9
TTWO,0.024721894125441173,0.018567756552647707,36,0.022746242768936782,2014-03-31,2017-02-28,Take-Two Interactive Softwar,0.016213636558875994,0.8961854180797947,10
GPOR,0.01403918666429017,0.010467127674173411,27,0.010854806463415724,2021-09-30,2024-05-31,Gulfport Energy Corp,0.009140048957621674,0.9053254670374163,11
CI,0.032871767970146556,0.010295236352488166,35,0.039672609465609875,2013-10-31,2017-08-31,Cigna Corporation,0.008989950941766765,0.9143154179791831,12
OPTU,0.028877503961721042,0.008689283662316138,21,0.05956602811138269,2018-12-31,2020-08-31,Altice Usa Inc,0.007587609567063344,0.9219030275462465,13
CNXC,0.01583877399437395,0.008676729032358752,27,0.02691076235608572,2021-03-31,2023-08-31,Concentrix Corp,0.007576646680584136,0.9294796742268306,14
INSW,0.008373633010875143,0.007830131963427413,6,0.013361235003027584,2022-06-30,2022-11-30,International Seaways Inc,0.006837385739255978,0.9363170599660866,15
REZI,0.01610761268911772,0.0072662171495249134,42,0.023922278889098644,2020-09-30,2024-02-29,Resideo Technologies Inc,0.006344967076998284,0.9426620270430849,16
HPE,0.007513253687594467,0.005814098433351168,6,0.018331211178744877,2017-09-30,2018-02-28,Hewlett Packard Enterprise C,0.005076955778076692,0.9477389828211615,17
AMAT,0.005454235567538308,0.005395316950057811,6,0.022670456866860044,2015-09-30,2016-02-29,Applied Matls Inc,0.004711269662554175,0.9524502524837157,18
FMC,0.005838678448224851,0.004478981267126368,12,0.008374090458381701,2016-09-30,2017-08-31,F M C Corp,0.003911111943615252,0.956361364427331,19
LRCX,0.007755315600076813,0.004427631701275863,18,0.02881753219361385,2014-06-30,2015-11-30,Lam Research Corp,0.003866272751772367,0.9602276371791033,20
GPK,0.010538883362418129,0.004033087227581953,33,0.01869896180321465,2021-09-30,2024-05-31,Graphic Packaging Hldg Co,0.0035217507474770296,0.9637493879265804,21
PVH,0.007770070382676204,0.003731072380581772,24,0.010710092299105564,2016-06-30,2021-02-28,Pvh Corp,0.0032580269663750414,0.9670074148929554,22
CFG,0.0051126025674541956,0.0037084176164714202,12,0.05212857230205787,2014-12-31,2015-11-30,Citizens Finl Group Inc,0.0032382444950478885,0.9702456593880032,23
APG,0.006655014899682307,0.0026044803585484272,15,0.012101052916897417,2020-09-30,2021-11-30,Api Group Corp,0.002274270337318357,0.9725199297253215,24
DOX,0.007159474827543479,0.00247818438789665,20,0.017637044789320953,2013-10-31,2015-05-31,Amdocs Ltd,0.0021639868487777674,0.9746839165740993,25
CCK,0.009147568325382487,0.0020423037103050623,12,0.017695415859102243,2020-06-30,2021-05-31,Crown Hldgs Inc,0.0017833694667333628,0.9764672860408327,26
APTV,0.007895636716633863,0.001970003010016975,8,0.03864510491873621,2013-10-31,2014-05-31,Delphi Automotive Plc,0.0017202354379076722,0.9781875214787403,27
DHT,0.004240682081700569,0.0017940210868156996,6,0.01685182818597886,2023-12-31,2024-05-31,Dht Holdings Inc,0.0015665654489875173,0.9797540869277278,28
SNX,0.006675412334520903,0.00176151476228653,15,0.018316240556510273,2020-12-31,2022-08-31,Synnex Corp,0.0015381804510322485,0.9812922673787601,29
HGV,0.00480846096926631,0.0015866738253906606,9,0.026475871062032117,2019-03-31,2019-11-30,Hilton Grand Vacations Inc,0.0013855067880398952,0.9826777741668,30
INGR,0.002286878875232159,0.0013533624057285982,3,0.012442186405945174,2020-12-31,2021-02-28,Ingredion Inc,0.0011817758444167326,0.9838595500112167,31
ACM,0.004161532865859377,0.0013242326464173587,27,0.029421087351626067,2014-12-31,2017-02-28,Aecom Technology Corp Delawa,0.0011563393125890564,0.9850158893238058,32
EXPE,0.0012474931685223624,0.0012958701587216074,6,0.004557880208572378,2021-09-30,2022-02-28,Expedia Group Inc,0.0011315727735566965,0.9861474620973625,33
FHN,0.0029296171360667965,0.0012157737333464839,9,0.00938326393749893,2023-09-30,2024-05-31,First Horizon Corporation,0.001061631403579385,0.9872090935009419,34
CARS,0.0018070084550491485,0.001214439375043013,9,0.003089910920298004,2017-09-30,2019-11-30,Cars Com Inc,0.0010604662223949778,0.9882695597233369,35
DHR,0.004239652812683666,0.0011885860079166297,3,0.018840977163827734,2020-06-30,2020-08-31,Danaher Corporation,0.0010378906841374711,0.9893074504074744,36
NVR,0.0011216129963327421,0.0008735334523841699,3,0.005350930205361215,2013-12-31,2014-02-28,Nvr Inc,0.0007627821852800797,0.9900702325927544,37
FIVE,0.0010254647659729448,0.0008551722550084903,6,0.0013015692474341665,2018-03-31,2018-08-31,Five Below Inc,0.0007467489192152786,0.9908169815119696,38
SYF,0.001089579627687865,0.000709068914743625,3,0.0110306187552318,2014-12-31,2015-02-28,Synchrony Finl,0.0006191693458631859,0.9914361508578328,39
HUM,0.003509028983622719,0.000695490323617566,9,0.01599679253921001,2016-03-31,2016-11-30,Humana Inc,0.0006073123215169621,0.9920434631793498,40
GRMN,0.0010077055361627332,0.0006640384981854104,6,0.006516980714601513,2015-12-31,2016-05-31,Garmin Ltd,0.0005798481275943276,0.9926233113069441,41
AA,0.0016991318392001842,0.0006218323336753811,9,0.008242533814427792,2017-03-31,2017-11-30,Alcoa Corp,0.0005429930875161462,0.9931663043944603,42
GEO,0.0007609710037216595,0.000619722149717642,3,0.001863452405692273,2016-12-31,2017-02-28,Geo Group Inc New,0.0005411504440246646,0.993707454838485,43
FCNCA,0.005471627918879814,0.0005960962778525166,12,0.017302801742258823,2023-06-30,2024-05-31,First Ctzns Bancshares Inc N,0.0005205199872044467,0.9942279748256895,44
SDRL,0.0023009107384306367,0.00047185469368593884,9,0.010319824225622342,2023-09-30,2024-05-31,Seadrill Ltd,0.00041203041898632797,0.9946400052446758,45
BAX,0.001448879827292892,0.00045294454667448524,6,0.008116332826758381,2016-03-31,2016-08-31,Baxter Intl Inc,0.00039551780207166344,0.9950355230467475,46
CLPR,0.0007441762730224012,0.000385837486192521,18,0.0021495754415062135,2017-06-30,2018-11-30,Clipper Rlty Inc,0.0003369189354770923,0.9953724419822245,47
