period,rebalance,n,priced_share
2013-06-30,2013-08-31,12,0.7155259231909898
2013-09-30,2013-11-30,14,0.7438290432469398
2013-12-31,2014-02-28,17,0.7766011603870299
2014-03-31,2014-05-31,18,0.7064781864536989
2014-06-30,2014-08-31,20,0.7082887109660528
2014-09-30,2014-11-30,25,0.7275903229757976
2014-12-31,2015-02-28,24,0.7213481903613084
2015-03-31,2015-05-31,25,0.7201967543065484
2015-06-30,2015-08-31,24,0.7060055270402594
2015-09-30,2015-11-30,21,0.751490922749257
2015-12-31,2016-02-29,27,0.71340281932861
2016-03-31,2016-05-31,27,0.7638506798278597
2016-06-30,2016-08-31,27,0.7475176974519449
2016-09-30,2016-11-30,22,0.7703163785348727
2016-12-31,2017-02-28,19,0.7613226179110101
2017-03-31,2017-05-31,23,0.8479889339487443
2017-06-30,2017-08-31,23,0.8884878726560315
2017-09-30,2017-11-30,25,0.8871157610066729
2017-12-31,2018-02-28,31,0.8959270739199022
2018-03-31,2018-05-31,26,0.8676422078690326
2018-06-30,2018-08-31,22,0.8387555643422915
2018-09-30,2018-11-30,14,0.7965924138117404
2018-12-31,2019-02-28,14,0.8239810225559775
2019-03-31,2019-05-31,12,0.8395332978156633
2019-06-30,2019-08-31,17,0.882444468053084
2019-09-30,2019-11-30,14,0.8996999148883513
2019-12-31,2020-02-29,13,0.9267764947517292
2020-03-31,2020-05-31,16,0.8525537171090428
2020-06-30,2020-08-31,16,0.8228074085728272
2020-09-30,2020-11-30,22,0.804919056222976
2020-12-31,2021-02-28,23,0.8250764167976102
2021-03-31,2021-05-31,22,0.7214750805033601
2021-06-30,2021-08-31,33,0.7543871112859185
2021-09-30,2021-11-30,37,0.7644402244211942
2021-12-31,2022-02-28,38,0.8308852180350786
2022-03-31,2022-05-31,37,0.7908541626026903
2022-06-30,2022-08-31,33,0.8249532901391848
2022-09-30,2022-11-30,28,0.7588786476243351
2022-12-31,2023-02-28,30,0.8825411661073359
2023-03-31,2023-05-31,26,0.8653529714198196
2023-06-30,2023-08-31,30,0.8803269015955272
2023-09-30,2023-11-30,30,0.8922876169695974
2023-12-31,2024-02-29,33,0.9023641946824316
