ticker,contribution,active,months_held,avg_weight_when_held,first_held,last_held,name,share_of_outperformance,cum_share_of_outperformance,rank
GOOG,0.17203883158035382,0.06153596508113597,126,0.0663565181053378,2016-03-31,2026-08-31,Alphabet Inc,0.10709131808655493,0.10709131808655493,1
PTON,0.03242073953309954,0.042890896435128834,9,0.20559681494962112,2022-06-30,2023-02-28,Peloton Interactive Inc,0.07464322087247054,0.18173453895902547,2
AMZN,0.04591508323603023,0.028942104055661576,69,0.02330202978794231,2014-09-30,2026-08-31,Amazon Com Inc,0.05036807446559687,0.23210261342462235,3
MA,0.06723223047629968,0.028666613321554107,116,0.030030896295058875,2013-10-31,2023-05-31,Mastercard Inc,0.04988863669619971,0.28199125012082205,4
HCA,0.048336513584758906,0.02569069104927164,90,0.024469477414918176,2016-12-31,2024-05-31,Hca Holdings Inc,0.04470962571877113,0.3267008758395932,5
WBD,0.03286741061377971,0.019458200295052793,45,0.018569442343880953,2022-12-31,2026-08-31,Warner Bros Discovery Inc,0.033863193897127844,0.360564069736721,6
KKR,0.0299595360380821,0.01852081689762114,27,0.02373254057232137,2022-06-30,2024-08-31,Kkr & Co Inc,0.032231861334925414,0.3927959310716464,7
AAPL,0.027923559654416927,0.016922724535543048,76,0.014309465539390956,2014-05-31,2020-08-31,Apple Inc,0.02945069397607525,0.42224662504772165,8
PINS,0.02056742685670563,0.01505740937199804,27,0.010093977752695662,2020-06-30,2023-11-30,Pinterest Inc,0.026204477568361684,0.44845110261608334,9
JPM,0.03336046422425985,0.012524217770322407,56,0.03594159667439477,2013-10-31,2018-05-31,Jpmorgan Chase & Co,0.02179595277750897,0.4702470553935923,10
UNH,0.02492100104360789,0.012514079819976116,71,0.01632981976853146,2013-10-31,2020-08-31,Unitedhealth Group Inc,0.02177830965671207,0.49202536505030436,11
CRM,0.02661301018207194,0.011310343733034339,48,0.021450556286409964,2022-06-30,2026-08-31,Salesforce Com Inc,0.019683442305416327,0.5117088073557207,12
BAC,0.08571930018221663,0.011298429037296272,155,0.040157416612130986,2013-10-31,2026-08-31,Bank Of America Corporation,0.01966270710658573,0.5313715144623063,13
V,0.029799854442881375,0.010686023310593163,134,0.013623305104378708,2013-10-31,2025-11-30,Visa Inc,0.018596934653193346,0.5499684491154997,14
CBRE,0.040525392515455866,0.010438285383426608,148,0.0161907624622695,2014-05-31,2026-08-31,Cbre Group Inc,0.018165795219119037,0.5681342443346187,15
INTC,0.03151204016787679,0.009726586334856896,83,0.02532426947285376,2013-10-31,2020-08-31,Intel Corp,0.016927222149016298,0.585061466483635,16
AMAT,0.01873255380324828,0.009455107338546263,38,0.021542460875319202,2013-10-31,2016-11-30,Applied Matls Inc,0.016454766025034373,0.6015162325086694,17
PSX,0.020686380791128618,0.009391543199498502,30,0.023816986122282936,2024-03-31,2026-08-31,Phillips 66,0.01634414506662921,0.6178603775752985,18
REGN,0.024260624451379803,0.008885311458182329,54,0.019060227608427946,2018-06-30,2022-11-30,Regeneron Pharmaceuticals,0.015463147679762517,0.6333235252550611,19
CAT,0.0241668949035886,0.008736690892238434,75,0.015117792978089411,2015-06-30,2021-08-31,Caterpillar Inc Del,0.015204502637294816,0.6485280278923559,20
PH,0.022672961136456057,0.008414035141641938,104,0.010290417803140994,2013-10-31,2024-02-29,Parker Hannifin Corp,0.014642983376582383,0.6631710112689383,21
TRGP,0.011010848239138903,0.008333070192189432,9,0.02360584107946495,2025-12-31,2026-08-31,Targa Res Corp,0.014502079709202701,0.677673090978141,22
GD,0.010827203603200145,0.008132302341697067,34,0.011843529419185863,2013-10-31,2022-08-31,General Dynamics Corp,0.01415268251180305,0.691825773489944,23
CMI,0.018730210950218644,0.00812571827210718,56,0.012113098998135912,2013-10-31,2021-02-28,Cummins Inc,0.01414122422574505,0.705966997715689,24
FDX,0.020924580219961506,0.007405623729641814,65,0.018124620272635398,2013-10-31,2019-02-28,Fedex Corp,0.012888040439679904,0.718855038155369,25
MPC,0.00914395457481804,0.006570659029504268,15,0.010285818574960543,2025-06-30,2026-08-31,Marathon Pete Corp,0.011434947599166606,0.7302899857545356,26
TXN,0.016730184892148836,0.0065052201995353925,83,0.0098540547827378,2013-10-31,2020-08-31,Texas Instrs Inc,0.011321064107680467,0.7416110498622162,27
COF,0.049490702274672047,0.006254256349187128,155,0.020603116148858663,2013-10-31,2026-08-31,Capital One Finl Corp,0.010884310584916403,0.7524953604471326,28
ABNB,0.013501091721923486,0.00601157866846892,18,0.028089770950904487,2025-03-31,2026-08-31,Airbnb Inc,0.010461977520601339,0.7629573379677339,29
MRK,0.009754457953846033,0.005965698229659368,21,0.013560127003770829,2024-12-31,2026-08-31,Merck & Co Inc,0.01038213158562614,0.7733394695533601,30
EOG,0.020190165382560632,0.005946473086116773,78,0.013695188855971749,2020-03-31,2026-08-31,Eog Res Inc,0.010348673981448404,0.7836881435348085,31
HUM,0.008283004979394359,0.005909159185274472,33,0.0179285254827986,2020-03-31,2022-11-30,Humana Inc,0.010283736431206293,0.7939718799660148,32
ORCL,0.0521656267647813,0.005866813846141772,140,0.0292399642438105,2013-10-31,2025-05-31,Oracle Corp,0.010210042646172389,0.8041819226121872,33
HLT,0.021542021496739054,0.0056662927513639536,69,0.0189040998890199,2018-09-30,2024-05-31,Hilton Worldwide Hldgs Inc,0.009861074878857751,0.814042997491045,34
IT,0.007324945175106734,0.005577648767761653,48,0.006544917203478221,2019-03-31,2026-08-31,Gartner Inc,0.009706807353648766,0.8237498048446938,35
MCO,0.018165677061914992,0.005463709781648275,72,0.011208647206429919,2017-06-30,2024-08-31,Moodys Corp,0.009508518821271985,0.8332583236659659,36
DAL,0.009644466524520539,0.004924277368393004,27,0.011598454638811255,2024-06-30,2026-08-31,Delta Air Lines Inc Del,0.008569742155009424,0.8418280658209752,37
GS,0.019292708570364477,0.004790737959319024,131,0.009863796688780365,2013-10-31,2025-02-28,Goldman Sachs Group Inc,0.008337342917988013,0.8501654087389633,38
MSFT,0.007913941736029512,0.004526637420797597,26,0.018050082902319995,2014-12-31,2017-05-31,Microsoft Corp,0.007877727557436875,0.8580431362964002,39
RGA,0.012115212966913496,0.00426747779234612,72,0.00847553129360837,2020-09-30,2026-08-31,Reinsurance Grp Of America I,0.00742671088500642,0.8654698471814066,40
AON,0.01313411648796449,0.004166808937491113,60,0.017262811162436845,2014-03-31,2019-02-28,Aon Plc,0.007251516422020877,0.8727213636034276,41
BRK-B,0.009897720970418647,0.0039473769965183494,39,0.013823543923903241,2020-06-30,2023-08-31,Berkshire Hathaway Inc Del,0.006869638023622797,0.8795910016270504,42
SCHW,0.031075730964548794,0.0037873885982856043,90,0.021089971641655846,2019-03-31,2026-08-31,Schwab Charles Corp New,0.006591209491256226,0.8861822111183066,43
AXP,0.008524641905390911,0.0035252095148608853,48,0.00823561733303796,2015-12-31,2024-08-31,American Express Co,0.006134938047692157,0.8923171491659988,44
TEL,0.06010339058596613,0.003482307963696814,155,0.030484491065178237,2013-10-31,2026-08-31,Te Connectivity Ltd,0.006060276284346764,0.8983774254503456,45
HWM,0.008866394125349853,0.0031415069583071707,66,0.007751595239459526,2017-09-30,2023-02-28,Arconic Inc,0.005467178754726834,0.9038446042050724,46
ADP,0.009401320868638981,0.0028972982407825297,75,0.008490505280671945,2014-12-31,2022-02-28,Automatic Data Processing In,0.005042181220139404,0.9088867854252118,47
ROP,0.002682311440010441,0.002777117556586592,3,0.009405127380246946,2026-06-30,2026-08-31,Roper Technologies Inc,0.004833030232385863,0.9137198156575977,48
ADBE,0.0032565763520346624,0.0027272428298365714,6,0.007471633388647665,2023-06-30,2026-08-31,Adobe Systems Incorporated,0.004746233020059314,0.918466048677657,49
