period,rebalance,n,priced_share
2013-06-30,2013-08-31,41,0.7673792978307701
2013-09-30,2013-11-30,40,0.7580823305783739
2013-12-31,2014-02-28,40,0.7658198686408157
2014-03-31,2014-04-30,44,0.8152871422607753
2014-06-30,2014-08-31,46,0.834290184140036
2014-09-30,2014-11-30,47,0.8478989200586768
2014-12-31,2015-01-31,46,0.8383827615670563
2015-03-31,2015-05-31,48,0.8491799844494372
2015-06-30,2015-08-31,45,0.8258181185212762
2015-09-30,2015-11-30,47,0.8412221898699062
2015-12-31,2016-02-29,47,0.8769976988472388
2016-03-31,2016-05-31,48,0.8929650264437907
2016-06-30,2016-08-31,50,0.9034147171182842
2016-09-30,2016-11-30,50,0.9044093509487403
2016-12-31,2017-02-28,50,0.9048556681691384
2017-03-31,2017-05-31,51,0.9130563344540146
2017-06-30,2017-08-31,50,0.9128914007041766
2017-09-30,2017-11-30,50,0.9145287182478745
2017-12-31,2018-02-28,49,0.8979395898031862
2018-03-31,2018-05-31,49,0.8858888987580444
2018-06-30,2018-08-31,48,0.8818562468673488
2018-09-30,2018-11-30,49,0.890164431105154
2018-12-31,2019-02-28,50,0.8986195642549892
2019-03-31,2019-05-31,49,0.8949085613978414
2019-06-30,2019-08-31,50,0.914987952379097
2019-09-30,2019-11-30,49,0.9125929002464497
2019-12-31,2020-02-29,52,0.9420723852587645
2020-03-31,2020-05-31,55,0.98135537652921
2020-06-30,2020-08-31,54,0.9690543255632983
2020-09-30,2020-11-30,57,0.9860206083914691
2020-12-31,2021-02-28,55,0.9264647605815178
2021-03-31,2021-05-31,54,0.9317498676731494
2021-06-30,2021-08-31,54,0.93685869836449
2021-09-30,2021-11-30,56,0.9500833184154741
2021-12-31,2022-02-28,56,0.9537308288396155
2022-03-31,2022-05-31,58,0.9712102555695036
2022-06-30,2022-08-31,57,0.966267323439465
2022-09-30,2022-11-30,58,0.9726451262845182
2022-12-31,2023-02-28,56,0.9458205607304768
2023-03-31,2023-05-31,56,0.9474402605770318
2023-06-30,2023-08-31,56,0.9458438790848798
2023-09-30,2023-11-30,56,0.9450077241622171
2023-12-31,2024-02-29,57,0.9441567647798472
2024-03-31,2024-05-31,58,0.9582296171897785
2024-06-30,2024-08-31,56,0.9574888280154137
2024-09-30,2024-11-30,56,0.9639272722126708
2024-12-31,2025-02-28,57,0.9747220128847915
2025-03-31,2025-05-31,58,0.9712047469483489
2025-06-30,2025-08-31,58,0.9710394568983978
2025-09-30,2025-11-30,57,0.9782641985398713
2025-12-31,2026-02-28,59,0.9908522988361098
2026-03-31,2026-05-31,58,0.9822775881703262
2026-06-30,2026-08-31,58,0.9904843422724355
