statement_id,account_id,custodian,period_start,period_end,ending_value,beginning_value,stated_deposits,stated_withdrawals,stated_income,stated_fees,stated_pnl,stated_return_pct,source_file,source_pages,notes
HIGHFIELDS_2013-09,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2013-09-01,2013-09-30,1000000.0,,,,,,,,hedge13f,,notional $1m invested at the first rebalance
HIGHFIELDS_2013-10,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2013-10-01,2013-10-31,1050577.27,,,,,,,,hedge13f,,priced coverage 61%
HIGHFIELDS_2013-11,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2013-11-01,2013-11-30,1091977.4,,,,,,,,hedge13f,,priced coverage 61%
HIGHFIELDS_2013-12,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2013-12-01,2013-12-31,1124569.68,,,,,,,,hedge13f,,priced coverage 63%
HIGHFIELDS_2014-01,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2014-01-01,2014-01-31,1073493.97,,,,,,,,hedge13f,,priced coverage 63%
HIGHFIELDS_2014-02,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2014-02-01,2014-02-28,1132174.52,,,,,,,,hedge13f,,priced coverage 63%
HIGHFIELDS_2014-03,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2014-03-01,2014-03-31,1144613.33,,,,,,,,hedge13f,,priced coverage 74%
HIGHFIELDS_2014-04,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2014-04-01,2014-04-30,1145486.11,,,,,,,,hedge13f,,priced coverage 74%
HIGHFIELDS_2014-05,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2014-05-01,2014-05-31,1178609.91,,,,,,,,hedge13f,,priced coverage 74%
HIGHFIELDS_2014-06,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2014-06-01,2014-06-30,1223982.64,,,,,,,,hedge13f,,priced coverage 72%
HIGHFIELDS_2014-07,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2014-07-01,2014-07-31,1196389.12,,,,,,,,hedge13f,,priced coverage 72%
