ticker,contribution,active,months_held,avg_weight_when_held,first_held,last_held,name,share_of_outperformance,cum_share_of_outperformance,rank
GOOG,0.4739559861993302,0.21171554893618813,65,0.29004612813883374,2021-04-30,2026-08-31,Alphabet Inc,0.7560844718226435,0.7560844718226435,1
EWBC,0.10257650286198981,0.042836991319286574,39,0.0918093919273104,2023-06-30,2026-08-31,East West Bancorp Inc,0.1529806578631404,0.9090651296857839,2
AAPL,0.043823098828197925,0.012232405572103163,65,0.04517039198692246,2021-04-30,2026-08-31,Apple Inc,0.043684707866646036,0.9527498375524299,3
HRB,0.00578312068645825,0.005953912493022877,3,0.017047620353306554,2026-06-30,2026-08-31,Block H & R Inc,0.0212627783135676,0.9740126158659975,4
CROX,0.0049001876698302445,0.0036124288022772776,6,0.019366332894867763,2026-03-31,2026-08-31,Crocs Inc,0.012900806467407572,0.9869134223334051,5
MCO,0.0018712713016488794,0.0020411773597438752,3,0.016426053374752572,2026-06-30,2026-08-31,Moodys Corp,0.007289509503165699,0.9942029318365707,6
SPGI,0.0014541822890408733,0.0016232703013756087,3,0.016149254865647184,2026-06-30,2026-08-31,S&P Global Inc,0.005797068163429424,1.0000000000000002,7
MSCI,-0.0002945106717282299,-0.0002617532909849702,3,0.0029842202570411753,2026-06-30,2026-08-31,Msci Inc,,,8
TME,-0.00185559516876389,-0.0016583375777147918,3,0.01874567946162976,2026-06-30,2026-08-31,Tencent Music Entmt Group,,,9
BRK-B,0.09622401974643073,-0.00196136383588282,57,0.14690423504981845,2021-12-31,2026-08-31,Berkshire Hathaway Inc,,,10
SOC,-0.0004070578798571721,-0.0019873279243162395,15,0.011356875489331796,2024-12-31,2026-02-28,Sable Offshore Corp,,,11
OXY,0.0026945930855302854,-0.005949789290304514,24,0.026473317752250324,2024-09-30,2026-08-31,Occidental Pete Corp,,,12
BAC,0.17035269229033353,-0.008713860398391398,65,0.2398261376529924,2021-04-30,2026-08-31,Bk Of America Corp,,,13
META,-0.03641870968803147,-0.037235307608769315,17,0.10219652335974698,2021-04-30,2022-08-31,Facebook Inc,,,14
PDD,-0.0660005075864369,-0.09409773801939292,23,0.09419649865889834,2021-04-30,2026-08-31,Pinduoduo Inc,,,15
MU,-0.0615941861487525,-0.10678516902301877,29,0.3664927570484792,2021-04-30,2023-08-31,Micron Technology Inc,,,16
