ticker,contribution,active,months_held,avg_weight_when_held,first_held,last_held,name,share_of_outperformance,cum_share_of_outperformance,rank
TSLA,0.09670908642469041,0.07700783160707708,43,0.07622948736929502,2020-03-31,2023-09-30,Tesla Inc,0.11708444912112911,0.11708444912112911,1
AMZN,0.1434065707660344,0.05262033341000576,90,0.08837964726869836,2016-04-30,2023-09-30,Amazon Com Inc,0.08000514520804228,0.1970895943291714,2
NOW,0.04807643970441436,0.03962936510156634,27,0.0335428017920136,2017-12-31,2020-05-31,Servicenow Inc,0.06025338313136681,0.2573429774605382,3
MSFT,0.058528993318586464,0.027461247179638153,57,0.056520319517116994,2016-04-30,2023-09-30,Microsoft Corp,0.041752701395524124,0.2990956788560623,4
CRWD,0.03282865414825438,0.019932412088622502,39,0.022426156705893662,2019-09-30,2023-05-31,Crowdstrike Hldgs Inc,0.030305690218100163,0.32940136907416245,5
SE,0.03479226299717491,0.019892406770394586,36,0.02986061633480603,2019-06-30,2022-05-31,Sea Ltd,0.030244865227331295,0.35964623430149373,6
VEEV,0.02059606658816498,0.01734657804151037,9,0.030177715005759016,2018-06-30,2019-02-28,Veeva Sys Inc,0.026374129640345106,0.3860203639418388,7
ALGN,0.028975592193227283,0.01612391792432081,51,0.02709317444506861,2017-06-30,2023-02-28,Align Technology Inc,0.02451516954114451,0.41053553348298333,8
W,0.017878956931661034,0.015756574280767738,20,0.02376326419799694,2016-04-30,2019-02-28,Wayfair Inc,0.02395665195603688,0.4344921854390202,9
ADBE,0.02507618482724437,0.01549576941984133,27,0.026587754376621715,2017-03-31,2020-08-31,Adobe Sys Inc,0.023560118345981627,0.45805230378500184,10
LULU,0.015875518608958524,0.01374818993692935,15,0.03196463351697582,2018-09-30,2020-05-31,Lululemon Athletica Inc,0.02090305896926581,0.47895536275426764,11
ILMN,0.028250536395526157,0.013462435106574829,42,0.03349076717126774,2017-12-31,2021-05-31,Illumina Inc,0.02046859086131449,0.4994239536155821,12
HUBS,0.02232131689729476,0.012258866482946985,30,0.02667210823945424,2017-06-30,2022-05-31,Hubspot Inc,0.018638657900781796,0.5180626115163639,13
V,0.0293040754972972,0.011931270085984578,30,0.0398553306419476,2016-09-30,2019-02-28,Visa Inc,0.01814057292848808,0.5362031844448519,14
CHTR,0.0304322927493618,0.01173835808721736,27,0.03296398449823091,2016-09-30,2021-11-30,Charter Communications Inc N,0.017847265161821398,0.5540504496066734,15
WDAY,0.022725885776516935,0.011687207543347417,28,0.024891215142593633,2017-12-31,2023-09-30,Workday Inc,0.01776949471787725,0.5718199443245506,16
ZM,0.02010131718172444,0.011469935818562125,15,0.015809719925481115,2020-03-31,2021-05-31,Zoom Video Communications In,0.017439149872746647,0.5892590941972973,17
SNPS,0.021216381758492886,0.011302653607085687,27,0.016749979224692485,2018-12-31,2021-02-28,Synopsys Inc,0.017184810214432168,0.6064439044117295,18
CHGG,0.014189935850710444,0.009948616899827498,33,0.01724328621545495,2018-06-30,2022-02-28,Chegg Inc,0.015126102175904006,0.6215700065876335,19
TW,0.011754653678050925,0.009929220780708656,4,0.06621074866104486,2023-06-30,2023-09-30,Tradeweb Markets Inc,0.015096611877648308,0.6366666184652818,20
