period,rebalance,n,priced_share
2014-12-31,2015-02-28,17,0.5024374002118276
2015-03-31,2015-05-31,18,0.5584493018865752
2015-06-30,2015-08-31,14,0.40546831277760853
2015-09-30,2015-11-30,10,0.4560986234971884
2015-12-31,2016-02-29,22,0.71580319175123
2016-03-31,2016-05-31,19,0.7532363824240104
2016-06-30,2016-08-31,22,0.7868543226152952
2016-09-30,2016-11-30,24,0.9193365219892747
2016-12-31,2017-02-28,29,0.8401295578325128
2017-03-31,2017-05-31,33,0.8873640864400516
2017-06-30,2017-08-31,32,0.9644012905066681
2017-09-30,2017-11-30,37,0.9904316133990735
2017-12-31,2018-02-28,39,0.9149582950927395
2018-03-31,2018-05-31,28,0.9079816340271561
2018-06-30,2018-08-31,30,0.8329867703897604
2018-09-30,2018-11-30,47,0.8583615835200632
2018-12-31,2019-02-28,19,1.0
2019-03-31,2019-05-31,41,0.935784457955755
2019-06-30,2019-08-31,45,0.8629655916225596
2019-09-30,2019-11-30,36,0.880992819360244
2019-12-31,2020-02-29,42,0.9383160359762028
2020-03-31,2020-05-31,32,0.9198862970006979
2020-06-30,2020-08-31,36,0.9043991862127826
2020-09-30,2020-11-30,39,0.9040151383811817
2020-12-31,2021-02-28,52,0.9435434316866782
2021-03-31,2021-05-31,59,0.9945563596991109
2021-06-30,2021-08-31,57,0.9763879102842411
2021-09-30,2021-11-30,58,0.9916427671213615
2021-12-31,2022-02-28,51,0.9968246506741181
2022-03-31,2022-05-31,18,1.0
2022-06-30,2022-08-31,14,0.9936117711751522
2022-09-30,2022-11-30,17,0.9913226646260823
2022-12-31,2023-02-28,18,0.9894422094480195
2023-03-31,2023-05-31,19,0.9999999999999999
