statement_id,account_id,custodian,period_start,period_end,ending_value,beginning_value,stated_deposits,stated_withdrawals,stated_income,stated_fees,stated_pnl,stated_return_pct,source_file,source_pages,notes
HITCHWOOD_2016-03,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2016-03-01,2016-03-31,1000000.0,,,,,,,,hedge13f,,notional $1m invested at the first rebalance
HITCHWOOD_2016-04,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2016-04-01,2016-04-30,991820.7,,,,,,,,hedge13f,,priced coverage 65%
HITCHWOOD_2016-05,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2016-05-01,2016-05-31,1006529.81,,,,,,,,hedge13f,,priced coverage 65%
HITCHWOOD_2016-06,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2016-06-01,2016-06-30,1000109.79,,,,,,,,hedge13f,,priced coverage 68%
HITCHWOOD_2016-07,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2016-07-01,2016-07-31,1072220.52,,,,,,,,hedge13f,,priced coverage 68%
HITCHWOOD_2016-08,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2016-08-01,2016-08-31,1082616.13,,,,,,,,hedge13f,,priced coverage 68%
HITCHWOOD_2016-09,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2016-09-01,2016-09-30,1078431.68,,,,,,,,hedge13f,,priced coverage 76%
HITCHWOOD_2016-10,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2016-10-01,2016-10-31,1015287.1,,,,,,,,hedge13f,,priced coverage 76%
HITCHWOOD_2016-11,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2016-11-01,2016-11-30,1023683.0,,,,,,,,hedge13f,,priced coverage 76%
HITCHWOOD_2016-12,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2016-12-01,2016-12-31,1026495.8,,,,,,,,hedge13f,,priced coverage 87%
HITCHWOOD_2017-01,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-01-01,2017-01-31,1096996.04,,,,,,,,hedge13f,,priced coverage 87%
HITCHWOOD_2017-02,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-02-01,2017-02-28,1137365.08,,,,,,,,hedge13f,,priced coverage 87%
HITCHWOOD_2017-03,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-03-01,2017-03-31,1150973.01,,,,,,,,hedge13f,,priced coverage 74%
HITCHWOOD_2017-04,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-04-01,2017-04-30,1173594.21,,,,,,,,hedge13f,,priced coverage 74%
HITCHWOOD_2017-05,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-05-01,2017-05-31,1227926.12,,,,,,,,hedge13f,,priced coverage 74%
HITCHWOOD_2017-06,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-06-01,2017-06-30,1236282.31,,,,,,,,hedge13f,,priced coverage 84%
HITCHWOOD_2017-07,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-07-01,2017-07-31,1273447.91,,,,,,,,hedge13f,,priced coverage 84%
HITCHWOOD_2017-08,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-08-01,2017-08-31,1264513.57,,,,,,,,hedge13f,,priced coverage 84%
HITCHWOOD_2017-09,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-09-01,2017-09-30,1283826.34,,,,,,,,hedge13f,,priced coverage 88%
HITCHWOOD_2017-10,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-10-01,2017-10-31,1346634.34,,,,,,,,hedge13f,,priced coverage 88%
HITCHWOOD_2017-11,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-11-01,2017-11-30,1421526.97,,,,,,,,hedge13f,,priced coverage 88%
HITCHWOOD_2017-12,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-12-01,2017-12-31,1435929.84,,,,,,,,hedge13f,,priced coverage 89%
HITCHWOOD_2018-01,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2018-01-01,2018-01-31,1570663.48,,,,,,,,hedge13f,,priced coverage 89%
HITCHWOOD_2018-02,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2018-02-01,2018-02-28,1511613.75,,,,,,,,hedge13f,,priced coverage 89%
HITCHWOOD_2018-03,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2018-03-01,2018-03-31,1479546.94,,,,,,,,hedge13f,,priced coverage 91%
HITCHWOOD_2018-04,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2018-04-01,2018-04-30,1493492.89,,,,,,,,hedge13f,,priced coverage 91%
HITCHWOOD_2018-05,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2018-05-01,2018-05-31,1558567.89,,,,,,,,hedge13f,,priced coverage 91%
HITCHWOOD_2018-06,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2018-06-01,2018-06-30,1542301.21,,,,,,,,hedge13f,,priced coverage 91%
HITCHWOOD_2018-07,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2018-07-01,2018-07-31,1541585.73,,,,,,,,hedge13f,,priced coverage 91%
HITCHWOOD_2018-08,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2018-08-01,2018-08-31,1710602.45,,,,,,,,hedge13f,,priced coverage 91%
HITCHWOOD_2018-09,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2018-09-01,2018-09-30,1719341.65,,,,,,,,hedge13f,,priced coverage 83%
HITCHWOOD_2018-10,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2018-10-01,2018-10-31,1444621.55,,,,,,,,hedge13f,,priced coverage 83%
HITCHWOOD_2018-11,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2018-11-01,2018-11-30,1473095.7,,,,,,,,hedge13f,,priced coverage 83%
HITCHWOOD_2018-12,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2018-12-01,2018-12-31,1308622.08,,,,,,,,hedge13f,,priced coverage 86%
HITCHWOOD_2019-01,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2019-01-01,2019-01-31,1528097.62,,,,,,,,hedge13f,,priced coverage 86%
HITCHWOOD_2019-02,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2019-02-01,2019-02-28,1692430.81,,,,,,,,hedge13f,,priced coverage 86%
HITCHWOOD_2019-03,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2019-03-01,2019-03-31,1721479.87,,,,,,,,hedge13f,,priced coverage 98%
HITCHWOOD_2019-04,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2019-04-01,2019-04-30,1789435.42,,,,,,,,hedge13f,,priced coverage 98%
HITCHWOOD_2019-05,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2019-05-01,2019-05-31,1683500.6,,,,,,,,hedge13f,,priced coverage 98%
HITCHWOOD_2019-06,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2019-06-01,2019-06-30,1818774.6,,,,,,,,hedge13f,,priced coverage 90%
HITCHWOOD_2019-07,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2019-07-01,2019-07-31,1867044.08,,,,,,,,hedge13f,,priced coverage 90%
HITCHWOOD_2019-08,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2019-08-01,2019-08-31,1831554.13,,,,,,,,hedge13f,,priced coverage 90%
HITCHWOOD_2019-09,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2019-09-01,2019-09-30,1754421.89,,,,,,,,hedge13f,,priced coverage 86%
HITCHWOOD_2019-10,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2019-10-01,2019-10-31,1783974.56,,,,,,,,hedge13f,,priced coverage 86%
HITCHWOOD_2019-11,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2019-11-01,2019-11-30,1929060.69,,,,,,,,hedge13f,,priced coverage 86%
HITCHWOOD_2019-12,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2019-12-01,2019-12-31,1975277.19,,,,,,,,hedge13f,,priced coverage 88%
HITCHWOOD_2020-01,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2020-01-01,2020-01-31,2040461.45,,,,,,,,hedge13f,,priced coverage 88%
HITCHWOOD_2020-02,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2020-02-01,2020-02-29,1912378.5,,,,,,,,hedge13f,,priced coverage 88%
HITCHWOOD_2020-03,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2020-03-01,2020-03-31,1657204.89,,,,,,,,hedge13f,,priced coverage 94%
HITCHWOOD_2020-04,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2020-04-01,2020-04-30,1926134.0,,,,,,,,hedge13f,,priced coverage 94%
HITCHWOOD_2020-05,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2020-05-01,2020-05-31,2123383.48,,,,,,,,hedge13f,,priced coverage 94%
HITCHWOOD_2020-06,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2020-06-01,2020-06-30,2289132.36,,,,,,,,hedge13f,,priced coverage 92%
HITCHWOOD_2020-07,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2020-07-01,2020-07-31,2535749.27,,,,,,,,hedge13f,,priced coverage 92%
