ticker,contribution,active,months_held,avg_weight_when_held,first_held,last_held,name,share_of_outperformance,cum_share_of_outperformance,rank
MSFT,0.14789650112881286,0.07034641931290166,96,0.0733475183658829,2018-09-30,2026-08-31,Microsoft Corp,0.07040297917874207,0.07040297917874207,1
FTNT,0.10333138704746744,0.06986849969476869,20,0.09992001283251799,2017-04-30,2025-02-28,Fortinet Inc,0.06992467530410042,0.14032765448284248,2
KEX,0.09453560686497733,0.062273905576945524,54,0.06448516770813652,2020-09-30,2026-05-31,Kirby Corp,0.06232397498743142,0.2026516294702739,3
HCA,0.10885787335706525,0.05991813213536308,63,0.0608512726115819,2020-12-31,2026-02-28,Hca Holdings Inc,0.05996630745896996,0.26261793692924384,4
IBIT,0.06894595842075613,0.052570625820393534,9,0.15833005706370962,2024-06-30,2025-02-28,Ishares Bitcoin Tr,0.05261289360847131,0.31523083053771517,5
CACC,0.07631226806694479,0.04932268923590046,41,0.06228243000213901,2017-04-30,2020-11-30,Credit Accep Corp Mich,0.0493623456208781,0.36459317615859327,6
CVNA,0.06140195651608454,0.04853572686256272,27,0.02751998013606359,2018-09-30,2021-02-28,Carvana Co,0.04857475051474895,0.41316792667334223,7
GLNG,0.09799520588922486,0.04805347801319977,39,0.06625871372647434,2023-06-30,2026-08-31,Golar Lng Ltd Bermuda,0.04809211392809265,0.4612600406014349,8
HLT,0.08176138685854559,0.04717785921473936,29,0.13047164854022336,2017-04-30,2019-08-31,Hilton Worldwide Hldgs Inc,0.04721579111538031,0.5084758317168152,9
NVDA,0.08851210551315294,0.04659274410336001,21,0.10980002146071016,2024-12-31,2026-08-31,Nvidia Corporation,0.0466302055602666,0.5551060372770819,10
AER,0.0477038271479398,0.0370789756598771,6,0.07890072186395296,2020-09-30,2021-02-28,Aercap Holdings Nv,0.03710878786509389,0.5922148251421757,11
DG,0.039487799597855575,0.0330231807272456,18,0.042477741348591384,2024-12-31,2026-05-31,Dollar Gen Corp New,0.03304973199580767,0.6252645571379833,12
NXST,0.05863919254830294,0.02916646938944579,44,0.06860919228783113,2017-04-30,2021-08-31,Nexstar Broadcasting Group Cl A Ord,0.02918991978836898,0.6544544769263523,13
BKNG,0.040548103562800475,0.027841646643650457,9,0.09272127056784968,2024-06-30,2025-02-28,Booking Holdings Inc,0.02786403185976127,0.6823185087861136,14
PLTR,0.04468720900092983,0.027149752191488886,6,0.13104344182607677,2026-03-31,2026-08-31,Palantir Technologies Inc,0.027171581111234196,0.7094900898973477,15
CMPR,0.034726248665630906,0.026250834908928884,14,0.03875217148229516,2017-04-30,2018-05-31,Cimpress N V,0.026271941081995688,0.7357620309793435,16
QQQ,0.06434916746279332,0.02414571830543331,12,0.13677602073613337,2023-03-31,2024-02-29,Invesco Qqq Tr,0.02416513192451037,0.7599271629038539,17
BIDU,0.030253088971791253,0.018739168857322498,11,0.06483696801770435,2017-04-30,2021-08-31,Baidu Inc,0.01875423550729393,0.7786813984111478,18
PANW,0.045778314904447934,0.018628583865315254,18,0.0689536814387604,2019-09-30,2021-02-28,Palo Alto Networks Inc,0.018643561602839216,0.797324960013987,19
ARW,0.02694813811078977,0.017893902664739808,18,0.036158730464436836,2025-03-31,2026-08-31,Arrow Electrs Inc,0.017908289704534647,0.8152332497185216,20
MARA,0.016112043971870976,0.014739979013964732,6,0.017549699934522194,2021-06-30,2021-11-30,Marathon Digital Holdings In,0.014751830238855257,0.8299850799573769,21
ADSK,0.0156552542794032,0.013979426713233737,5,0.03069630015490223,2017-04-30,2017-08-31,Autodesk Inc,0.013990666439536075,0.843975746396913,22
HOOD,0.0114974897069565,0.012818860749723293,6,0.055120165617568155,2022-03-31,2026-08-31,Robinhood Mkts Inc,0.012829167358806072,0.8568049137557191,23
RPM,0.04104523012838836,0.011775614445354922,24,0.07216311722542094,2018-12-31,2020-11-30,Rpm Intl Inc,0.011785082264466727,0.8685899960201858,24
TDG,0.0241258664095673,0.010346801001805314,26,0.04631882059486302,2017-04-30,2022-05-31,Transdigm Group Inc,0.010355120027595902,0.8789451160477817,25
GS,0.015658978575785784,0.009639453968463874,6,0.11425915122343407,2025-09-30,2026-02-28,Goldman Sachs Group Inc,0.009647204273718304,0.8885923203215,26
VOO,-0.0020695999122857037,0.009271825311151706,24,0.19493437059401422,2021-06-30,2023-11-30,Vanguard Index Fds,0.009279280035938222,0.8978716003574383,27
V,0.009755831172470556,0.00883376135495037,9,0.03681147817493666,2024-09-30,2025-05-31,Visa Inc,0.008840863867942252,0.9067124642253805,28
SPSC,0.015549295190102537,0.008475785762874142,20,0.02731293558253751,2017-04-30,2018-11-30,Sps Comm Inc,0.008482600456647083,0.9151950646820276,29
IQV,0.025448177800572794,0.0074497662437189,21,0.03318465287274275,2020-03-31,2022-02-28,Iqvia Hldgs Inc,0.0074557559981854775,0.9226508206802131,30
STZ,0.003894363931677083,0.006689069252140815,15,0.028637231885183228,2021-06-30,2022-08-31,Constellation Brands Inc,0.006694447391684997,0.9293452680718981,31
FND,0.006709542685681981,0.005554570978209201,3,0.018844308561117934,2019-06-30,2019-08-31,Floor & Decor Hldgs Inc,0.005559036959454546,0.9349043050313527,32
BRK-B,0.004535242648940724,0.005312208144314797,3,0.07693986023193067,2026-06-30,2026-08-31,Berkshire Hathaway Inc Del,0.005316479261208784,0.9402207842925615,33
AAPL,0.007783178806686464,0.0052941133852444705,3,0.04184034222821533,2025-09-30,2025-11-30,Apple Inc,0.005298369953606273,0.9455191542461677,34
IBKR,0.0059868412035590565,0.004466209120540896,3,0.01848371656884367,2017-09-30,2017-11-30,Interactive Brokers Group In,0.004469800038048004,0.9499889542842157,35
CALM,0.008464679218626037,0.0042788964241699595,12,0.027278180566267806,2024-03-31,2026-08-31,Cal Maine Foods Inc,0.004282336738688593,0.9542712910229043,36
ROST,0.024227397479486615,0.003772181130319568,39,0.046304434790279014,2020-12-31,2024-02-29,Ross Stores Inc,0.003775214036055788,0.95804650505896,37
FRSH,0.013190497616384808,0.0035350448640757825,24,0.0439495714062877,2021-12-31,2024-02-29,Freshworks Inc,0.003537887107720944,0.961584392166681,38
VPU,0.024718340019563554,0.0035251229188705954,12,0.07777978154960247,2023-09-30,2024-08-31,Vanguard World Fds,0.0035279571850821484,0.9651123493517632,39
FISV,0.008796989345280838,0.003175435031705866,18,0.018834239207677184,2024-06-30,2026-05-31,Fiserv Inc,0.003177988142171651,0.9682903374939348,40
LOW,0.006014984401907594,0.0028800100590501447,3,0.041194678240182546,2018-06-30,2018-08-31,Lowes Cos Inc,0.0028823256421906932,0.9711726631361255,41
ANDG,0.0027875319323921715,0.0024147545553054373,6,0.0029078327425501073,2026-03-31,2026-08-31,Andersen Group Inc,0.002416696064127345,0.9735893592002528,42
LLYVB,0.0018723730640969854,0.0020351219854898455,3,0.016005374684143026,2026-06-30,2026-08-31,Liberty Live Holdings Inc,0.0020367582624687235,0.9756261174627215,43
AMZN,0.0075538233597022735,0.0019841043126823856,24,0.030752781575947404,2024-09-30,2026-08-31,Amazon Com Inc,0.0019856995704770936,0.9776118170331987,44
NIO,0.0019223963162892613,0.0019164097421353003,6,0.0043632140773748876,2019-12-31,2020-05-31,Nio Inc,0.0019179505722012674,0.9795297676053999,45
UBER,0.0026928998285916245,0.001902424702248209,9,0.013129581697662877,2025-03-31,2026-08-31,Uber Technologies Inc,0.0019039542880747746,0.9814337218934747,46
DNOW,0.0018748020264693,0.001691907757101531,3,0.0025927135583165015,2020-12-31,2021-02-28,Now Inc,0.0016932680832800445,0.9831269899767547,47
AMBQ,0.0017045953008913296,0.001604536056778125,6,0.0009490247118832026,2025-12-31,2026-05-31,Ambiq Micro Inc,0.0016058261344394174,0.9847328161111941,48
QTRX,0.0017819508900146792,0.0015688532720561023,3,0.0028508937382911745,2020-12-31,2021-02-28,Quanterix Corp,0.001570114660076381,0.9863029307712705,49
MS,0.0010849339349051049,0.00144521381051376,3,0.034857162312871344,2026-06-30,2026-08-31,Morgan Stanley,0.0014463757900435182,0.987749306561314,50
IWM,-0.003302896096743351,0.001305766321224232,21,0.11112965501449626,2021-06-30,2023-02-28,Ishares Tr,0.0013068161823069813,0.989056122743621,51
NP,0.0011660164557718094,0.0008518997589929075,6,0.002341741122476895,2026-03-31,2026-08-31,Neptune Ins Hldgs Inc,0.0008525847026836986,0.9899087074463047,52
GIII,0.0016772648090249403,0.0008472849846543787,12,0.008111377919722005,2025-09-30,2026-08-31,G Iii Apparel Group Ltd,0.0008479662179783875,0.990756673664283,53
KC,0.0009152327581820258,0.000752506668597338,3,0.002201985239017863,2020-12-31,2021-02-28,Kingsoft Cloud Hldgs Ltd,0.0007531116983434942,0.9915097853626265,54
CENX,0.0010736343027409239,0.0007086879844103931,11,0.0023054900208412487,2017-04-30,2018-02-28,Century Alum Co,0.0007092577830968433,0.9922190431457233,55
AVGO,0.0008103938977934387,0.0006238424932074706,3,0.01871201247649072,2018-03-31,2018-05-31,Broadcom Ltd,0.0006243440744971226,0.9928433872202204,56
STEP,0.0007979932281455965,0.0006058850267125716,3,0.002891709598278777,2020-12-31,2021-02-28,Stepstone Group Inc,0.0006063721698558943,0.9934497593900763,57
BOBS,0.0005013848286862726,0.0005244743070948564,3,0.002407097258727243,2026-06-30,2026-08-31,Bobs Disc Furniture Inc,0.000524895994463393,0.9939746553845397,58
WBI,0.0009105442906360841,0.0005096814152380374,6,0.0034024021154846844,2025-12-31,2026-05-31,Waterbridge Infrastructure L,0.0005100912088387464,0.9944847465933784,59
