period,rebalance,n,priced_share
2013-06-30,2013-08-31,14,0.7447922220653835
2013-09-30,2013-11-30,11,0.724652695685677
2013-12-31,2014-02-28,14,0.7847308834148088
2014-03-31,2014-05-31,11,0.7186918130409738
2014-06-30,2014-08-31,10,0.7081636960915493
2014-09-30,2014-11-30,12,0.7215451454752386
2014-12-31,2015-02-28,12,0.6345532832791573
2015-03-31,2015-05-31,12,0.49925035817901336
2015-06-30,2015-08-31,12,0.6315612691525881
2015-09-30,2015-11-30,12,0.6287757048525026
2015-12-31,2016-02-29,12,0.6333215183000142
2016-03-31,2016-05-31,13,0.5775073956113614
2016-06-30,2016-08-31,12,0.5521812435601262
2016-09-30,2016-11-30,19,0.5622000242630681
2016-12-31,2017-02-28,17,0.6186695892569815
2017-03-31,2017-05-31,20,0.7061849146658952
2017-06-30,2017-08-31,17,0.7464840529574369
2017-09-30,2017-11-30,19,0.7904110518484869
2017-12-31,2018-02-28,18,0.8186415879060668
2018-03-31,2018-05-31,15,0.6795843387494659
2018-06-30,2018-08-31,16,0.6016518994474764
2018-09-30,2018-11-30,19,0.6183300003580178
2018-12-31,2019-02-28,18,0.6811642120124629
2019-03-31,2019-05-31,24,0.8497424425089131
2019-06-30,2019-08-31,24,0.8747844279350889
2019-09-30,2019-11-30,21,0.8882142252355589
2019-12-31,2020-02-29,22,0.9119299208508291
2020-03-31,2020-05-31,23,0.9452717336521278
2020-06-30,2020-08-31,27,0.9206181362669685
2020-09-30,2020-11-30,31,0.8739059680272856
2020-12-31,2021-02-28,23,0.8201778687298037
2021-03-31,2021-05-31,26,0.871915780954774
2021-06-30,2021-08-31,24,0.8922435669130085
2021-09-30,2021-11-30,23,0.8793010915861383
2021-12-31,2022-02-28,19,0.824730948085402
2022-03-31,2022-05-31,19,0.920349370371404
2022-06-30,2022-08-31,19,0.9272343487491249
2022-09-30,2022-11-30,14,0.9351777845701714
2022-12-31,2023-02-28,12,0.992869887482605
2023-03-31,2023-05-31,13,0.9847316827003131
2023-06-30,2023-08-31,16,1.0
2023-09-30,2023-11-30,18,1.0
2023-12-31,2024-02-29,12,1.0
2024-03-31,2024-05-31,15,1.0
2024-06-30,2024-08-31,16,1.0
2024-09-30,2024-11-30,17,0.9999999999999999
2024-12-31,2025-02-28,18,1.0
2025-03-31,2025-05-31,16,0.8507713723559656
2025-06-30,2025-08-31,25,0.8893665764884425
2025-09-30,2025-11-30,28,0.8885562933647648
2025-12-31,2026-02-28,34,0.8660566929422973
2026-03-31,2026-05-31,33,0.8651629168595619
2026-06-30,2026-08-31,31,0.8362174432026255
