ticker,contribution,active,months_held,avg_weight_when_held,first_held,last_held,name,share_of_outperformance,cum_share_of_outperformance,rank
OXY,0.09849414999441458,0.06725349412111603,33,0.07415985665302638,2019-09-30,2022-05-31,Occidental Pete Corp,0.2358664649983844,0.2358664649983844,1
LNG,0.11988044195528705,0.05592483079019967,96,0.06418942308170575,2015-09-30,2023-08-31,Cheniere Energy Inc,0.19613541744555393,0.43200188244393833,2
PYPL,0.05756776303296955,0.034829850667039496,30,0.06776934125126681,2015-12-31,2018-05-31,Paypal Hldgs Inc,0.12215266820875627,0.5541545506526946,3
NFLX,0.026251645796846385,0.026682389577740443,8,0.02774430046780186,2015-01-31,2015-08-31,Netflix Inc,0.09357849714213386,0.6477330477948284,4
EBAY,0.028566641302179955,0.026163182590636207,11,0.12056486884469932,2015-01-31,2015-11-30,Ebay Inc,0.09175757291728698,0.7394906207121155,5
UAN,0.038610825236506434,0.021391454466172775,27,0.04197912559615973,2024-06-30,2026-08-31,"Cvr Partners, Lp",0.07502252205697513,0.8145131427690906,6
FCX,0.050727912252615484,0.01983894855852427,57,0.048030426164848476,2015-12-31,2020-08-31,Freeport-Mcmoran Inc,0.06957768851915619,0.8840908312882467,7
ECHO,0.01937078989693521,0.01520465949540486,9,0.03647760374240028,2025-12-31,2026-08-31,Echostar Corporation,0.053324653738091185,0.9374154850263379,8
HRI,0.01958914802475726,0.011756159131059572,84,0.014722805195974317,2016-09-30,2023-08-31,Herc Hldgs Inc,0.04123032910688396,0.9786458141332218,9
DELL,0.0017021096210184349,0.0022657384161647214,9,0.029482646106643123,2018-09-30,2019-05-31,Dell Technologies Inc,0.007946229676474435,0.9865920438096962,10
CVI,0.2209128905461672,0.0019562531980789263,140,0.1323708364527841,2015-01-31,2026-08-31,Cvr Energy Inc,0.006860826080526085,0.9934528698902223,11
CI,0.0008511995577875503,0.0011196747708345182,3,0.005017242272979186,2018-09-30,2018-11-30,Cigna Corporation,0.003926840286826,0.9973797101770483,12
AEP,0.006392392873453917,0.0005839768694001377,30,0.014173744709582325,2024-03-31,2026-08-31,American Electric Power Company,0.002048080350712757,0.9994277905277611,13
DAN,0.008146494224711323,0.00016315624341725838,54,0.014315489375100616,2021-03-31,2025-08-31,Dana Inc.,0.0005722094722385861,0.9999999999999997,14
HAIN,0.0,0.0,0,,,,Hain Celestial Group Inc,,,15
TTWO,0.0,0.0,0,,,,Take-Two Interactive Softwar,,,16
MTW,0.0012886370954331787,-2.01041343481298e-05,51,0.004653547296172067,2015-03-31,2019-05-31,Manitowoc Inc,,,17
DK,0.002508577707020535,-0.0009011272242666259,27,0.007625411709608088,2020-06-30,2022-08-31,"Delek Us Holdings, Inc.",,,18
CCK,-0.0006024607722962123,-0.002166351118499083,15,0.005242999071970972,2022-12-31,2024-02-29,Crown Holdings Inc.,,,19
FANG,-0.0010902613684575487,-0.0023499210012279895,6,0.029477548553505494,2019-03-31,2019-08-31,Diamondback Energy Inc,,,20
SD,0.0012913248017182178,-0.0030382840671831666,102,0.0038668522744690556,2018-03-31,2026-08-31,Sandridge Energy Inc,,,21
BLCO,0.0002779336029717323,-0.0032392895054909245,48,0.0052586116866780155,2022-09-30,2026-08-31,Bausch Plus Lomb Corp.,,,22
RIG,-0.0009954964405679881,-0.0032485126052716005,23,0.015660764736487292,2015-01-31,2016-11-30,Transocean Ltd,,,23
FE,0.006036863992538721,-0.0034699309042324515,36,0.03432468015159613,2021-06-30,2024-05-31,Firstenergy Corp,,,24
ILMN,-0.00222074467533207,-0.004504379724821669,27,0.004404009245288321,2023-06-30,2025-08-31,Illumina Inc.,,,25
MNRO,-0.0045126183524139855,-0.005134338460846795,9,0.007306143015533836,2025-12-31,2026-08-31,"Monro, Inc.",,,26
CZR,-0.002590927389473455,-0.0051427480880325395,24,0.008457309941825008,2024-09-30,2026-08-31,"Caesars Entertainment, Inc.",,,27
HPQ,0.005482985778051584,-0.00851888713467404,9,0.06676653205491741,2019-12-31,2020-08-31,Hp Inc,,,28
JBLU,-0.0032127361678431932,-0.008714408641588211,27,0.015821847655123095,2024-06-30,2026-08-31,Jetblue Airways Corp.,,,29
CTRI,-0.0035379415282026302,-0.009263591924192516,24,0.020101003216482696,2024-09-30,2026-08-31,"Centuri Holdings, Inc.",,,30
SWX,0.02953127149630747,-0.011189327482029278,54,0.04821011531795847,2021-12-31,2026-05-31,Southwest Gas Holdings Inc.,,,31
IFF,-0.0019833410837330275,-0.015408908742116013,51,0.020379104101819187,2022-06-30,2026-08-31,International Flavors And Fragrances Inc.,,,32
CNDT,-0.00847801065480616,-0.020895688917080955,87,0.012064800895432689,2017-06-30,2024-08-31,Conduent Inc,,,33
XRX,0.018013526902501607,-0.02266445076199403,93,0.036360398279496456,2016-03-31,2023-11-30,Xerox Corp,,,34
AAPL,-0.020129606099405416,-0.027292456398681567,17,0.2652180064366981,2015-01-31,2016-05-31,Apple Inc,,,35
NWL,-0.001846014796209397,-0.03061604439848184,72,0.035160741138042476,2018-06-30,2024-05-31,Newell Brands Inc,,,36
AIG,0.015563845200842391,-0.04794545317857803,30,0.13651749306219632,2015-12-31,2018-05-31,American Intl Group Inc,,,37
BHC,-0.05040208614145499,-0.06461064957136035,57,0.027540309597058023,2021-03-31,2025-11-30,Bausch Health Companies Inc,,,38
IEP,-0.10193014743251981,-1.0252719369204701,140,0.5481679370386062,2015-01-31,2026-08-31,Icahn Enterprises Lp,,,39
