ticker,contribution,months_held,avg_weight_when_held,name,share_of_gains,cum_share_of_gains,rank
SLM,0.36720027551687334,74,0.18149738387706266,Slm Corp,0.26486950185188063,0.26486950185188063,1
ABG,0.3273898671701705,74,0.21517319117920955,Asbury Automotive Group Inc,0.23615339314943332,0.5010228950013139,2
WDC,0.123135516069194,6,0.08922853091636053,Western Digital,0.08882031135628318,0.5898432063575971,3
WH,0.10148304547005665,32,0.12114410007136925,Wyndham Hotels & Resorts Inc,0.07320191593600942,0.6630451222936066,4
VAC,0.09993416093275018,27,0.12359252571927215,Marriott Vacations Wdwide Corp,0.0720846720144329,0.7351297943080395,5
CCK,0.08326373488508608,53,0.13441901910254134,Crown Holdings Inc Com Stk,0.06005993309862425,0.7951897274066637,6
KBR,0.07441128760145482,27,0.1608475086650107,Kbr Inc,0.0536744713805333,0.848864198787197,7
WEX,0.057190164735540845,63,0.1880169523661167,Wex Inc,0.0412525029372796,0.8901167017244765,8
WMS,0.05178542317063412,17,0.12275238755725122,Advanced Dra Sys,0.03735394593342131,0.9274706476578979,9
ETSY,0.032066255963662485,21,0.0951615056183453,Etsy Inc,0.02313008407032063,0.9506007317282185,10
GTLB,0.026852342816441426,3,0.058684663159394655,Gitlab Inc,0.019369175732058902,0.9699699074602773,11
CART,0.01092007529954632,3,0.043623267762845336,Maplebear Inc,0.00787688653202808,0.9778467939923055,12
WD,0.008995555079875595,9,0.047140378437669085,Walker & Dunlop Inc,0.006488688467169511,0.984335482459475,13
ICLR,0.007860525718341305,3,0.03872220267937231,Icon Plc,0.0056699672362181715,0.9900054496956932,14
SITE,0.007543870864761168,6,0.0456836291873933,Siteone Landscape Supply Inc,0.005441557240586518,0.9954470069362796,15
IWM,0.006312015146082738,9,0.04432416882080042,Russell 2000 Index Ishares,0.0045529930637201715,0.9999999999999998,16
UHAL-B,-0.000993831392278061,3,0.014304272726665394,U-Haul Holding Co,,,17
SIRI,-0.003283537762575847,3,0.03600353463206012,Sirius Xm Holdings Inc,,,18
LRN,-0.0046485293552301745,3,0.06192487137464603,Stride Inc,,,19
CRL,-0.00504366453232348,9,0.07408129385458415,Chrls River Labs,,,20
FTDR,-0.043975824926672055,26,0.11756794855340844,Frontdoor Inc,,,21
CNXC,-0.09383247241987437,36,0.1088746240884517,Concentrix Corporation,,,22
