period,rebalance,n,priced_share
2019-12-31,2020-02-29,3,0.5025753412466208
2020-03-31,2020-05-31,6,0.7737373910143205
2020-06-30,2020-08-31,6,0.712302986031586
2020-09-30,2020-11-30,5,0.6607606027084694
2020-12-31,2021-02-28,5,0.6787528224129854
2021-03-31,2021-05-31,7,0.8202340205955942
2021-06-30,2021-08-31,7,0.6870480231027236
2021-09-30,2021-11-30,7,0.7410712814626458
2021-12-31,2022-02-28,7,0.7642740589721864
2022-03-31,2022-05-31,7,0.7553365013620532
2022-06-30,2022-08-31,6,0.763558795424042
2022-09-30,2022-11-30,6,0.77388968221818
2022-12-31,2023-02-28,6,0.7764053956126125
2023-03-31,2023-05-31,6,0.7391392746764553
2023-06-30,2023-08-31,5,0.7031331219331167
2023-09-30,2023-11-30,5,0.7337465865151807
2023-12-31,2024-02-29,6,0.7719675028832876
2024-03-31,2024-05-31,7,0.8020418984618327
2024-06-30,2024-08-31,8,0.8053801357907551
2024-09-30,2024-11-30,8,0.7982085147883015
2024-12-31,2025-02-28,9,0.9103093167225504
2025-03-31,2025-05-31,9,0.9226261009233203
2025-06-30,2025-08-31,8,0.9166320977853004
2025-09-30,2025-11-30,8,0.9207811476898509
2025-12-31,2026-02-28,7,0.9225750562070048
2026-03-31,2026-05-31,10,1.0
2026-06-30,2026-08-31,8,1.0
