ticker,contribution,months_held,avg_weight_when_held,name,share_of_gains,cum_share_of_gains,rank
NVDA,0.16325123822305057,108,0.033035720459494884,Nvidia Corp,0.09871454430075106,0.09871454430075106,1
SPY,0.13533926450573183,125,0.12737262401558802,Spdr S&P 500 Etf Tr,0.08183676869530626,0.1805513129960573,2
GOOG,0.0976339549902345,126,0.044552012757257516,Alphabet Inc,0.059037171662813144,0.23958848465887045,3
AMZN,0.07758751112910361,126,0.053869152761749285,Amazon Com Inc,0.046915514319556845,0.28650399897842727,4
MU,0.07212774502975866,72,0.01250676759297037,Micron Technology Inc,0.04361411012592282,0.3301181091043501,5
AAPL,0.06374218503337274,135,0.0317112722771714,Apple Inc,0.03854354072161086,0.36866164982596095,6
QQQ,0.05483681031413138,75,0.03649115899521921,Invesco Qqq Tr,0.033158650433451224,0.4018203002594122,7
TSLA,0.05031677789064021,108,0.03439540833149566,Tesla Mtrs Inc,0.030425483164606894,0.4322457834240191,8
AMD,0.047591294800837895,69,0.01456176391143022,Advanced Micro Devices Inc,0.028777441629744892,0.461023225053764,9
META,0.04554383221936979,108,0.023360590996786997,Facebook Inc,0.027539384645293027,0.488562609699057,10
TSM,0.03445725034960619,45,0.018561309083642733,Taiwan Semiconductor Mfg Ltd,0.020835564882337284,0.5093981745813942,11
MSFT,0.02954454187915291,80,0.017521160641420536,Microsoft Corp,0.017864954777189787,0.527263129358584,12
AVGO,0.029518643242494407,42,0.020001403254403447,Broadcom Ltd,0.01784929442359258,0.5451124237821766,13
MRVL,0.02726738743095871,18,0.016141456278521045,Marvell Technology Inc,0.01648800801646268,0.5616004317986393,14
INTC,0.02587040621160144,38,0.014952710334267842,Intel Corp,0.015643283247654835,0.5772437150462941,15
UCO,0.02580831786659273,42,0.03669781603511607,Proshares Tr Ii,0.015605739748747044,0.5928494547950411,16
GLD,0.023261667452885784,78,0.017701387169650803,Spdr Gold Trust,0.014065834521572451,0.6069152893166136,17
MSTR,0.02304190098536365,12,0.012013344840359411,Microstrategy Inc,0.013932946422651004,0.6208482357392646,18
NFLX,0.02005369881807511,78,0.013447980159698019,Netflix Inc,0.012126044261092057,0.6329742800003567,19
EFA,0.019335065963269303,95,0.033213238924182466,Ishares,0.011691502290361163,0.6446657822907179,20
SOXL,0.018444321012031546,6,0.020414517100732877,Direxion Shs Etf Tr,0.01115288780322636,0.6558186700939442,21
COIN,0.015972802212115052,21,0.020231342570823166,Coinbase Global Inc,0.009658413061594371,0.6654770831555386,22
EEM,0.01435068154488841,81,0.04110116278598892,Ishares Tr,0.00867755126716604,0.6741546344227046,23
SMH,0.01432536635037615,42,0.01416122910615251,Vaneck Vectors Etf Tr,0.008662243708599483,0.6828168781313041,24
JPM,0.01197325448883126,39,0.009172394893579662,Jpmorgan Chase & Co,0.007239971797622876,0.690056849928927,25
HYG,0.011026027499944455,96,0.021375283800864526,Ishares,0.006667203826150726,0.6967240537550777,26
SHOP,0.010986396031319876,27,0.010160447463271811,Shopify Inc,0.006643239521758134,0.7033672932768359,27
PLTR,0.010972862768298274,39,0.011828919769658943,Palantir Technologies Inc,0.006635056246049961,0.7100023495228859,28
ALV,0.010667664391267326,15,0.01807421547319651,Autoliv Inc,0.006450509292300211,0.7164528588151861,29
FXI,0.009320494309345227,98,0.018937591565390786,Ishares,0.005635904256650512,0.7220887630718366,30
IEFA,0.008261369102071942,51,0.02281877335604661,Ishares Tr,0.004995473817460995,0.7270842368892976,31
BE,0.007367486473759152,9,0.011505891268898567,Bloom Energy Corp,0.004454962043873752,0.7315391989331713,32
VOD,0.007009546137321842,35,0.022900439256618187,Vodafone Group Plc New,0.004238523151385905,0.7357777220845573,33
SPOT,0.006914253405157021,6,0.011601200504722457,Spotify Technology S A,0.004180901667266004,0.7399586237518233,34
DEO,0.006900730641242314,30,0.021770416579027143,Diageo P L C,0.004172724740143999,0.7441313484919673,35
LULU,0.0068577251173668466,18,0.009456253055002837,Lululemon Athletica Inc,0.004146720216454068,0.7482780687084213,36
XLF,0.006734498921920514,24,0.014017577682279223,Select Sector Spdr Tr,0.004072207962447272,0.7523502766708685,37
VRT,0.006637088419497864,6,0.011743460460954333,Vertiv Holdings Co,0.004013305907789523,0.756363582578658,38
GEV,0.006531537507942891,9,0.011712452923971713,Ge Vernova Inc,0.003949481521229944,0.760313064099888,39
UNH,0.006504597431814272,36,0.013854422556685175,Unitedhealth Group Inc,0.003933191431381862,0.7642462555312698,40
COHR,0.006457623653213235,3,0.01669593024842798,Coherent Corp,0.0039047873886367147,0.7681510429199065,41
MCHI,0.006380015339621384,27,0.012670811967053474,Ishares Tr,0.003857859295511307,0.7720089022154178,42
BA,0.0062889768302241186,51,0.012096349553382084,Boeing Co,0.003802810249226635,0.7758117124646445,43
COST,0.005837515854006492,24,0.008200914180681322,Costco Whsl Corp New,0.0035298214191143338,0.7793415338837588,44
LQD,0.00577586330662103,51,0.01845576397209835,Ishares Tr,0.003492541437740955,0.7828340753214997,45
V,0.005648252111699566,21,0.013267637901134938,Visa Inc,0.0034153776680111644,0.7862494529895109,46
XLK,0.005365862429985551,21,0.009380363154970574,Select Sector Spdr Tr,0.0032446226461867907,0.7894940756356976,47
LVS,0.005222075134733029,15,0.01013788154804895,Las Vegas Sands Corp,0.003157677533355872,0.7926517531690535,48
QCOM,0.005190297895702808,24,0.008395552048210774,Qualcomm Inc,0.0031384625141979874,0.7957902156832515,49
BP,0.005184844342961072,48,0.01947081176783242,Bp Plc,0.0031351648670892712,0.7989253805503408,50
DD,0.004746326780943909,3,0.024580691869472416,Dupont De Nemours Inc,0.0028700026436747324,0.8017953831940156,51
BRK-B,0.004739968521837027,24,0.008437415627516879,Berkshire Hathaway Inc Del,0.002866157939909458,0.804661541133925,52
UL,0.004703301843747888,39,0.01554865907108948,Unilever Plc,0.002843986381163629,0.8075055275150886,53
HD,0.004687138569211675,27,0.007665718006846641,Home Depot Inc,0.002834212793547281,0.8103397403086359,54
TGT,0.004632819003615576,6,0.011004378953149345,Target Corp,0.0028013669099705373,0.8131411072186064,55
USO,0.00458951457901785,24,0.011412805521422579,United States Oil Fund Lp,0.0027751816473844727,0.8159162888659909,56
RIO,0.004573704521121337,17,0.014087065553551954,Rio Tinto Plc,0.002765621642341874,0.8186819105083327,57
ACWX,0.004456753157059707,18,0.013966321896835256,Ishares Tr,0.0026949036451348863,0.8213768141534676,58
FCX,0.004162552061217554,6,0.009280551473372995,Freeport-Mcmoran Inc,0.002517006512929618,0.8238938206663973,59
BAC,0.00414337143577855,42,0.00982470175237661,Bank Amer Corp,0.0025054083975326147,0.8263992290639299,60
KKR,0.004093884502645014,6,0.008195181379936354,Kkr & Co Inc,0.002475484703805745,0.8288747137677357,61
BABA,0.004075236871530451,105,0.019267566245163226,Alibaba Group Hldg Ltd,0.002464208878716765,0.8313389226464525,62
TS,0.003964751490211313,3,0.017356043307341893,Tenaris S A,0.002397400723461539,0.833736323369914,63
VXUS,0.003959487024704642,36,0.01266380612982614,Vanguard Star Fd,0.0023942174133737585,0.8361305407832877,64
CAT,0.003937010661918348,26,0.007984858497614662,Caterpillar Inc Del,0.002380626435846495,0.8385111672191342,65
WMT,0.003886465227121809,51,0.015527424471351668,Wal-Mart Stores Inc,0.002350062688724367,0.8408612299078586,66
TMF,0.0038527279258721695,3,0.021613913416883245,Direxion Shs Etf Tr,0.0023296624617181556,0.8431908923695768,67
UBER,0.0038216484933468633,21,0.008675493193424155,Uber Technologies Inc,0.002310869391281105,0.8455017617608579,68
GLW,0.003812196565233093,6,0.009160314692360219,Corning Inc,0.0023051540118042306,0.8478069157726621,69
PUK,0.0037947288576857877,27,0.012089605301002828,Prudential Plc,0.0022945916613480886,0.8501015074340101,70
SNOW,0.0037663181203636395,15,0.007911587991236967,Snowflake Inc,0.0022774122940211936,0.8523789197280314,71
HOOD,0.0037323494113256166,3,0.010447142704743522,Robinhood Mkts Inc,0.002256872139657453,0.8546357918676888,72
BKNG,0.003637689751291319,21,0.009071177908100863,Booking Hldgs Inc,0.0021996334607619055,0.8568354253284507,73
IEUR,0.0035471868154213207,12,0.012314297867462264,Ishares Tr,0.0021449082643742344,0.8589803335928249,74
MCHP,0.0035355548594134447,6,0.008537017932167051,Microchip Technology Inc.,0.002137874668493785,0.8611182082613187,75
VLO,0.003532267184635342,6,0.010076201563270954,Valero Energy Corp,0.0021358866816272716,0.8632540949429459,76
EFV,0.003508544964827985,24,0.010967051462759364,Ishares,0.002121542360912926,0.8653756373038588,77
BUD,0.003445437456210488,15,0.016206957195416774,Anheuser Busch Inbev Sa/Nv,0.0020833825954928295,0.8674590198993516,78
NOW,0.0033978906090924577,6,0.009351314635239647,Servicenow Inc,0.0020546320304295432,0.8695136519297811,79
VT,0.003322122548721744,45,0.010478020059041842,Vanguard Intl Equity Index F,0.0020088166992047493,0.8715224686289859,80
LITE,0.0032646616303674374,6,0.01207420328432183,Lumentum Hldgs Inc,0.00197407130656829,0.8734965399355541,81
HON,0.0031489336216335585,9,0.008015021313637571,Honeywell Intl Inc,0.001904093046254028,0.8754006329818081,82
NEM,0.0031136237574749806,6,0.0075850280998435195,Newmont Corp,0.0018827419239735767,0.8772833749057817,83
IWM,0.0031035777043863203,69,0.015877453792757398,Ishares,0.0018766672897872602,0.879160042195569,84
NU,0.0030053466065787177,9,0.00979933665180672,Nu Hldgs Ltd,0.0018172690385899787,0.880977311234159,85
EMB,0.003004095077175853,41,0.020665795457447927,Ishares,0.001816512265434519,0.8827938234995936,86
CWB,0.002993840556298864,9,0.013546215393017175,Spdr Series Trust,0.001810311575219775,0.8846041350748134,87
PG,0.002979003849951778,18,0.024387150165475047,Procter & Gamble Co,0.001801340135113602,0.886405475209927,88
CIFR,0.0029716005217161317,3,0.005754021933415882,Cipher Mining Inc,0.001796863500320228,0.8882023387102472,89
DELL,0.0029612743398069992,15,0.021686205761760922,Dell Technologies Inc,0.0017906194782066932,0.8899929581884539,90
IXUS,0.0027816890696075475,45,0.013141267548458445,Ishares Tr,0.001682028092904949,0.8916749862813589,91
ICVT,0.0027686003431196936,9,0.00759884522701077,Ishares Tr,0.0016741136189641122,0.893349099900323,92
IBM,0.0027489384237365825,5,0.021093466810795877,International Business Machs,0.001662224475377158,0.8950113243757001,93
SAP,0.0027472631270511845,6,0.008425406904067203,Sap Se,0.0016612114591779076,0.8966725358348779,94
CGC,0.0025723653223692503,3,0.006134258967671022,Canopy Growth Corp,0.0015554544843683828,0.8982279903192463,95
ASHR,0.0025659509321810823,24,0.008981952308797865,Dbx Etf Tr,0.0015515758393346033,0.8997795661585809,96
BITO,0.0025612410659613745,6,0.011382317914946616,Proshares Tr,0.0015487278836152064,0.901328294042196,97
ITUB,0.002507753285495342,2,0.009730058623647113,Itau Unibanco Hldg Sa,0.0015163849627783737,0.9028446790049744,98
FSLR,0.0024805983023530507,14,0.008020701046883552,First Solar Inc,0.0014999649232395411,0.904344643928214,99
INDA,0.0024603576677551743,12,0.010457387328637073,Ishares Tr,0.0014877258428966562,0.9058323697711107,100
DIA,0.002385784924883804,18,0.009252024124195441,Spdr Dow Jones Indl Avrg Etf,0.0014426332946873342,0.907275003065798,101
BNDX,0.0023278957797494733,27,0.020476737761547653,Vanguard Charlotte Fds,0.0014076289624439992,0.908682632028242,102
FETH,0.0023103029175138164,3,0.011807273041648378,Fidelity Ethereum Fd,0.0013969909336152932,0.9100796229618573,103
SCHF,0.0022742769277198102,30,0.011040357922409993,Schwab Strategic Tr,0.0013752067854262311,0.9114548297472835,104
FBTC,0.002249500049765635,12,0.013623218283014493,Fidelity Wise Origin Bitcoin,0.0013602247354089442,0.9128150544826925,105
VZ,0.0022366823942994007,11,0.017230461171280367,Verizon Communications Inc,0.001352474172337413,0.9141675286550299,106
ASML,0.002176864744168063,12,0.00930705207309348,Asml Holding N V,0.001316303714225549,0.9154838323692555,107
NET,0.0021622707809457087,3,0.008699915525026037,Cloudflare Inc,0.0013074790557131995,0.9167913114249686,108
SBUX,0.002153583553377597,6,0.010639763307957358,Starbucks Corp,0.0013022260743578522,0.9180935374993264,109
ACWI,0.0021271427251681333,41,0.011386281929496487,Ishares,0.0012862378690857703,0.9193797753684122,110
SNPS,0.002123126978064216,6,0.006163653010919493,Synopsys Inc,0.001283809632401595,0.9206635850008138,111
IWR,0.002064403608907665,6,0.0110801875728608,Ishares Tr,0.0012483008626722441,0.921911885863486,112
VCIT,0.002006753446713087,24,0.012876923046054862,Vanguard Scottsdale Fds,0.0012134410383190185,0.923125326901805,113
EWT,0.002006410687581765,15,0.01283912114237064,Ishares Inc,0.0012132337791776996,0.9243385606809827,114
SPDW,0.001962770914674988,12,0.009316467349091044,Spdr Index Shs Fds,0.0011868457386165928,0.9255254064195994,115
HSBC,0.0019281333204747473,15,0.007525070023581334,Hsbc Hldgs Plc,0.0011659011236515326,0.9266913075432509,116
APH,0.0019268860273977623,3,0.007190238561029109,Amphenol Corp New,0.0011651469121120414,0.9278564544553629,117
B,0.0019200477264994806,3,0.008591614918007749,Barrick Mng Corp,0.0011610119373068703,0.9290174663926698,118
UNP,0.0019114734583078473,9,0.007367712171696973,Union Pac Corp,0.0011558272600789214,0.9301732936527487,119
JNK,0.0018706224212958302,48,0.03017469827488098,Spdr Series Trust,0.0011311255086756968,0.9313044191614244,120
DBEF,0.0018444837439480998,9,0.03223824254073128,Dbx Etf Tr,0.0011153200075898176,0.9324197391690142,121
