period,rebalance,n,priced_share
2014-03-31,2014-05-31,48,0.8278471109768502
2014-06-30,2014-08-31,42,0.7637436359765712
2014-09-30,2014-11-30,45,0.7159518989717533
2014-12-31,2015-02-28,46,0.892222932277863
2015-03-31,2015-05-31,46,0.892222932277863
2015-06-30,2015-08-31,44,0.8420443528775069
2015-09-30,2015-11-30,47,0.8105811893987066
2015-12-31,2016-02-29,40,0.7329055776881401
2016-03-31,2016-05-31,45,0.6913542193592007
2016-06-30,2016-08-31,43,0.7245549360712509
2016-09-30,2016-11-30,42,0.8283939983088968
2016-12-31,2017-02-28,48,0.8643812861627792
2017-03-31,2017-05-31,50,0.89628002821474
2017-06-30,2017-08-31,50,0.925483240283878
2017-09-30,2017-11-30,51,0.9191872057656817
2017-12-31,2018-02-28,49,0.9120984174448359
2018-03-31,2018-05-31,54,0.9383547482946911
2018-06-30,2018-08-31,49,0.8944465057133469
2018-09-30,2018-11-30,53,0.9577040408830417
2018-12-31,2019-02-28,53,0.9173399205029543
2019-03-31,2019-05-31,55,0.9829361952484721
2019-06-30,2019-08-31,54,0.9451645651874964
2019-09-30,2019-11-30,53,0.9597353446824873
2019-12-31,2020-02-29,52,0.9663843396116804
2020-03-31,2020-05-31,57,0.982366357817839
2020-06-30,2020-08-31,55,0.9618884269842402
2020-09-30,2020-11-30,58,0.9922637317305133
2020-12-31,2021-02-28,57,0.9770301940939873
2021-03-31,2021-05-31,55,0.9025211480250362
2021-06-30,2021-08-31,58,0.9936004687159048
2021-09-30,2021-11-30,56,0.9780474291069643
2021-12-31,2022-02-28,58,0.9931920401284621
2022-03-31,2022-05-31,58,0.9942686729643403
2022-06-30,2022-08-31,58,0.9937532361777499
2022-09-30,2022-11-30,59,0.9879406349107309
2022-12-31,2023-02-28,59,1.0
2023-03-31,2023-05-31,59,1.0
2023-06-30,2023-08-31,59,1.0
2023-09-30,2023-11-30,58,0.9934339669858013
2023-12-31,2024-02-29,59,1.0
2024-03-31,2024-05-31,59,0.9919379042500878
2024-06-30,2024-08-31,58,0.9902300437186902
2024-09-30,2024-11-30,58,0.9947256728616537
2024-12-31,2025-02-28,59,1.0
2025-03-31,2025-05-31,57,0.9813436970650462
2025-06-30,2025-08-31,58,0.9691884636805326
2025-09-30,2025-11-30,57,0.9687452581742261
2025-12-31,2026-02-28,58,0.9850122046144517
2026-03-31,2026-05-31,57,0.9768599065160363
2026-06-30,2026-08-31,57,0.9829070966881064
