period,rebalance,n,priced_share
2013-06-30,2013-08-31,30,0.49418123102954475
2013-09-30,2013-11-30,35,0.5813180260328513
2013-12-31,2014-02-28,36,0.6017162953626426
2014-03-31,2014-05-31,39,0.7125152343163063
2014-06-30,2014-08-31,38,0.6565509401467449
2014-09-30,2014-11-30,34,0.6087935777865738
2014-12-31,2015-02-28,31,0.5481880585922986
2015-03-31,2015-05-31,30,0.4959382533628207
2015-06-30,2015-08-31,31,0.528012721367508
2015-09-30,2015-11-30,32,0.5412538655679049
2015-12-31,2016-02-29,33,0.5384919278132073
2016-03-31,2016-05-31,34,0.5492048592576924
2016-06-30,2016-08-31,31,0.5805603961867609
2016-09-30,2016-11-30,36,0.6064313955356161
2016-12-31,2017-02-28,39,0.6653953806379932
2017-03-31,2017-05-31,38,0.6928693484542549
2017-06-30,2017-08-31,41,0.7219691724991179
2017-09-30,2017-11-30,40,0.6372994701645278
2017-12-31,2018-02-28,42,0.6385929192646103
2018-03-31,2018-05-31,37,0.5443438284040314
2018-06-30,2018-08-31,35,0.5192007700222377
2018-09-30,2018-11-30,42,0.6593029661425334
2018-12-31,2019-02-28,33,0.7716992633100542
2019-03-31,2019-05-31,36,0.749556668990398
2019-06-30,2019-08-31,39,0.7401266722375377
2019-09-30,2019-11-30,31,0.7128117172626104
2019-12-31,2020-02-29,28,0.5052931374261919
2020-03-31,2020-05-31,30,0.5916769178216081
2020-06-30,2020-08-31,26,0.5305871366526836
2020-09-30,2020-11-30,32,0.5972406878978322
2020-12-31,2021-02-28,27,0.5921773080036186
2021-03-31,2021-05-31,38,0.7376462748487191
2021-06-30,2021-08-31,40,0.7710635959891946
2021-09-30,2021-11-30,34,0.6748296482200692
2021-12-31,2022-02-28,40,0.702360471645143
2022-03-31,2022-05-31,38,0.7418745753336725
2022-06-30,2022-08-31,39,0.7517655404900843
2022-09-30,2022-11-30,31,0.8006402992191322
2022-12-31,2023-02-28,28,0.8076377300782803
2023-03-31,2023-05-31,33,0.7669099887664084
2023-06-30,2023-08-31,44,0.7756010324535031
2023-09-30,2023-11-30,46,0.8474904777276019
2023-12-31,2024-02-29,46,0.8522900301727777
2024-03-31,2024-05-31,55,0.9347601010454024
2024-06-30,2024-08-31,55,0.9625244873859775
2024-09-30,2024-11-30,53,0.9410343549095406
2024-12-31,2025-02-28,52,0.9364831827751251
2025-03-31,2025-05-31,48,0.9456894170912833
2025-06-30,2025-08-31,50,0.9483885791562866
2025-09-30,2025-11-30,58,0.9519890887308496
2025-12-31,2026-02-28,55,0.9628823160946776
2026-03-31,2026-05-31,49,0.9383594464656337
2026-06-30,2026-08-31,55,0.9724482361278038
