ticker,contribution,active,months_held,avg_weight_when_held,first_held,last_held,name,share_of_outperformance,cum_share_of_outperformance,rank
TSM,0.45087831648312954,0.2733633419434808,105,0.1287001200945743,2017-06-30,2026-08-31,Taiwan Semiconductor Mfg Ltd,0.2599510566374779,0.2599510566374779,1
AMZN,0.22696792454096784,0.11903170091182523,104,0.08309321597275045,2013-10-31,2026-08-31,Amazon Com Inc,0.11319153550508872,0.3731425921425666,2
JPM,0.17077952097646074,0.055722395488897576,71,0.1588872410508281,2013-10-31,2019-08-31,Jpmorgan Chase & Co,0.05298843466987327,0.42613102681243986,3
ETN,0.09528338752515617,0.05556734207930978,120,0.03629536650114004,2015-06-30,2026-08-31,Eaton Corp Plc,0.052840988793001,0.47897201560544084,4
LRCX,0.1009244744189639,0.05078537871406441,27,0.07216844190748001,2019-09-30,2021-11-30,Lam Research Corp,0.04829364743859856,0.5272656630440394,5
FCX,0.10285635907435442,0.04782235373945086,63,0.08859686326923832,2020-09-30,2025-11-30,Freeport-Mcmoran Inc,0.04547600017280943,0.5727416632168488,6
IONQ,0.0527472059139744,0.04468157320721534,54,0.019013703746924262,2022-03-31,2026-08-31,Ionq Inc,0.04248931873916698,0.6152309819560158,7
AMAT,0.09465776568079043,0.04321680907981124,57,0.07461203468893036,2018-03-31,2022-11-30,Applied Matls Inc,0.041096421725484396,0.6563274036815002,8
CRH,0.10877415587319668,0.04029562078427824,30,0.12331439799003778,2023-12-31,2026-05-31,Crh Plc,0.038318558466050576,0.6946459621475508,9
ARM,0.04434000634362992,0.03877643812787013,9,0.04088275042517989,2025-12-31,2026-08-31,Arm Holdings Plc,0.03687391291134314,0.7315198750588939,10
NFLX,0.03805247131925747,0.026895954637756347,29,0.03630480621468471,2013-10-31,2017-08-31,Netflix Inc,0.025576332867645407,0.7570962079265393,11
MU,0.06463301222842766,0.022801747274702504,39,0.049022485786263746,2018-03-31,2021-11-30,Micron Technology Inc,0.021683003489418692,0.778779211415958,12
ADI,0.09405052267988898,0.022628243444840983,78,0.07477462409002714,2020-03-31,2026-08-31,Analog Devices Inc,0.021518012442768124,0.800297223858726,13
RYAAY,0.11357245934580021,0.02144137254205929,62,0.10620692610665394,2013-10-31,2025-05-31,Ryanair Hldgs Plc,0.020389374114465245,0.8206865979731913,14
TECK,0.019901352872221147,0.014062082547137443,9,0.048012357966055456,2025-12-31,2026-08-31,Teck Resources Ltd,0.013372141233946424,0.8340587392071378,15
NKE,0.07060711008235178,0.012735559166225145,56,0.09490732344278181,2013-10-31,2020-11-30,Nike Inc,0.012110702329699463,0.8461694415368373,16
ACN,0.02729929737532794,0.012687591044704963,44,0.027496920662131333,2013-10-31,2018-02-28,Accenture Plc Ireland,0.012065087713689011,0.8582345292505262,17
V,0.027655537225852803,0.012220879358437933,39,0.057466721926278316,2014-03-31,2017-05-31,Visa Inc,0.01162127474620174,0.869855803996728,18
SLB,0.009249855103386334,0.010055985700986115,6,0.03775161817060756,2014-09-30,2026-08-31,Schlumberger Ltd,0.009562599322637708,0.8794184033193657,19
DAR,0.0158322261525913,0.00941118790090263,15,0.014521001088902074,2020-06-30,2021-08-31,Darling Ingredients Inc,0.008949437849495203,0.8883678411688609,20
LLY,0.015463199388244293,0.008612090536378764,21,0.017245465501409096,2023-06-30,2025-02-28,Lilly Eli & Co,0.008189547358007317,0.8965573885268683,21
VMC,0.01956139139472883,0.008485352582154358,60,0.00915952032484194,2020-09-30,2025-11-30,Vulcan Matls Co,0.008069027668415878,0.9046264161952842,22
CARR,0.01998125865303166,0.0072715352282891384,18,0.05656481080749476,2020-09-30,2022-02-28,Carrier Global Corporation,0.0069147649883546675,0.9115411811836388,23
GOOG,0.05651891744156942,0.006152059714947734,42,0.09335520997711633,2016-03-31,2019-08-31,Alphabet Inc,0.005850215365482964,0.9173913965491217,24
C,0.03880831324632381,0.006104690511184806,68,0.038088604444464325,2013-10-31,2021-05-31,Citigroup Inc,0.005805170281958944,0.9231965668310806,25
LUV,0.010297501491554938,0.00528559799158216,15,0.014876408229621848,2020-09-30,2021-11-30,Southwest Airls Co,0.005026265676678749,0.9282228325077594,26
WFC,0.03326571856163077,0.004681685848711318,41,0.09058296325851113,2013-10-31,2017-08-31,Wells Fargo & Co New,0.004451983848912914,0.9326748163566723,27
PYPL,0.007840736218580918,0.00446461025266211,15,0.018510998566831815,2017-09-30,2019-05-31,Paypal Hldgs Inc,0.004245558839026735,0.936920375195699,28
FSLR,0.01760938693982777,0.004280542280594268,60,0.009096301028171798,2015-06-30,2022-02-28,First Solar Inc,0.0040705219687135015,0.9409908971644125,29
XOM,0.0026864211841114553,0.0038883615044556304,3,0.08375539594075616,2022-06-30,2022-08-31,Exxon Mobil Corp,0.0036975831305161573,0.9446884802949287,30
GOLF,0.032326960014316924,0.003823920651928943,42,0.038316162089752547,2023-03-31,2026-08-31,Acushnet Hldgs Corp,0.003636304000747559,0.9483247842956762,31
BKNG,0.005141862492606017,0.0036651675775204676,66,0.004000127925215868,2016-12-31,2023-08-31,Priceline Grp Inc,0.0034853399792239134,0.9518101242749002,32
TSLA,0.003894269865808483,0.003245626580500599,9,0.004835114120111295,2014-06-30,2019-05-31,Tesla Mtrs Inc,0.0030863833206511465,0.9548965075955513,33
CF,0.0026476605625583376,0.003123300207315332,3,0.008266553077920543,2021-12-31,2022-02-28,Cf Inds Hldgs Inc,0.002970058762507885,0.9578665663580592,34
